Player Name,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Patrick Mahomes,KC,37.0,25.1,332.6,2.7,0.5,2.6,12.0,0.1,0.2,24.4
Lamar Jackson,BAL,27.0,17.9,208.6,1.6,0.5,11.1,70.2,0.6,0.2,23.6
Russell Wilson,SEA,33.1,21.7,261.9,2.0,0.6,4.7,23.8,0.1,0.2,19.8
Drew Brees,NO,36.6,27.0,292.8,2.1,0.5,1.4,3.8,0.1,0.1,19.6
Dak Prescott,DAL,34.1,22.7,270.7,1.7,0.8,3.4,18.3,0.3,0.2,19.3
Aaron Rodgers,GB,34.5,22.8,270.1,1.9,0.3,2.8,13.8,0.0,0.2,18.9
Jameis Winston,TB,37.2,23.1,305.3,1.9,1.2,3.3,14.9,0.1,0.3,18.7
Kyler Murray,ARI,36.0,23.3,256.8,1.4,0.8,6.3,33.0,0.2,0.2,18.1
Carson Wentz,PHI,34.3,22.5,254.2,1.9,0.8,3.8,16.2,0.1,0.3,17.7
Deshaun Watson,HOU,33.6,22.2,248.7,1.3,0.9,5.4,28.7,0.2,0.3,16.9
Tom Brady,NE,36.8,24.1,266.4,1.6,0.5,1.5,3.8,0.1,0.1,16.6
Matt Ryan,ATL,36.8,24.6,280.9,1.6,0.8,1.8,6.5,0.1,0.3,16.5
Josh Allen,BUF,32.5,19.2,218.1,1.1,0.9,7.1,37.4,0.3,0.2,16.5
Sam Darnold,NYJ,33.5,22.1,254.6,1.6,0.9,2.9,11.4,0.1,0.2,16.5
Jared Goff,LAR,36.4,23.5,280.7,1.7,0.9,2.0,5.6,0.1,0.3,16.5
Kirk Cousins,MIN,34.2,23.5,260.2,1.7,0.7,1.9,6.0,0.1,0.2,16.4
Nick Foles,JAC,38.2,25.0,265.6,1.7,0.8,1.3,3.4,0.1,0.2,16.3
Mitch Trubisky,CHI,33.4,21.1,230.5,1.4,0.9,3.4,16.3,0.1,0.2,15.2
Ryan Tannehill,TEN,31.1,20.6,236.1,1.4,0.8,4.3,19.4,0.1,0.3,15.1
Daniel Jones,NYG,34.8,21.9,248.6,1.3,1.0,3.9,21.2,0.1,0.4,14.9
Baker Mayfield,CLE,34.3,21.9,260.4,1.5,1.0,1.8,6.7,0.1,0.2,14.8
Andy Dalton,CIN,35.3,21.0,238.3,1.5,1.0,2.5,8.9,0.1,0.2,14.8
Kyle Allen,CAR,34.8,21.8,253.3,1.6,0.9,1.4,4.0,0.0,0.3,14.7
Jacoby Brissett,IND,32.2,20.6,219.3,1.3,0.6,3.5,14.0,0.2,0.2,14.6
