Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1769832918,Straight Cash Free Contest Series presented by Straight Talk Wireless,82064595,$0,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,1. Column A lists all of your contest entries for this draftgroup
1769832919,AutoNation Free Football Challenge,82064632,$0,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,2. Your current lineup is listed next to each entry (blank for reservations)
1769832940,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1769832941,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1769832942,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,5. For faster processing only include entries you are changing in the file you upload
1769832943,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,
1769832944,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1769832945,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Christian McCaffrey (13887988),Christian McCaffrey,13887988,RB/FLEX,10300,CAR@ATL 12/08/2019 01:00PM ET,CAR,31.26
1769832946,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Dalvin Cook (13887990),Dalvin Cook,13887990,RB/FLEX,9500,DET@MIN 12/08/2019 01:00PM ET,MIN,23.88
1769832947,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Michael Thomas (13888214),Michael Thomas,13888214,WR/FLEX,8300,SF@NO 12/08/2019 01:00PM ET,NO,24.59
1769832948,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Derrick Henry (13887992),Derrick Henry,13887992,RB/FLEX,8200,TEN@OAK 12/08/2019 04:25PM ET,TEN,19.83
1769832949,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Tyreek Hill (13888216),Tyreek Hill,13888216,WR/FLEX,8100,KC@NE 12/08/2019 04:25PM ET,KC,16.9
1769832950,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Nick Chubb (13887994),Nick Chubb,13887994,RB/FLEX,8000,CIN@CLE 12/08/2019 01:00PM ET,CLE,18.92
1769832951,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Davante Adams (13888218),Davante Adams,13888218,WR/FLEX,8000,WAS@GB 12/08/2019 01:00PM ET,GB,18.18
1769832952,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Leonard Fournette (13887996),Leonard Fournette,13887996,RB/FLEX,7800,LAC@JAX 12/08/2019 04:05PM ET,JAX,19.52
1769832953,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Stefon Diggs (13888220),Stefon Diggs,13888220,WR/FLEX,7600,DET@MIN 12/08/2019 01:00PM ET,MIN,15.68
1769832954,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Julio Jones (13888222),Julio Jones,13888222,WR/FLEX,7500,CAR@ATL 12/08/2019 01:00PM ET,ATL,17.7
