"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Christian McCaffrey","CAR","ATL","Sun 01:00 EST","RB","22.8%","11000","RB","21.9%","10300"
"Nick Chubb","CLE","CIN","Sun 01:00 EST","RB","22.8%","7900","RB","9.8%","8000"
"Dalvin Cook","MIN","DET","Sun 01:00 EST","RB","22.5%","8700","RB","14.8%","9500"
"Leonard Fournette","JAC","LAC","Sun 04:05 EST","RB","20.5%","7500","RB","11.0%","7800"
"Devonta Freeman","ATL","CAR","Sun 01:00 EST","RB","18.8%","6000","RB","12.2%","5400"
"Travis Kelce","KC","NE","Sun 04:25 EST","TE","16.3%","7100","TE","17.4%","6200"
"Michael Thomas","NO","SF","Sun 01:00 EST","WR","15.2%","8600","WR","14.7%","8300"
"Deshaun Watson","HOU","DEN","Sun 01:00 EST","QB","14.9%","7700","QB","14.1%","6500"
"Mike Evans","TB","IND","Sun 01:00 EST","WR","13.9%","7700","WR","13.5%","7200"
"DeVante Parker","MIA","NYJ","Sun 01:00 EST","WR","13.8%","7200","WR","13.2%","6900"
"Calvin Ridley","ATL","CAR","Sun 01:00 EST","WR","13.2%","6900","WR","12.6%","6700"
"Christian Kirk","ARI","PIT","Sun 04:25 EST","WR","13.1%","5900","WR","13.6%","5200"
"Darren Waller","OAK","TEN","Sun 04:25 EST","TE","12.3%","6200","TE","12.4%","5800"
"Jamison Crowder","NYJ","MIA","Sun 01:00 EST","WR","12.2%","6000","WR","12.8%","5300"
"Le'Veon Bell","NYJ","MIA","Sun 01:00 EST","RB","12.0%","7300","RB","11.0%","7200"
"Davante Adams","GB","WAS","Sun 01:00 EST","WR","12.0%","8400","WR","11.5%","8000"
"Julian Edelman","NE","KC","Sun 04:25 EST","WR","11.3%","7600","WR","11.1%","7100"
"DeAndre Hopkins","HOU","DEN","Sun 01:00 EST","WR","11.2%","8300","WR","11.6%","7400"
"D.J. Moore","CAR","ATL","Sun 01:00 EST","WR","11.1%","7100","WR","8.2%","7000"
"Alvin Kamara","NO","SF","Sun 01:00 EST","RB","10.9%","7600","RB","10.9%","7000"
"Hunter Henry","LAC","JAC","Sun 04:05 EST","TE","10.8%","6400","TE","8.5%","5100"
"Jarvis Landry","CLE","CIN","Sun 01:00 EST","WR","10.7%","7200","WR","11.0%","6500"
"George Kittle","SF","NO","Sun 01:00 EST","TE","10.5%","6700","TE","11.2%","5900"
"Will Fuller","HOU","DEN","Sun 01:00 EST","WR","10.5%","6600","WR","11.5%","5500"
"Aaron Jones","GB","WAS","Sun 01:00 EST","RB","10.3%","7800","RB","10.7%","6700"
"Chris Godwin","TB","IND","Sun 01:00 EST","WR","10.2%","7900","WR","10.2%","7300"
"Zach Pascal","IND","TB","Sun 01:00 EST","WR","10.1%","6100","WR","10.5%","5500"
"Jamaal Williams","GB","WAS","Sun 01:00 EST","RB","10.1%","5600","RB","10.7%","4800"
"Derrick Henry","TEN","OAK","Sun 04:25 EST","RB","10.0%","9100","RB","9.3%","8200"
"Lamar Jackson","BAL","BUF","Sun 01:00 EST","QB","9.7%","9000","QB","9.4%","7400"
"Josh Jacobs","OAK","TEN","Sun 04:25 EST","RB","9.1%","7700","RB","9.3%","6500"
"Austin Hooper","ATL","CAR","Sun 01:00 EST","TE","8.7%","6600","TE","9.0%","6000"
"Jameis Winston","TB","IND","Sun 01:00 EST","QB","8.6%","7700","QB","8.3%","6400"
"Patrick Mahomes","KC","NE","Sun 04:25 EST","QB","8.1%","8400","QB","7.8%","7000"
"James White","NE","KC","Sun 04:25 EST","RB","8.0%","6000","RB","8.5%","5500"
"Phillip Lindsay","DEN","HOU","Sun 01:00 EST","RB","8.0%","6400","RB","8.5%","5300"
"Stefon Diggs","MIN","DET","Sun 01:00 EST","WR","8.0%","8000","WR","7.8%","7600"
"Tyrell Williams","OAK","TEN","Sun 04:25 EST","WR","7.9%","5700","WR","8.4%","5000"
"Matt Ryan","ATL","CAR","Sun 01:00 EST","QB","7.7%","7600","QB","8.2%","6600"
"Julio Jones","ATL","CAR","Sun 01:00 EST","WR","7.6%","7800","WR","7.3%","7500"
"Aaron Rodgers","GB","WAS","Sun 01:00 EST","QB","7.6%","8400","QB","7.5%","6800"
"Jack Doyle","IND","TB","Sun 01:00 EST","TE","7.4%","6300","TE","9.6%","4600"
"Melvin Gordon","LAC","JAC","Sun 04:05 EST","RB","7.3%","7300","RB","7.3%","6400"
"Sam Darnold","NYJ","MIA","Sun 01:00 EST","QB","7.2%","7700","QB","7.4%","6000"
"Tyler Boyd","CIN","CLE","Sun 01:00 EST","WR","6.9%","6300","WR","7.0%","5900"
"Mark Andrews","BAL","BUF","Sun 01:00 EST","TE","6.6%","6600","TE","7.3%","5600"
"Odell Beckham","CLE","CIN","Sun 01:00 EST","WR","6.6%","6800","WR","6.6%","6300"
"Kenny Golladay","DET","MIN","Sun 01:00 EST","WR","6.0%","7400","WR","6.2%","6700"
"Patrick Laird","MIA","NYJ","Sun 01:00 EST","RB","5.8%","5500","RB","6.8%","4100"
"Duke Johnson","HOU","DEN","Sun 01:00 EST","RB","5.7%","5600","RB","7.8%","3900"
"Ronald Jones","TB","IND","Sun 01:00 EST","RB","5.5%","5800","RB","6.4%","4400"
"Ryan Fitzpatrick","MIA","NYJ","Sun 01:00 EST","QB","5.5%","7400","QB","5.4%","6000"
"Mike Williams","LAC","JAC","Sun 04:05 EST","WR","5.4%","5900","WR","6.5%","4500"
"Ryan Tannehill","TEN","OAK","Sun 04:25 EST","QB","5.3%","7300","QB","5.3%","5800"
"Carlos Hyde","HOU","DEN","Sun 01:00 EST","RB","5.0%","6000","RB","5.6%","4500"
"A.J. Brown","TEN","OAK","Sun 04:25 EST","WR","5.0%","5400","WR","4.8%","5300"
"LeSean McCoy","KC","NE","Sun 04:25 EST","RB","4.9%","6100","RB","6.0%","4400"
"Tyreek Hill","KC","NE","Sun 04:25 EST","WR","4.9%","8300","WR","4.6%","8100"
"Keenan Allen","LAC","JAC","Sun 04:05 EST","WR","4.7%","6800","WR","4.5%","6600"
"Tom Brady","NE","KC","Sun 04:25 EST","QB","4.7%","7700","QB","5.6%","6100"
"Kareem Hunt","CLE","CIN","Sun 01:00 EST","RB","4.5%","6400","RB","4.2%","6600"
"Corey Davis","TEN","OAK","Sun 04:25 EST","WR","4.4%","5000","WR","5.2%","3900"
"Marvin Jones","DET","MIN","Sun 01:00 EST","WR","4.3%","6400","WR","4.6%","5400"
"James Washington","PIT","ARI","Sun 04:25 EST","WR","4.2%","6700","WR","4.4%","6000"
"Curtis Samuel","CAR","ATL","Sun 01:00 EST","WR","4.2%","5800","WR","4.6%","4900"
"Sony Michel","NE","KC","Sun 04:25 EST","RB","4.1%","6600","RB","4.0%","5600"
"Robby Anderson","NYJ","MIA","Sun 01:00 EST","WR","4.1%","6400","WR","4.6%","5100"
"Derek Carr","OAK","TEN","Sun 04:25 EST","QB","4.0%","7000","QB","0.0%","5000"
"D.J. Chark","JAC","LAC","Sun 04:05 EST","WR","4.0%","6200","WR","3.7%","6200"
"Courtland Sutton","DEN","HOU","Sun 01:00 EST","WR","3.9%","7300","WR","4.1%","6400"
"Kirk Cousins","MIN","DET","Sun 01:00 EST","QB","3.9%","8200","QB","3.8%","6700"
"Demaryius Thomas","NYJ","MIA","Sun 01:00 EST","WR","3.5%","5000","WR","4.5%","3700"
"Diontae Johnson","PIT","ARI","Sun 04:25 EST","WR","3.4%","5100","WR","3.9%","4300"
"Mike Gesicki","MIA","NYJ","Sun 01:00 EST","TE","3.3%","5400","TE","4.2%","4000"
"Emmanuel Sanders","SF","NO","Sun 01:00 EST","WR","3.3%","5900","WR","3.1%","5800"
"Terry McLaurin","WAS","GB","Sun 01:00 EST","WR","3.2%","5600","WR","3.3%","5100"
"Kenyan Drake","ARI","PIT","Sun 04:25 EST","RB","3.1%","6100","RB","3.3%","5200"
"Mark Ingram","BAL","BUF","Sun 01:00 EST","RB","3.1%","7400","RB","3.4%","5900"
"Deebo Samuel","SF","NO","Sun 01:00 EST","WR","3.1%","6000","WR","3.1%","5600"
"Dede Westbrook","JAC","LAC","Sun 04:05 EST","WR","3.0%","6200","WR","3.5%","5200"
"Josh Allen","BUF","BAL","Sun 01:00 EST","QB","2.8%","7800","QB","2.8%","6200"
"Allen Lazard","GB","WAS","Sun 01:00 EST","WR","2.8%","5600","WR","3.6%","4200"
"Kelvin Harmon","WAS","GB","Sun 01:00 EST","WR","2.8%","4800","WR","3.2%","3700"
"Marquise Brown","BAL","BUF","Sun 01:00 EST","WR","2.7%","5500","WR","3.0%","4700"
"Alexander Mattison","MIN","DET","Sun 01:00 EST","RB","2.7%","5100","RB","2.6%","4500"
"Vance McDonald","PIT","ARI","Sun 04:25 EST","TE","2.6%","5800","TE","3.4%","4300"
"Jared Cook","NO","SF","Sun 01:00 EST","TE","2.6%","6500","TE","3.8%","4200"
"Sammy Watkins","KC","NE","Sun 04:25 EST","WR","2.6%","5600","WR","2.8%","4600"
"Jacoby Brissett","IND","TB","Sun 01:00 EST","QB","2.5%","7400","QB","2.4%","6100"
"Derrius Guice","WAS","GB","Sun 01:00 EST","RB","2.5%","6300","RB","2.8%","4900"
"Mohamed Sanu","NE","KC","Sun 04:25 EST","WR","2.4%","5800","WR","2.6%","5000"
"Cole Beasley","BUF","BAL","Sun 01:00 EST","WR","2.4%","6100","WR","2.6%","5400"
"Marcus Johnson","IND","TB","Sun 01:00 EST","WR","2.4%","5200","WR","3.2%","3600"
"Kyle Rudolph","MIN","DET","Sun 01:00 EST","TE","2.3%","4800","TE","2.4%","4400"
"Kenny Stills","HOU","DEN","Sun 01:00 EST","WR","2.2%","5000","WR","2.7%","3700"
"Ryan Griffin","NYJ","MIA","Sun 01:00 EST","TE","2.1%","5600","TE","2.7%","4100"
"Ian Thomas","CAR","ATL","Sun 01:00 EST","TE","2.1%","4000","TE","3.1%","2500"
"Peyton Barber","TB","IND","Sun 01:00 EST","RB","2.0%","5700","RB","2.3%","4200"
"Baker Mayfield","CLE","CIN","Sun 01:00 EST","QB","2.0%","7600","QB","1.9%","6300"
