Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_safety,def_pa,def_tyda,fpts
Green Bay Packers,GB,3.8,1.2,0.7,1.0,0.2,0.0,15.4,272.6,9.5
Pittsburgh Steelers,PIT,3.9,0.9,0.7,1.1,0.1,0.0,18.8,308.6,9.1
New York Jets,NYJ,3.2,1.2,0.7,1.1,0.2,0.0,19.5,302.6,9.0
Minnesota Vikings,MIN,2.9,1.1,0.6,0.9,0.2,0.0,15.7,324.9,8.6
Cleveland Browns,CLE,2.7,1.0,0.7,1.4,0.2,0.0,18.2,306.9,8.2
Indianapolis Colts,IND,3.1,1.2,0.7,1.3,0.2,0.0,24.1,376.3,8.0
Philadelphia Eagles,PHI,2.7,0.9,0.7,1.2,0.2,0.0,18.4,346.3,7.9
Dallas Cowboys,DAL,2.9,0.8,0.7,1.1,0.2,0.0,18.4,291.6,7.9
Los Angeles Chargers,LAC,2.9,0.8,0.6,0.9,0.1,0.0,18.6,332.3,7.7
Atlanta Falcons,ATL,3.4,1.0,0.6,0.9,0.2,0.1,22.5,349.0,7.6
Houston Texans,HOU,2.5,0.9,0.5,1.0,0.2,0.0,16.9,323.1,7.5
Baltimore Ravens,BAL,2.6,0.9,0.6,1.0,0.1,0.0,18.2,319.7,7.5
Carolina Panthers,CAR,3.1,0.9,0.7,1.2,0.1,0.0,25.3,358.9,7.3
Los Angeles Rams,LAR,3.3,0.6,0.7,1.1,0.2,0.0,22.2,361.4,7.0
Oakland Raiders,OAK,3.0,0.8,0.7,0.9,0.1,0.1,23.5,340.7,6.8
New Orleans Saints,NO,2.8,0.8,0.7,1.2,0.2,0.0,20.2,350.3,6.8
Miami Dolphins,MIA,2.6,1.0,0.5,0.7,0.1,0.1,24.6,329.7,6.7
Denver Broncos,DEN,3.0,0.7,0.6,0.8,0.1,0.0,24.2,357.0,6.4
Jacksonville Jaguars,JAC,2.5,0.9,0.6,0.9,0.1,0.0,22.2,368.8,6.3
Cincinnati Bengals,CIN,2.4,0.9,0.5,0.7,0.1,0.0,23.5,387.4,6.2
Tampa Bay Buccaneers,TB,2.3,0.7,0.7,1.3,0.1,0.1,22.7,319.9,6.0
New York Giants,NYG,2.4,0.7,0.6,1.0,0.1,0.0,26.8,347.8,5.8
Chicago Bears,CHI,2.2,0.8,0.6,0.9,0.1,0.0,20.4,370.0,5.8
San Francisco 49ers,SF,2.3,0.6,0.6,1.1,0.1,0.0,22.3,356.8,5.7
New England Patriots,NE,2.0,0.8,0.6,1.2,0.1,0.0,21.0,391.0,5.7
Seattle Seahawks,SEA,1.9,0.8,0.7,1.3,0.1,0.0,22.7,377.6,5.7
Arizona Cardinals,ARI,1.9,0.8,0.6,1.0,0.2,0.0,21.9,323.9,5.6
Kansas City Chiefs,KC,2.0,0.8,0.5,0.8,0.2,0.0,24.7,364.9,5.6
Tennessee Titans,TEN,2.2,0.7,0.6,0.8,0.1,0.0,20.6,343.8,5.5
Detroit Lions,DET,2.2,0.6,0.7,1.1,0.1,0.0,26.7,386.6,5.4
Buffalo Bills,BUF,2.1,0.7,0.5,0.9,0.1,0.0,23.5,372.3,5.3
Washington Redskins,WAS,2.6,0.5,0.5,0.9,0.1,0.0,26.3,361.6,5.2
