Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Christian McCaffrey,CAR,17.7,84.9,0.7,6.7,57.0,0.3,0.2,22.8
Derrick Henry,TEN,20.9,102.2,0.9,1.7,16.4,0.1,0.2,18.5
Leonard Fournette,JAC,18.2,74.3,0.6,5.2,37.2,0.1,0.1,17.6
Alvin Kamara,NO,13.2,62.6,0.5,5.9,46.7,0.2,0.1,17.4
Dalvin Cook,MIN,15.4,72.4,0.7,3.7,36.0,0.1,0.2,17.1
Ezekiel Elliott,DAL,20.0,85.8,0.6,3.6,29.1,0.1,0.2,16.8
Nick Chubb,CLE,18.2,91.4,0.6,2.3,17.8,0.1,0.2,16.0
Melvin Gordon,LAC,16.9,76.2,0.6,2.6,21.8,0.1,0.1,15.4
Aaron Jones,GB,13.8,64.0,0.7,3.0,25.6,0.1,0.1,15.3
Miles Sanders,PHI,14.3,67.0,0.4,3.3,34.9,0.2,0.1,15.2
Saquon Barkley,NYG,17.2,74.4,0.3,4.2,33.5,0.1,0.1,15.1
Todd Gurley,LAR,16.6,71.5,0.7,2.7,21.4,0.1,0.1,15.0
Josh Jacobs,OAK,17.1,76.8,0.7,2.0,13.9,0.1,0.1,14.2
Devonta Freeman,ATL,15.3,61.0,0.5,3.2,24.7,0.1,0.2,13.4
Mark Ingram,BAL,14.2,67.5,0.6,2.1,16.1,0.1,0.1,13.2
Chris Carson,SEA,16.5,69.9,0.4,2.5,18.0,0.1,0.2,12.8
James White,NE,5.4,23.1,0.1,5.1,46.6,0.4,0.1,12.5
Devin Singletary,BUF,12.0,53.7,0.4,3.0,25.4,0.1,0.1,12.3
Kenyan Drake,ARI,12.5,51.5,0.4,3.5,25.6,0.1,0.1,12.2
Phillip Lindsay,DEN,13.7,66.7,0.3,2.8,20.6,0.0,0.1,11.9
Austin Ekeler,LAC,7.6,33.4,0.2,4.2,38.5,0.2,0.1,11.4
Joe Mixon,CIN,16.2,65.8,0.2,2.4,18.6,0.1,0.1,11.4
David Montgomery,CHI,15.5,61.4,0.4,2.2,16.2,0.1,0.1,11.2
Benny Snell Jr.,PIT,15.5,65.3,0.5,1.2,9.2,0.0,0.1,11.1
Sony Michel,NE,16.8,69.5,0.6,0.7,5.4,0.0,0.1,11.0
Kareem Hunt,CLE,8.2,38.8,0.2,3.4,29.1,0.1,0.1,10.4
Jamaal Williams,GB,10.7,44.2,0.2,3.2,23.5,0.2,0.1,10.3
Derrius Guice,WAS,11.5,48.4,0.4,2.3,17.8,0.1,0.1,10.2
Marlon Mack,IND,14.9,61.8,0.3,1.9,11.8,0.0,0.1,9.9
Carlos Hyde,HOU,15.4,64.5,0.4,1.0,4.6,0.0,0.1,9.8
LeSean McCoy,KC,11.1,46.2,0.2,2.9,22.0,0.1,0.1,9.4
Bo Scarbrough,DET,15.9,66.1,0.3,0.9,5.9,0.0,0.2,9.1
Tevin Coleman,SF,10.3,42.2,0.4,2.0,13.6,0.1,0.1,9.0
Patrick Laird,MIA,8.4,31.2,0.2,3.4,27.3,0.1,0.1,8.7
Alexander Mattison,MIN,10.5,43.7,0.4,1.9,13.2,0.0,0.1,8.7
Duke Johnson,HOU,7.9,33.2,0.1,3.2,26.7,0.1,0.1,8.6
Jaylen Samuels,PIT,6.3,24.1,0.1,4.3,29.7,0.1,0.1,8.4
Tarik Cohen,CHI,6.4,25.6,0.1,4.1,28.1,0.1,0.1,8.4
Rashaad Penny,SEA,10.8,50.2,0.2,1.6,12.3,0.1,0.1,8.3
Ronald Jones II,TB,10.6,39.9,0.2,1.9,16.0,0.0,0.1,7.9
