Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Davante Adams,GB,WAS,1,8,1.4,0.7,18.7,0.49
2,Michael Thomas,NO,SF,1,5,1.9,0.6,15.7,0.36
3,Mike Evans,TB,IND,2,11,4.2,1.3,15.4,0.845
4,Chris Godwin,TB,IND,2,7,4.4,1.3,15.0,0.845
5,DeAndre Hopkins,HOU,DEN,2,21,4.7,2.1,15.0,2.205
6,Tyreek Hill,KC,NE,2,12,6.6,1.2,14.0,0.72
7,D.J. Moore,CAR,ATL,4,10,6.9,1.5,13.8,0.5625
8,Julian Edelman,NE,KC,5,9,7.9,1.0,13.6,0.2
9,Cooper Kupp,LAR,SEA,3,15,9.4,1.5,13.5,0.75
10,Julio Jones,ATL,CAR,4,28,11.0,4.6,13.4,5.29
11,Stefon Diggs,MIN,DET,7,23,12.4,3.3,13.4,1.55571428571
12,Keenan Allen,LAC,JAC,10,18,13.2,1.9,13.3,0.361
13,Devante Parker,MIA,NYJ,8,20,13.6,2.1,12.8,0.55125
14,Jarvis Landry,CLE,CIN,11,38,14.3,2.4,12.6,0.523636363636
15,Odell Beckham Jr.,CLE,CIN,9,39,14.6,2.8,12.5,0.871111111111
16,Allen Robinson,CHI,DAL,12,20,15.5,1.2,12.4,0.12
17,Amari Cooper,DAL,CHI,4,31,18.1,4.0,12.2,4.0
18,D.J. Chark,JAC,LAC,9,29,19.4,4.3,12.1,2.05444444444
19,Courtland Sutton,DEN,HOU,10,23,19.4,2.3,11.8,0.529
20,Calvin Ridley,ATL,CAR,13,27,19.5,2.4,12.0,0.443076923077
21,Alshon Jeffery,PHI,NYG,3,26,20.8,3.9,11.7,5.07
22,Tyler Lockett,SEA,LAR,15,28,21.1,2.4,11.5,0.384
23,Robert Woods,LAR,SEA,13,29,21.7,2.4,11.4,0.443076923077
24,Tyler Boyd,CIN,CLE,17,33,23.9,2.3,11.1,0.311176470588
25,Kenny Golladay,DET,MIN,4,36,24.7,3.3,11.0,2.7225
26,John Brown,BUF,BAL,20,37,25.3,3.2,10.9,0.512
27,Michael Gallup,DAL,CHI,21,35,29.3,2.4,10.8,0.274285714286
28,Christian Kirk,ARI,PIT,24,48,29.5,3.3,10.5,0.45375
29,Robby Anderson,NYJ,MIA,14,40,29.9,4.1,10.4,1.20071428571
30,Jamison Crowder,NYJ,MIA,20,44,30.1,2.2,10.4,0.242
31,D.K. Metcalf,SEA,LAR,25,65,31.2,4.2,10.3,0.7056
32,Sterling Shepard,NYG,PHI,23,41,34.1,3.1,10.3,0.417826086957
33,Marvin Jones,DET,MIN,18,45,34.1,4.5,10.2,1.125
34,Deebo Samuel,SF,NO,31,44,34.8,3.0,10.2,0.290322580645
35,Curtis Samuel,CAR,ATL,29,46,36.4,3.2,10.1,0.353103448276
36,Zach Pascal,IND,TB,19,47,36.7,3.0,10.0,0.473684210526
37,James Washington,PIT,ARI,17,48,37.8,5.3,9.8,1.65235294118
38,A.J. Brown,TEN,OAK,28,46,37.8,3.9,9.8,0.543214285714
39,Terry McLaurin,WAS,GB,30,51,39.0,4.6,9.7,0.705333333333
40,Mike Williams,LAC,JAC,28,50,39.6,3.8,9.7,0.515714285714
41,Tyrell Williams,OAK,TEN,19,45,40.4,2.1,9.7,0.232105263158
42,Dede Westbrook,JAC,LAC,34,50,44.1,2.7,9.5,0.214411764706
43,Anthony Miller,CHI,DAL,32,51,44.2,3.9,9.3,0.4753125
44,Golden Tate,NYG,PHI,31,66,45.4,7.5,9.1,1.81451612903
45,Emmanuel Sanders,SF,NO,26,56,45.6,3.0,9.0,0.346153846154
46,Marquise Brown,BAL,BUF,30,63,46.6,3.6,8.9,0.432
47,Brandin Cooks,LAR,SEA,32,58,46.7,3.9,8.7,0.4753125
48,Darius Slayton,NYG,PHI,42,63,47.9,3.1,8.6,0.22880952381
49,Cole Beasley,BUF,BAL,35,55,48.2,2.2,8.5,0.138285714286
50,Larry Fitzgerald,ARI,PIT,40,60,50.9,2.8,8.2,0.196
51,Sammy Watkins,KC,NE,33,60,51.6,3.4,8.1,0.350303030303
52,Randall Cobb,DAL,CHI,42,62,52.7,2.9,8.1,0.200238095238
53,Diontae Johnson,PIT,ARI,35,66,53.1,4.6,8.0,0.604571428571
54,Corey Davis,TEN,OAK,46,61,55.0,2.6,8.0,0.146956521739
55,Auden Tate,CIN,CLE,49,65,55.9,3.1,7.8,0.19612244898
56,Chris Conley,JAC,LAC,48,63,58.1,2.4,7.7,0.12
57,Allen Hurns,MIA,NYJ,52,68,58.3,1.8,7.7,0.0623076923077
58,Russell Gage,ATL,CAR,52,68,58.5,3.9,7.5,0.2925
59,Allen Lazard,GB,WAS,30,72,59.4,4.1,7.4,0.560333333333
60,Kenny Stills,HOU,DEN,33,77,56.7,11.1,7.4,3.73363636364
61,Demaryius Thomas,NYJ,MIA,55,76,63.2,4.0,7.2,0.290909090909
62,Mohamed Sanu,NE,KC,49,96,65.0,8.3,7.2,1.40591836735
63,Danny Amendola,DET,MIN,52,77,67.3,3.7,7.1,0.263269230769
64,Phillip Dorsett,NE,KC,60,81,66.8,5.2,7.1,0.450666666667
65,Kelvin Harmon,WAS,GB,54,81,67.9,6.5,6.9,0.782407407407
66,Albert Wilson,MIA,NYJ,53,80,71.1,4.9,6.7,0.453018867925
67,John Ross,CIN,CLE,52,94,68.8,11.8,6.5,2.67769230769
68,Nelson Agholor,PHI,NYG,57,83,66.0,4.9,6.4,0.421228070175
69,Ted Ginn,NO,SF,63,84,70.5,5.4,6.1,0.462857142857
70,Kendrick Bourne,SF,NO,65,79,71.6,3.2,6.1,0.157538461538
71,Mecole Hardman,KC,NE,65,88,72.6,5.2,6.0,0.416
72,Tim Patrick,DEN,HOU,64,91,75.9,5.3,5.9,0.43890625
73,Jakobi Meyers,NE,KC,59,84,72.9,6.2,5.9,0.651525423729
74,Olabisi Johnson,MIN,DET,57,91,78.6,5.8,5.9,0.590175438596
75,Josh Gordon,SEA,LAR,67,95,76.6,8.2,5.6,1.00358208955
76,Zay Jones,OAK,TEN,65,88,78.2,4.9,5.6,0.369384615385
77,Marcus Johnson,IND,TB,63,82,74.9,4.4,5.6,0.307301587302
78,Parris Campbell,IND,TB,43,122,72.3,17.5,5.5,7.12209302326
79,Demarcus Robinson,KC,NE,68,99,81.0,6.4,5.2,0.602352941176
80,Willie Snead,BAL,BUF,64,93,82.0,4.7,5.2,0.34515625
81,Geronimo Allison,GB,WAS,64,88,81.3,4.7,5.1,0.34515625
82,Will Fuller,HOU,DEN,22,102,42.9,23.2,4.8,24.4654545455
83,Tre'Quan Smith,NO,SF,73,92,83.0,4.4,4.7,0.265205479452
84,Alex Erickson,CIN,CLE,57,126,87.7,15.2,4.7,4.05333333333
85,Breshad Perriman,TB,IND,68,88,79.4,4.5,4.6,0.297794117647
86,Javon Wims,CHI,DAL,66,90,80.0,6.6,4.6,0.66
87,J.J. Arcega-Whiteside,PHI,NYG,75,113,87.5,7.7,4.5,0.790533333333
88,Isaiah McKenzie,BUF,BAL,71,98,88.2,3.9,4.4,0.214225352113
89,Marquez Valdes-Scantling,GB,WAS,71,110,92.6,6.2,4.4,0.541408450704
90,Jarius Wright,CAR,ATL,84,107,91.2,5.0,4.3,0.297619047619
91,Andy Isabella,ARI,PIT,82,100,90.1,3.5,4.3,0.149390243902
92,Kalif Raymond,TEN,OAK,73,101,90.8,7.9,4.2,0.854931506849
93,Josh Reynolds,LAR,SEA,86,103,93.0,3.8,4.1,0.167906976744
94,N'Keal Harry,NE,KC,77,115,94.2,9.7,3.9,1.22194805195
95,Pharoh Cooper,ARI,PIT,72,106,90.8,9.2,3.9,1.17555555556
96,Laquon Treadwell,MIN,DET,84,111,98.5,6.3,3.8,0.4725
97,Rashard Higgins,CLE,CIN,72,117,99.7,8.9,3.8,1.10013888889
98,David Moore,SEA,LAR,81,105,97.6,3.6,3.6,0.16
99,Seth Roberts,BAL,BUF,77,111,102.0,4.6,3.6,0.274805194805
100,Keelan Cole,JAC,LAC,93,107,100.1,3.1,3.5,0.103333333333
101,DaeSean Hamilton,DEN,HOU,82,118,102.2,5.5,3.5,0.368902439024
102,Christian Blake,ATL,CAR,90,117,100.8,6.4,3.5,0.455111111111
103,Greg Ward,PHI,NYG,89,117,106.6,5.9,3.4,0.391123595506
104,Cody Latimer,NYG,PHI,94,118,102.9,5.3,3.3,0.298829787234
105,Miles Boykin,BAL,BUF,86,116,105.9,5.1,3.3,0.302441860465
106,Tavon Austin,DAL,CHI,64,109,97.8,6.1,3.3,0.58140625
107,Steven Sims,WAS,GB,76,113,98.6,11.5,3.2,1.74013157895
108,Justin Hardy,ATL,CAR,96,123,108.8,5.4,3.1,0.30375
109,Keelan Doss,OAK,TEN,87,127,106.7,11.0,3.1,1.3908045977
110,Deon Cain,PIT,ARI,87,124,107.2,6.6,3.1,0.500689655172
111,KeeSean Johnson,ARI,PIT,92,141,113.8,12.4,3.1,1.67130434783
112,Tevin Jones,PIT,ARI,90,112,102.7,7.4,3.0,0.608444444444
113,Robert Foster,BUF,BAL,98,113,110.2,3.1,3.0,0.0980612244898
114,Cordarrelle Patterson,CHI,DAL,88,127,114.6,7.0,2.8,0.556818181818
115,Andre Patton,LAC,JAC,89,128,116.3,6.7,2.7,0.504382022472
116,Jake Kumerow,GB,WAS,97,128,115.4,7.4,2.7,0.564536082474
117,Tajae Sharpe,TEN,OAK,72,137,111.8,18.3,2.5,4.65125
118,Isaiah Ford,MIA,NYJ,103,140,117.2,9.3,2.5,0.839708737864
119,Malik Turner,SEA,LAR,112,129,118.3,4.5,2.4,0.180803571429
120,Khadarel Hodge,CLE,CIN,102,135,120.6,6.9,2.4,0.466764705882
121,Jesper Horsted,CHI,DAL,63,124,92.8,19.6,2.3,6.09777777778
122,Vyncint Smith,NYJ,MIA,109,123,117.6,4.2,2.0,0.161834862385
123,Keke Coutee,HOU,DEN,66,146,117.9,26.0,2.0,10.2424242424
124,Braxton Berrios,NYJ,MIA,115,125,121.8,3.2,1.9,0.0890434782609
125,Ashton Dulin,IND,TB,91,135,118.3,9.2,1.9,0.93010989011
126,Jaron Brown,SEA,LAR,109,130,121.7,7.5,1.8,0.516055045872
127,Marcell Ateman,OAK,TEN,113,144,127.1,7.4,1.8,0.484601769912
128,Diontae Spencer,DEN,HOU,118,134,125.0,5.2,1.7,0.229152542373
129,Damiere Byrd,ARI,PIT,100,133,121.0,11.4,1.6,1.2996
130,Cody Hollister,TEN,OAK,104,123,115.4,8.2,1.5,0.646538461538
131,Richie James,SF,NO,113,151,132.1,11.7,1.5,1.2114159292
132,DeAndre Carter,HOU,DEN,109,126,122.4,3.5,1.4,0.112385321101
133,Johnny Holton,PIT,ARI,115,144,133.0,7.3,1.4,0.463391304348
134,Marquise Goodwin,SF,NO,112,140,129.0,8.1,1.3,0.585803571429
135,Trevor Davis,MIA,NYJ,119,130,125.2,3.7,1.3,0.115042016807
136,Justin Watson,TB,IND,119,133,127.8,4.7,1.3,0.185630252101
137,Andre Roberts,BUF,BAL,125,152,135.2,8.9,1.1,0.63368
138,Cam Sims,WAS,GB,122,150,137.2,8.2,0.9,0.551147540984
139,Fred Brown,DEN,HOU,124,154,137.5,10.1,0.9,0.822661290323
140,Chris Moore,BAL,BUF,134,143,137.4,3.4,0.8,0.0862686567164
141,Cody Core,NYG,PHI,135,142,138.5,2.7,0.8,0.054
142,Krishawn Hogan,NO,SF,129,147,139.5,6.9,0.7,0.369069767442
143,Chad Williams,IND,TB,133,147,139.8,5.1,0.7,0.195563909774
144,Michael Walker,JAC,LAC,127,140,135.0,5.7,0.7,0.255826771654
145,Taywan Taylor,CLE,CIN,139,145,142.3,2.4,0.7,0.0414388489209
146,Scott Miller,TB,IND,114,153,139.3,17.9,0.7,2.81061403509
147,Cedrick Wilson,DAL,CHI,130,138,134.0,4.0,0.6,0.123076923077
148,Mike Thomas,LAR,SEA,136,155,146.8,8.0,0.6,0.470588235294
149,Dante Pettis,SF,NO,139,158,146.8,7.3,0.5,0.383381294964
150,Duke Williams,BUF,BAL,138,157,147.3,7.3,0.5,0.38615942029
151,Riley Ridley,CHI,DAL,139,154,147.8,5.5,0.5,0.217625899281
152,Greg Dortch,CAR,ATL,121,159,144.3,16.7,0.5,2.30487603306
153,Byron Pringle,KC,NE,144,150,148.0,2.4,0.5,0.04
154,Mack Hollins,MIA,NYJ,136,152,145.3,6.8,0.4,0.34
155,Chris Lacy,DET,MIN,140,156,147.3,6.6,0.4,0.311142857143
156,Damion Ratley,CLE,CIN,146,158,152.0,5.5,0.4,0.207191780822
157,Ventell Bryant,DAL,CHI,145,149,147.0,2.0,0.3,0.0275862068966
158,Stanley Morgan Jr.,CIN,CLE,149,156,153.0,2.7,0.2,0.0489261744966
159,Trent Sherfield,ARI,PIT,147,160,153.5,5.6,0.2,0.213333333333
