Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1786163954,Straight Cash Free Contest Series presented by Straight Talk Wireless,82492998,$0,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,1. Column A lists all of your contest entries for this draftgroup
1786163955,AutoNation Free Football Challenge,82493011,$0,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,2. Your current lineup is listed next to each entry (blank for reservations)
1786092077,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1786092078,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1786092079,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,5. For faster processing only include entries you are changing in the file you upload
1786092080,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,
1786092081,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1786092082,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Christian McCaffrey (13932190),Christian McCaffrey,13932190,RB/FLEX,10000,SEA@CAR 12/15/2019 01:00PM ET,CAR,30.74
1786092083,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Dalvin Cook (13932192),Dalvin Cook,13932192,RB/FLEX,8900,MIN@LAC 12/15/2019 04:05PM ET,MIN,23.24
1786092084,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Derrick Henry (13932194),Derrick Henry,13932194,RB/FLEX,8500,HOU@TEN 12/15/2019 01:00PM ET,TEN,20.38
1786092085,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,DeAndre Hopkins (13932410),DeAndre Hopkins,13932410,WR/FLEX,8000,HOU@TEN 12/15/2019 01:00PM ET,HOU,19.72
1786092086,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Nick Chubb (13932196),Nick Chubb,13932196,RB/FLEX,7900,CLE@ARI 12/15/2019 04:05PM ET,CLE,18.67
1786092087,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Ezekiel Elliott (13932198),Ezekiel Elliott,13932198,RB/FLEX,7800,LAR@DAL 12/15/2019 04:25PM ET,DAL,19.61
1786092088,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Chris Godwin (13932412),Chris Godwin,13932412,WR/FLEX,7700,TB@DET 12/15/2019 01:00PM ET,TB,21.08
1786092089,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Saquon Barkley (13932200),Saquon Barkley,13932200,RB/FLEX,7700,MIA@NYG 12/15/2019 01:00PM ET,NYG,15.52
1786092090,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Davante Adams (13932414),Davante Adams,13932414,WR/FLEX,7600,CHI@GB 12/15/2019 01:00PM ET,GB,17.06
1786092091,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Leonard Fournette (13932202),Leonard Fournette,13932202,RB/FLEX,7600,JAX@OAK 12/15/2019 04:05PM ET,JAX,18.74
1786092092,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Chris Carson (13932204),Chris Carson,13932204,RB/FLEX,7500,SEA@CAR 12/15/2019 01:00PM ET,SEA,16.76
1786092093,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Tyreek Hill (13932416),Tyreek Hill,13932416,WR/FLEX,7500,DEN@KC 12/15/2019 01:00PM ET,KC,16.47
1786092094,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Aaron Jones (13932206),Aaron Jones,13932206,RB/FLEX,7300,CHI@GB 12/15/2019 01:00PM ET,GB,20.49
1786092095,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Stefon Diggs (13932418),Stefon Diggs,13932418,WR/FLEX,7300,MIN@LAC 12/15/2019 04:05PM ET,MIN,15.65
