"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Saquon Barkley","NYG","MIA","Sun 01:00 EST","RB","22.0%","8300","RB","16.1%","7700"
"Christian McCaffrey","CAR","SEA","Sun 01:00 EST","RB","20.6%","10400","RB","18.5%","10000"
"Chris Carson","SEA","CAR","Sun 01:00 EST","RB","20.2%","7400","RB","16.7%","7500"
"Chris Godwin","TB","DET","Sun 01:00 EST","WR","16.9%","8400","WR","17.5%","7700"
"Derrick Henry","TEN","HOU","Sun 01:00 EST","RB","16.4%","9400","RB","14.8%","8500"
"Josh Jacobs","OAK","JAC","Sun 04:05 EST","RB","13.6%","7700","RB","12.3%","7000"
"Darren Waller","OAK","JAC","Sun 04:05 EST","TE","13.1%","6200","TE","13.4%","5500"
"George Kittle","SF","ATL","Sun 04:25 EST","TE","13.1%","7200","TE","13.4%","6200"
"Leonard Fournette","JAC","OAK","Sun 04:05 EST","RB","12.8%","7700","RB","11.1%","7600"
"Davante Adams","GB","CHI","Sun 01:00 EST","WR","11.8%","7800","WR","11.6%","7600"
"Travis Kelce","KC","DEN","Sun 01:00 EST","TE","11.4%","7300","TE","11.4%","6500"
"DeAndre Hopkins","HOU","TEN","Sun 01:00 EST","WR","11.2%","8600","WR","11.5%","8000"
"Ezekiel Elliott","DAL","LA","Sun 04:25 EST","RB","10.9%","8500","RB","9.9%","7800"
"Dalvin Cook","MIN","LAC","Sun 04:05 EST","RB","10.9%","8500","RB","9.2%","8900"
"Phillip Lindsay","DEN","KC","Sun 01:00 EST","RB","10.9%","6400","RB","2.7%","5600"
"Patrick Mahomes","KC","DEN","Sun 01:00 EST","QB","10.8%","8300","QB","10.6%","7100"
"Zach Ertz","PHI","WAS","Sun 01:00 EST","TE","10.8%","6700","TE","10.9%","6000"
"Christian Kirk","ARI","CLE","Sun 04:05 EST","WR","10.7%","6100","WR","7.5%","5500"
"A.J. Brown","TEN","HOU","Sun 01:00 EST","WR","10.6%","6200","WR","10.6%","6000"
"Dak Prescott","DAL","LA","Sun 04:25 EST","QB","10.5%","7800","QB","9.5%","6300"
"Jarvis Landry","CLE","ARI","Sun 04:05 EST","WR","10.0%","7400","WR","10.7%","6700"
"Deshaun Watson","HOU","TEN","Sun 01:00 EST","QB","9.7%","8200","QB","8.6%","6800"
"Julian Edelman","NE","CIN","Sun 01:00 EST","WR","9.7%","7700","WR","10.0%","7100"
"Russell Wilson","SEA","CAR","Sun 01:00 EST","QB","9.3%","8100","QB","7.9%","7000"
"Amari Cooper","DAL","LA","Sun 04:25 EST","WR","9.3%","7700","WR","10.5%","6500"
"Odell Beckham","CLE","ARI","Sun 04:05 EST","WR","9.1%","7200","WR","9.9%","6400"
"D.K. Metcalf","SEA","CAR","Sun 01:00 EST","WR","8.9%","6300","WR","4.5%","6100"
"Julio Jones","ATL","SF","Sun 04:25 EST","WR","8.7%","7500","WR","9.0%","7000"
"Ryan Tannehill","TEN","HOU","Sun 01:00 EST","QB","8.6%","7600","QB","14.8%","6500"
"DeVante Parker","MIA","NYG","Sun 01:00 EST","WR","8.6%","6900","WR","2.9%","6400"
"D.J. Moore","CAR","SEA","Sun 01:00 EST","WR","8.6%","6900","WR","5.7%","6600"
"Randall Cobb","DAL","LA","Sun 04:25 EST","WR","8.3%","5400","WR","2.0%","4400"
"Hunter Henry","LAC","MIN","Sun 04:05 EST","TE","8.2%","6400","TE","9.2%","5200"
"Emmanuel Sanders","SF","ATL","Sun 04:25 EST","WR","8.2%","6900","WR","8.3%","6600"
"Tyler Lockett","SEA","CAR","Sun 01:00 EST","WR","8.0%","6900","WR","7.8%","6900"
"Austin Hooper","ATL","SF","Sun 04:25 EST","TE","8.0%","6200","TE","8.9%","5000"
"Stefon Diggs","MIN","LAC","Sun 04:05 EST","WR","7.9%","7700","WR","8.0%","7300"
"Miles Sanders","PHI","WAS","Sun 01:00 EST","RB","7.6%","6800","RB","1.5%","5900"
"Todd Gurley","LA","DAL","Sun 04:25 EST","RB","7.5%","7600","RB","7.8%","6000"
"Tyreek Hill","KC","DEN","Sun 01:00 EST","WR","7.1%","7900","WR","7.1%","7500"
"Raheem Mostert","SF","ATL","Sun 04:25 EST","RB","7.0%","7500","RB","8.4%","5200"
"Jameis Winston","TB","DET","Sun 01:00 EST","QB","6.8%","8200","QB","6.0%","6900"
"Kenyan Drake","ARI","CLE","Sun 04:05 EST","RB","6.8%","6200","RB","3.6%","5000"
"Kenny Golladay","DET","TB","Sun 01:00 EST","WR","6.8%","7900","WR","7.1%","7200"
"Robert Woods","LA","DAL","Sun 04:25 EST","WR","6.7%","7500","WR","7.9%","6200"
"Patrick Laird","MIA","NYG","Sun 01:00 EST","RB","6.7%","5500","RB","3.4%","4500"
"Darius Slayton","NYG","MIA","Sun 01:00 EST","WR","6.7%","6300","WR","8.6%","4700"
"Aaron Jones","GB","CHI","Sun 01:00 EST","RB","6.5%","7800","RB","6.1%","7300"
"Sterling Shepard","NYG","MIA","Sun 01:00 EST","WR","6.5%","5900","WR","6.7%","5400"
"Jimmy Garoppolo","SF","ATL","Sun 04:25 EST","QB","6.5%","8400","QB","6.5%","6100"
"Courtland Sutton","DEN","KC","Sun 01:00 EST","WR","6.1%","7000","WR","6.9%","5900"
"LeSean McCoy","KC","DEN","Sun 01:00 EST","RB","6.1%","6100","RB","7.2%","4400"
"Cooper Kupp","LA","DAL","Sun 04:25 EST","WR","5.9%","7600","WR","6.7%","6500"
"Tyrell Williams","OAK","JAC","Sun 04:05 EST","WR","5.8%","5600","WR","6.5%","4800"
"Allen Robinson","CHI","GB","Sun 01:00 EST","WR","5.6%","8000","WR","6.3%","6800"
"Michael Gallup","DAL","LA","Sun 04:25 EST","WR","5.4%","6800","WR","6.1%","5700"
"Nick Chubb","CLE","ARI","Sun 04:05 EST","RB","5.3%","8000","RB","4.5%","7900"
"James White","NE","CIN","Sun 01:00 EST","RB","5.2%","6800","RB","6.1%","5400"
"Terry McLaurin","WAS","PHI","Sun 01:00 EST","WR","5.1%","6000","WR","5.7%","5300"
"Jared Goff","LA","DAL","Sun 04:25 EST","QB","5.1%","7800","QB","4.8%","6100"
"Breshad Perriman","TB","DET","Sun 01:00 EST","WR","4.9%","6400","WR","6.7%","4500"
"Tom Brady","NE","CIN","Sun 01:00 EST","QB","4.9%","7600","QB","5.2%","6000"
"Justin Watson","TB","DET","Sun 01:00 EST","WR","4.9%","4500","WR","5.7%","3700"
"Baker Mayfield","CLE","ARI","Sun 04:05 EST","QB","4.5%","7700","QB","4.0%","6400"
"Sony Michel","NE","CIN","Sun 01:00 EST","RB","4.3%","6100","RB","4.1%","5100"
"Brandin Cooks","LA","DAL","Sun 04:25 EST","WR","4.1%","6300","WR","5.6%","4500"
"Corey Davis","TEN","HOU","Sun 01:00 EST","WR","4.0%","5000","WR","5.0%","3800"
"Kirk Cousins","MIN","LAC","Sun 04:05 EST","QB","4.0%","7900","QB","3.8%","6000"
"Melvin Gordon","LAC","MIN","Sun 04:05 EST","RB","3.8%","7400","RB","3.6%","6500"
"Rex Burkhead","NE","CIN","Sun 01:00 EST","RB","3.8%","5800","RB","5.7%","3100"
"Golden Tate","NYG","MIA","Sun 01:00 EST","WR","3.7%","6300","WR","3.9%","5900"
"Matt Breida","SF","ATL","Sun 04:25 EST","RB","3.7%","5600","RB","4.4%","4100"
"Deebo Samuel","SF","ATL","Sun 04:25 EST","WR","3.7%","6500","WR","4.0%","5800"
"Joe Mixon","CIN","NE","Sun 01:00 EST","RB","3.6%","6700","RB","3.3%","6100"
"Chris Conley","JAC","OAK","Sun 04:05 EST","WR","3.6%","5100","WR","5.0%","3600"
"Curtis Samuel","CAR","SEA","Sun 01:00 EST","WR","3.5%","5600","WR","4.3%","4400"
"Ronald Jones","TB","DET","Sun 01:00 EST","RB","3.5%","5800","RB","3.7%","4600"
"David Njoku","CLE","ARI","Sun 04:05 EST","TE","3.4%","5500","TE","4.0%","4200"
"Keenan Allen","LAC","MIN","Sun 04:05 EST","WR","3.3%","6800","WR","3.5%","6300"
"Will Fuller","HOU","TEN","Sun 01:00 EST","WR","3.2%","6600","WR","3.6%","5600"
"Evan Engram","NYG","MIA","Sun 01:00 EST","TE","3.2%","6400","TE","3.8%","4900"
"Noah Fant","DEN","KC","Sun 01:00 EST","TE","3.2%","5700","TE","4.0%","4100"
"Anthony Miller","CHI","GB","Sun 01:00 EST","WR","3.2%","6300","WR","3.8%","5100"
