Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Michael Thomas,NO,8.7,94.6,0.7,0.0,-0.1,0.0,0.1,17.8
Julio Jones,ATL,7.1,102.1,0.6,0.1,0.5,0.0,0.1,17.2
Tyreek Hill,KC,5.4,82.5,0.6,0.9,5.2,0.0,0.1,15.3
Davante Adams,GB,6.4,81.7,0.6,0.0,0.3,0.0,0.1,14.8
DeAndre Hopkins,HOU,6.5,76.7,0.5,0.1,0.6,0.0,0.1,14.1
Julian Edelman,NE,6.3,73.4,0.5,0.5,3.3,0.0,0.1,13.9
Courtland Sutton,DEN,4.9,74.6,0.5,0.1,0.7,0.0,0.0,13.2
A.J. Brown,TEN,4.4,71.6,0.5,0.3,3.5,0.0,0.0,12.9
Breshad Perriman,TB,4.2,67.5,0.5,0.2,1.3,0.0,0.0,12.3
Tyler Lockett,SEA,4.5,63.8,0.5,0.5,2.6,0.0,0.0,12.1
Allen Robinson,CHI,5.4,66.1,0.5,0.0,0.1,0.0,0.1,12.1
Jarvis Landry,CLE,5.1,67.1,0.5,0.1,1.0,0.0,0.1,12.1
Tyler Boyd,CIN,5.4,64.8,0.5,0.2,1.4,0.0,0.1,12.0
Stefon Diggs,MIN,4.7,66.9,0.5,0.5,3.0,0.0,0.0,12.0
Robert Woods,LAR,4.9,64.6,0.4,0.8,5.3,0.0,0.1,11.8
Amari Cooper,DAL,4.9,70.0,0.4,0.0,0.1,0.0,0.0,11.7
Michael Gallup,DAL,4.3,68.6,0.4,0.0,0.0,0.0,0.0,11.6
Kenny Golladay,DET,4.2,67.0,0.5,0.0,0.4,0.0,0.0,11.5
Cooper Kupp,LAR,4.8,59.1,0.5,0.2,1.0,0.0,0.1,11.5
Keenan Allen,LAC,5.6,67.4,0.2,0.3,2.5,0.0,0.0,11.2
Devante Parker,MIA,4.8,71.4,0.3,0.0,0.0,0.0,0.0,11.1
Deebo Samuel,SF,4.3,52.5,0.4,1.2,9.5,0.1,0.1,11.1
Sterling Shepard,NYG,4.8,58.5,0.4,0.4,2.8,0.0,0.1,10.9
Adam Thielen,MIN,4.2,54.9,0.5,0.3,1.4,0.0,0.0,10.5
Emmanuel Sanders,SF,4.6,55.9,0.4,0.1,0.9,0.0,0.0,10.5
Odell Beckham Jr.,CLE,4.7,65.2,0.2,0.1,0.6,0.0,0.0,10.3
Jamison Crowder,NYJ,4.9,53.8,0.4,0.1,0.9,0.0,0.1,10.2
Mike Williams,LAC,3.2,57.6,0.4,0.1,0.6,0.0,0.0,9.8
John Ross,CIN,3.5,49.8,0.5,0.5,2.6,0.0,0.1,9.8
John Brown,BUF,3.6,53.5,0.4,0.2,1.3,0.0,0.0,9.5
D.J. Chark,JAC,4.3,58.1,0.3,0.0,0.5,0.0,0.1,9.4
Golden Tate,NYG,4.3,51.2,0.4,0.1,0.7,0.0,0.0,9.4
Chris Conley,JAC,3.7,51.2,0.4,0.0,0.0,0.0,0.0,9.3
T.Y. Hilton,IND,4.1,56.5,0.2,0.0,0.0,0.0,0.0,9.1
D.K. Metcalf,SEA,3.7,55.5,0.3,0.1,0.5,0.0,0.1,9.0
Christian Kirk,ARI,4.6,52.9,0.2,0.5,4.2,0.0,0.1,8.9
Anthony Miller,CHI,4.3,53.0,0.2,0.1,0.5,0.0,0.0,8.7
Curtis Samuel,CAR,3.5,45.1,0.2,1.1,8.3,0.0,0.0,8.5
Justin Watson,TB,3.8,49.8,0.2,0.0,0.0,0.0,0.0,8.3
Sammy Watkins,KC,3.8,49.3,0.2,0.1,0.5,0.0,0.0,8.1
Steven Sims,WAS,4.2,40.5,0.2,0.6,5.4,0.1,0.0,8.1
Robby Anderson,NYJ,3.4,51.3,0.2,0.1,0.6,0.0,0.0,8.1
Greg Ward,PHI,4.0,45.0,0.2,0.4,2.8,0.0,0.1,7.9
Larry Fitzgerald,ARI,4.4,45.0,0.2,0.0,0.3,0.0,0.0,7.7
Darius Slayton,NYG,3.1,47.4,0.2,0.1,0.5,0.0,0.0,7.7
Danny Amendola,DET,4.5,47.6,0.1,0.0,0.1,0.0,0.0,7.6
Diontae Johnson,PIT,3.7,44.5,0.2,0.3,2.1,0.0,0.1,7.4
Albert Wilson,MIA,3.9,43.3,0.1,0.6,3.8,0.0,0.0,7.3
Tyrell Williams,OAK,3.2,46.4,0.2,0.0,0.1,0.0,0.0,7.3
JuJu Smith-Schuster,PIT,3.5,45.6,0.2,0.0,0.1,0.0,0.0,7.2
Kenny Stills,HOU,3.3,43.4,0.2,0.0,0.3,0.0,0.0,7.2
Zach Pascal,IND,3.3,43.8,0.2,0.1,0.9,0.0,0.0,7.1
James Washington,PIT,3.2,46.4,0.2,0.0,0.3,0.0,0.1,7.1
Dede Westbrook,JAC,4.0,42.3,0.1,0.3,2.2,0.0,0.1,7.0
Russell Gage,ATL,3.8,40.6,0.2,0.3,1.4,0.0,0.1,7.0
Cole Beasley,BUF,3.9,42.4,0.1,0.0,0.0,0.0,0.0,7.0
Hunter Renfrow,OAK,3.7,41.4,0.1,0.0,0.0,0.0,0.0,6.8
Mohamed Sanu,NE,3.6,38.5,0.2,0.2,0.8,0.0,0.0,6.8
Randall Cobb,DAL,3.2,41.5,0.2,0.3,1.3,0.0,0.0,6.7
Brandin Cooks,LAR,2.8,41.2,0.1,0.3,1.8,0.0,0.0,6.5
Demaryius Thomas,NYJ,3.1,36.2,0.2,0.0,0.0,0.0,0.0,6.3
Marquise Brown,BAL,2.6,34.8,0.2,0.4,2.7,0.0,0.0,6.3
Alex Erickson,CIN,3.3,38.4,0.1,0.2,0.9,0.0,0.1,6.1
Corey Davis,TEN,2.7,37.8,0.1,0.1,0.6,0.0,0.0,6.0
Allen Lazard,GB,2.7,36.7,0.1,0.1,1.0,0.0,0.0,5.8
Kelvin Harmon,WAS,2.9,34.1,0.1,0.0,0.0,0.0,0.0,5.6
Tim Patrick,DEN,2.6,35.9,0.1,0.1,0.4,0.0,0.0,5.6
N'Keal Harry,NE,2.2,28.4,0.2,0.5,3.4,0.0,0.0,5.4
Isaiah Ford,MIA,2.6,33.2,0.1,0.0,0.2,0.0,0.0,5.2
Marcus Johnson,IND,2.2,30.3,0.1,0.1,0.2,0.0,0.0,4.9
Keelan Cole,JAC,2.1,28.7,0.1,0.2,1.2,0.0,0.0,4.9
Allen Hurns,MIA,2.5,31.0,0.1,0.0,0.0,0.0,0.0,4.9
Ted Ginn,NO,2.0,28.1,0.1,0.2,1.7,0.0,0.0,4.6
Keke Coutee,HOU,2.4,28.9,0.1,0.1,0.4,0.0,0.1,4.6
DaeSean Hamilton,DEN,2.5,27.0,0.1,0.0,0.0,0.0,0.0,4.5
David Moore,SEA,1.9,28.2,0.1,0.1,1.1,0.0,0.0,4.5
Vyncint Smith,NYJ,1.9,27.0,0.1,0.1,0.9,0.0,0.0,4.4
Demarcus Robinson,KC,1.9,25.1,0.2,0.0,0.0,0.0,0.0,4.4
Tajae Sharpe,TEN,2.0,25.4,0.1,0.0,0.1,0.0,0.0,4.3
Christian Blake,ATL,2.1,25.8,0.1,0.0,0.2,0.0,0.0,4.1
Malik Turner,SEA,1.8,25.0,0.1,0.0,0.0,0.0,0.0,4.0
Mecole Hardman,KC,1.5,25.9,0.1,0.4,1.8,0.0,0.1,4.0
Kendrick Bourne,SF,1.9,21.6,0.1,0.0,0.0,0.0,0.0,3.9
Tre'Quan Smith,NO,1.6,21.4,0.1,0.0,0.1,0.0,0.0,3.8
J.J. Arcega-Whiteside,PHI,1.9,23.6,0.1,0.0,0.4,0.0,0.0,3.8
Jakobi Meyers,NE,1.8,23.3,0.1,0.0,0.0,0.0,0.0,3.8
Miles Boykin,BAL,1.9,23.4,0.1,0.0,0.0,0.0,0.0,3.7
Geronimo Allison,GB,1.9,23.4,0.1,0.1,0.6,0.0,0.1,3.7
Josh Reynolds,LAR,1.6,21.4,0.1,0.4,2.3,0.0,0.0,3.7
Jarius Wright,CAR,1.9,23.3,0.0,0.0,0.3,0.0,0.0,3.5
Dontrelle Inman,IND,1.7,21.9,0.1,0.0,0.0,0.0,0.0,3.5
Isaiah McKenzie,BUF,1.8,21.5,0.1,0.1,0.8,0.0,0.0,3.5
Ishmael Hyman,TB,1.5,21.0,0.1,0.0,0.2,0.0,0.0,3.4
Zay Jones,OAK,1.9,20.3,0.1,0.1,0.7,0.0,0.0,3.4
Damiere Byrd,ARI,1.9,20.8,0.1,0.0,0.2,0.0,0.0,3.4
Willie Snead,BAL,1.6,20.0,0.1,0.1,0.4,0.0,0.0,3.3
Jake Kumerow,GB,1.5,21.3,0.1,0.0,0.0,0.0,0.0,3.2
Pharoh Cooper,ARI,1.9,17.1,0.1,0.0,0.1,0.0,0.0,3.2
Tavon Austin,DAL,1.2,13.8,0.1,0.7,4.6,0.0,0.0,3.1
