Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,New England (NE)NE DST,NE,MIA,1,6,1.2,0.5,9.8,0.25
2,New Orleans (NO)NO DST,NO,CAR,1,9,2.8,1.3,8.6,1.69
3,Green Bay (GB)GB DST,GB,DET,1,13,3.6,1.1,8.3,1.21
4,Pittsburgh (PIT)PIT DST,PIT,BAL,2,19,4.7,3.3,8.3,5.445
5,Kansas City (KC)KC DST,KC,LAC,2,15,5.8,2.0,8.2,2.0
6,Baltimore (BAL)BAL DST,BAL,PIT,1,17,7.8,4.3,8.0,18.49
7,San Francisco (SF)SF DST,SF,SEA,3,18,9.3,3.3,8.0,3.63
8,Atlanta (ATL)ATL DST,ATL,TB,4,19,9.6,3.2,7.8,2.56
9,Los Angeles (LAR)LAR DST,LAR,ARI,4,18,10.0,3.0,7.7,2.25
10,Indianapolis (IND)IND DST,IND,JAC,6,19,11.0,2.0,7.7,0.666666666667
11,Minnesota (MIN)MIN DST,MIN,CHI,5,19,11.3,3.6,7.7,2.592
12,New York (NYJ)NYJ DST,NYJ,BUF,7,16,11.4,2.6,7.7,0.965714285714
13,Denver (DEN)DEN DST,DEN,OAK,6,16,12.9,2.9,7.5,1.40166666667
14,Philadelphia (PHI)PHI DST,PHI,NYG,8,19,14.1,2.4,7.4,0.72
15,Dallas (DAL)DAL DST,DAL,WAS,4,21,14.4,3.5,7.4,3.0625
16,Buffalo (BUF)BUF DST,BUF,NYJ,5,20,14.5,4.4,7.5,3.872
17,Chicago (CHI)CHI DST,CHI,MIN,5,28,17.2,7.7,7.2,11.858
18,Tennessee (TEN)TEN DST,TEN,HOU,8,22,17.4,3.7,7.1,1.71125
19,Seattle (SEA)SEA DST,SEA,SF,13,24,18.1,2.8,7.0,0.603076923077
20,Houston (HOU)HOU DST,HOU,TEN,15,27,19.7,2.9,6.9,0.560666666667
21,Cleveland (CLE)CLE DST,CLE,CIN,10,24,18.7,3.7,6.6,1.369
22,Cincinnati (CIN)CIN DST,CIN,CLE,9,23,20.9,1.6,6.2,0.284444444444
23,Tampa Bay (TB)TB DST,TB,ATL,20,24,22.1,1.4,6.2,0.098
24,New York (NYG)NYG DST,NYG,PHI,18,26,23.0,2.4,6.1,0.32
25,Oakland (OAK)OAK DST,OAK,DEN,18,27,24.3,1.7,6.0,0.160555555556
26,Washington (WAS)WAS DST,WAS,DAL,15,29,25.5,2.6,5.8,0.450666666667
27,Jacksonville (JAC)JAC DST,JAC,IND,21,30,26.8,2.0,5.4,0.190476190476
28,Los Angeles (LAC)LAC DST,LAC,KC,26,31,28.0,1.5,5.3,0.0865384615385
29,Arizona (ARI)ARI DST,ARI,LAR,15,29,27.6,1.2,5.0,0.096
30,Detroit (DET)DET DST,DET,GB,27,30,29.7,0.5,5.0,0.00925925925926
31,Carolina (CAR)CAR DST,CAR,NO,30,32,31.2,0.4,4.7,0.00533333333333
32,Miami (MIA)MIA DST,MIA,NE,31,32,32.0,0.0,4.7,0.0
