,cost,name,own,team
0,5300,Josh Allen,0.309,BUF
1,7500,Patrick Mahomes,0.295,KC
2,6700,Lamar Jackson,0.122,BAL
3,6400,Tom Brady,0.066,NE
4,5900,Jared Goff,0.04,LAR
5,6300,Dak Prescott,0.027,DAL
6,6600,Deshaun Watson,0.027,HOU
7,5800,Ben Roethlisberger,0.019,PIT
8,5400,Andy Dalton,0.015,CIN
9,6200,Drew Brees,0.013,NO
10,6500,Aaron Rodgers,0.013,GB
11,5400,Kyler Murray,0.01,ARI
12,5200,Matthew Stafford,0.009,DET
13,6200,Russell Wilson,0.008,SEA
14,5000,Marcus Mariota,0.007,TEN
15,6100,Philip Rivers,0.006,LAC
16,5100,Derek Carr,0.003,OAK
17,4800,Gardner Minshew,0.003,JAC
18,5500,Mitch Trubisky,0.003,CHI
19,5000,Jacoby Brissett,0.001,IND
20,5300,Kirk Cousins,0.001,MIN
21,4700,Ryan Fitzpatrick,0.001,MIA
22,4900,Joe Flacco,0.001,DEN
23,6000,Jimmy Garoppolo,0.001,SF
24,5000,Case Keenum,0.001,WAS
25,4900,Eli Manning,0.001,NYG
26,4700,Josh Jacobs,0.553,OAK
27,4400,Tyrell Williams,0.388,OAK
28,5200,Matt Breida,0.341,SF
29,7200,Sammy Watkins,0.32,KC
30,3300,Darren Waller,0.307,OAK
31,8000,Michael Thomas,0.26,NO
32,9200,Saquon Barkley,0.217,NYG
33,4600,Larry Fitzgerald,0.213,ARI
34,3500,Delanie Walker,0.205,TEN
35,6400,Robert Woods,0.197,LAR
36,7600,Keenan Allen,0.196,LAC
37,8200,Alvin Kamara,0.18,NO
38,7300,Travis Kelce,0.176,KC
39,7500,JuJu Smith-Schuster,0.163,PIT
40,6900,Julian Edelman,0.133,NE
41,7100,Adam Thielen,0.131,MIN
42,6800,T.Y. Hilton,0.129,IND
43,8700,Ezekiel Elliott,0.119,DAL
44,6000,Mark Ingram,0.114,BAL
45,6100,Austin Ekeler,0.109,LAC
46,3000,T.J. Hockenson,0.105,DET
47,4800,Mecole Hardman,0.104,KC
48,5200,Evan Engram,0.1,NYG
49,6000,Cooper Kupp,0.099,LAR
50,6100,Allen Robinson,0.094,CHI
51,6400,Chris Carson,0.087,SEA
52,6300,Brandin Cooks,0.087,LAR
53,8100,DeAndre Hopkins,0.082,HOU
54,5000,Marquise Brown,0.081,BAL
55,4200,Courtland Sutton,0.076,DEN
56,5200,John Brown,0.075,BUF
57,5300,Giovani Bernard,0.074,CIN
58,6800,George Kittle,0.062,SF
59,6500,Tyler Boyd,0.058,CIN
60,7700,Davante Adams,0.056,GB
61,4700,LeSean McCoy,0.055,KC
62,4600,Marquez Valdes-Scantling,0.054,GB
63,7400,Amari Cooper,0.054,DAL
64,6200,Sony Michel,0.049,NE
65,4200,Devin Singletary,0.049,BUF
66,3400,Adrian Peterson,0.048,WAS
67,6000,Derrick Henry,0.048,TEN
68,6600,Kenny Golladay,0.048,DET
69,3800,Mark Andrews,0.047,BAL
70,6200,Tyler Lockett,0.044,SEA
71,5100,James White,0.044,NE
72,7000,Todd Gurley,0.043,LAR
73,3900,Chris Thompson,0.043,WAS
74,5600,Michael Gallup,0.042,DAL
75,7100,David Johnson,0.038,ARI
76,6800,James Conner,0.036,PIT
77,4500,Christian Kirk,0.036,ARI
78,5800,Josh Gordon,0.036,NE
79,7200,Dalvin Cook,0.032,MIN
80,4500,Tarik Cohen,0.031,CHI
81,5700,Kerryon Johnson,0.028,DET
82,4300,D.K. Metcalf,0.025,SEA
83,5400,Dede Westbrook,0.023,JAC
84,6300,Leonard Fournette,0.023,JAC
85,3800,Terry McLaurin,0.022,WAS
86,5900,Marlon Mack,0.021,IND
87,4700,Emmanuel Sanders,0.021,DEN
88,5400,Aaron Jones,0.02,GB
89,6300,Stefon Diggs,0.018,MIN
90,5500,Mike Williams,0.018,LAC
91,3600,James Washington,0.017,PIT
92,5800,Damien Williams,0.017,KC
93,4600,John Ross,0.015,CIN
94,7000,Antonio Brown,0.015,NE
95,3800,Rex Burkhead,0.014,NE
96,3700,Latavius Murray,0.014,NO
97,4900,Marvin Jones,0.013,DET
98,5000,Duke Johnson,0.013,HOU
99,5300,Will Fuller,0.01,HOU
100,3700,Royce Freeman,0.006,DEN
101,4500,D.J. Chark,0.006,JAC
102,4100,Malcolm Brown,0.006,LAR
103,4700,Jared Cook,0.005,NO
104,3900,Danny Amendola,0.003,DET
105,4100,Anthony Miller,0.003,CHI
106,4500,Corey Davis,0.003,TEN
107,4400,Geronimo Allison,0.003,GB
108,4000,Donte Moncrief,0.003,PIT
109,5100,Sterling Shepard,0.002,NYG
110,3100,KeeSean Johnson,0.002,ARI
111,3800,Raheem Mostert,0.002,SF
