Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Baltimore (BAL)BAL DST,BAL,MIA,1,13,1.5,1.2
2,Philadelphia (PHI)PHI DST,PHI,WAS,1,7,2.6,1.2
3,Seattle (SEA)SEA DST,SEA,CIN,1,28,4.2,2.1
4,Los Angeles (LAC)LAC DST,LAC,IND,1,16,5.1,2.8
5,Cleveland (CLE)CLE DST,CLE,TEN,1,13,5.1,2.1
6,Dallas (DAL)DAL DST,DAL,NYG,1,16,5.5,2.1
7,Denver (DEN)DEN DST,DEN,OAK,2,17,7.2,2.3
8,New York (NYJ)NYJ DST,NYJ,BUF,2,30,8.7,3.3
9,Chicago (CHI)CHI DST,CHI,GB,1,17,9.2,2.5
10,Buffalo (BUF)BUF DST,BUF,NYJ,4,17,10.7,2.1
11,Los Angeles (LAR)LAR DST,LAR,CAR,2,21,11.7,2.8
12,Minnesota (MIN)MIN DST,MIN,ATL,3,24,11.9,2.5
13,New Orleans (NO)NO DST,NO,HOU,3,24,13.0,3.1
14,Detroit (DET)DET DST,DET,ARI,4,25,13.9,3.7
15,New England (NE)NE DST,NE,PIT,7,22,14.6,2.5
16,Kansas City (KC)KC DST,KC,JAC,8,27,15.6,3.0
17,Green Bay (GB)GB DST,GB,CHI,6,27,17.2,2.7
18,Jacksonville (JAC)JAC DST,JAC,KC,9,30,18.9,4.0
19,San Francisco (SF)SF DST,SF,TB,10,32,19.7,3.5
20,Oakland (OAK)OAK DST,OAK,DEN,9,32,20.7,3.5
21,Arizona (ARI)ARI DST,ARI,DET,8,32,21.5,3.2
22,Atlanta (ATL)ATL DST,ATL,MIN,15,29,22.6,2.3
23,Houston (HOU)HOU DST,HOU,NO,11,32,24.2,4.3
24,Tennessee (TEN)TEN DST,TEN,CLE,8,30,24.3,3.1
25,Miami (MIA)MIA DST,MIA,BAL,14,32,24.2,3.6
26,Tampa Bay (TB)TB DST,TB,SF,15,31,24.6,3.6
27,Carolina (CAR)CAR DST,CAR,LAR,10,31,25.4,3.4
28,New York (NYG)NYG DST,NYG,DAL,15,32,27.2,2.7
29,Indianapolis (IND)IND DST,IND,LAC,7,32,26.4,4.4
30,Pittsburgh (PIT)PIT DST,PIT,NE,16,32,27.0,3.8
31,Washington (WAS)WAS DST,WAS,PHI,15,32,29.6,2.4
32,Cincinnati (CIN)CIN DST,CIN,SEA,22,32,30.9,2.0
