Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Christian McCaffrey,CAR,LAR,1,11,2.0,1.2
2,Saquon Barkley,NYG,DAL,1,14,2.3,1.1
3,Alvin Kamara,NO,HOU,1,6,2.6,0.9
4,Dalvin Cook,MIN,ATL,1,21,5.1,2.0
5,Nick Chubb,CLE,TEN,2,20,6.4,2.0
6,Chris Carson,SEA,CIN,1,16,7.1,2.9
7,David Johnson,ARI,DET,3,17,7.9,2.2
8,Ezekiel Elliott,DAL,NYG,1,16,8.2,3.6
9,James Conner,PIT,NE,3,28,9.3,2.5
10,Leonard Fournette,JAC,KC,2,20,9.3,2.6
11,Le'Veon Bell,NYJ,BUF,2,21,10.5,2.2
12,Todd Gurley,LAR,CAR,1,19,10.6,2.7
13,Kerryon Johnson,DET,ARI,5,41,12.6,2.6
14,Joe Mixon,CIN,SEA,10,46,14.7,2.1
15,Mark Ingram,BAL,MIA,3,29,15.1,3.0
16,Sony Michel,NE,PIT,5,28,17.3,3.5
17,Aaron Jones,GB,CHI,13,29,19.5,3.1
18,Austin Ekeler,LAC,IND,9,33,19.9,4.5
19,David Montgomery,CHI,GB,8,37,19.9,3.8
20,Devonta Freeman,ATL,MIN,9,30,20.2,3.0
21,Damien Williams,KC,JAC,11,31,20.6,3.6
22,Josh Jacobs,OAK,DEN,9,30,22.5,3.5
23,Phillip Lindsay,DEN,OAK,9,64,22.8,4.6
24,Derrick Henry,TEN,CLE,14,34,23.5,3.4
25,Marlon Mack,IND,LAC,15,35,24.6,3.3
26,Duke Johnson,HOU,NO,13,54,24.8,5.5
27,Tevin Coleman,SF,TB,16,38,26.7,3.4
28,James White,NE,PIT,15,40,27.1,3.7
29,Matt Breida,SF,TB,13,47,28.9,4.5
30,Tarik Cohen,CHI,GB,20,44,30.9,3.5
31,Derrius Guice,WAS,PHI,14,40,31.3,4.3
32,Miles Sanders,PHI,WAS,21,44,31.4,3.3
33,Latavius Murray,NO,HOU,23,48,32.6,2.7
34,Kenyan Drake,MIA,BAL,24,46,34.0,3.3
35,Jordan Howard,PHI,WAS,16,47,35.5,3.5
36,Royce Freeman,DEN,OAK,22,50,36.2,2.8
37,Rashaad Penny,SEA,CIN,23,52,36.7,3.6
38,Justin Jackson,LAC,IND,22,48,37.6,3.0
39,Devin Singletary,BUF,NYJ,22,63,39.8,5.1
40,Peyton Barber,TB,SF,27,54,39.8,3.6
41,LeSean McCoy,KC,JAC,28,62,40.5,4.3
42,Dion Lewis,TEN,CLE,35,54,43.3,2.8
43,Chris Thompson,WAS,PHI,32,61,44.6,4.0
44,Tony Pollard,DAL,NYG,23,71,46.6,8.5
45,Nyheim Hines,IND,LAC,35,67,47.1,4.8
46,Kalen Ballage,MIA,BAL,33,54,47.1,3.3
47,Frank Gore,BUF,NYJ,33,65,47.9,4.9
48,Darrell Henderson,LAR,CAR,39,75,49.2,5.2
49,C.J. Anderson,DET,ARI,39,68,49.7,4.8
50,Justice Hill,BAL,MIA,27,62,49.4,5.2
51,Giovani Bernard,CIN,SEA,38,64,52.2,4.9
52,Ronald Jones II,TB,SF,35,69,51.6,5.1
53,Jaylen Samuels,PIT,NE,41,69,54.2,4.2
54,Ty Montgomery,NYJ,BUF,37,77,54.3,6.3
55,Carlos Hyde,HOU,NO,33,73,54.9,5.9
56,Jalen Richard,OAK,DEN,37,76,55.9,7.0
57,Ito Smith,ATL,MIN,38,73,56.9,4.9
58,Mike Davis,CHI,GB,40,73,58.3,5.1
59,Jamaal Williams,GB,CHI,49,72,60.8,4.2
60,Alexander Mattison,MIN,ATL,40,93,61.7,6.9
61,Rex Burkhead,NE,PIT,44,90,61.8,6.1
62,T.J. Yeldon,BUF,NYJ,38,78,63.1,5.2
63,Dare Ogunbowale,TB,SF,38,80,59.0,8.7
64,Chase Edmonds,ARI,DET,46,75,64.1,4.1
65,Malcolm Brown,LAR,CAR,44,95,63.7,5.6
66,Darwin Thompson,KC,JAC,45,85,65.1,5.8
67,Damien Harris,NE,PIT,54,82,67.7,5.8
68,Gus Edwards,BAL,MIA,45,92,66.6,5.8
69,Ryquell Armstead,JAC,KC,53,84,67.4,5.8
70,Darren Sproles,PHI,WAS,39,88,72.1,6.2
71,Devontae Booker,DEN,OAK,61,84,72.3,3.5
72,Wayne Gallman,NYG,DAL,66,86,73.4,3.4
73,Jordan Wilkins,IND,LAC,61,90,74.8,4.6
74,Dontrell Hilliard,CLE,TEN,51,90,72.0,9.0
75,Corey Clement,PHI,WAS,63,94,75.4,4.4
76,Brian Hill,ATL,MIN,55,108,77.4,5.7
77,Ty Johnson,DET,ARI,59,126,77.1,7.7
78,Benny Snell Jr.,PIT,NE,59,107,81.9,5.2
79,Wendell Smallwood,WAS,PHI,70,97,80.5,4.7
80,Mike Boone,MIN,ATL,59,119,82.2,6.0
81,Alfred Morris,FA,,63,112,74.4,7.2
82,Trenton Cannon,NYJ,BUF,76,119,85.7,7.2
83,Ameer Abdullah,MIN,ATL,75,118,83.4,7.2
84,Bilal Powell,NYJ,BUF,60,92,83.5,6.2
85,Jordan Scarlett,CAR,LAR,58,104,84.8,7.9
86,DeAndre Washington,OAK,DEN,64,130,84.9,10.2
87,Elijah McGuire,CLE,TEN,54,107,84.3,10.3
88,Raheem Mostert,SF,TB,60,129,89.0,10.3
89,J.D. McKissic,DET,ARI,77,121,90.4,6.1
90,C.J. Prosise,SEA,CIN,73,115,88.4,9.6
91,Josh Adams,NYJ,BUF,60,106,86.2,9.2
92,Mike Weber,DAL,NYG,67,103,88.2,7.6
93,Jeff Wilson,SF,TB,65,107,91.9,6.7
94,John Kelly,LAR,CAR,69,121,93.5,9.2
95,Trayveon Williams,CIN,SEA,80,108,93.9,5.9
96,Mark Walton,MIA,BAL,71,109,94.0,7.4
97,Kyle Juszczyk,SF,TB,65,111,87.7,10.2
98,Qadree Ollison,ATL,MIN,75,103,93.6,8.6
99,Reggie Bonnafon,CAR,LAR,72,114,92.9,12.5
100,D'Ernest Johnson,CLE,TEN,76,110,94.1,8.1
101,Buddy Howell,HOU,NO,64,109,89.4,11.7
102,Devine Ozigbo,JAC,KC,64,137,95.9,12.1
103,Bruce Anderson,FA,,77,100,93.9,5.2
104,Paul Perkins,NYG,DAL,79,111,94.2,7.1
105,James Develin,NE,PIT,82,132,95.8,12.3
106,Dwayne Washington,NO,HOU,72,101,91.7,5.1
107,Troymaine Pope,LAC,IND,82,122,100.4,7.4
108,Myles Gaskin,MIA,BAL,77,109,93.6,9.6
109,Darrel Williams,KC,JAC,77,116,97.2,13.2
110,Tyler Ervin,JAC,KC,79,110,93.7,9.0
111,Tavon Austin,DAL,NYG,68,118,96.2,16.7
112,T.J. Logan,TB,SF,94,114,104.3,6.5
113,Patrick DiMarco,BUF,NYJ,98,115,104.3,5.3
114,Andy Janovich,DEN,OAK,93,136,109.6,11.4
115,Cordarrelle Patterson,CHI,GB,63,65,64.0,1.0
116,D'Onta Foreman,FA,,64,67,65.5,1.5
117,Zach Line,NO,HOU,94,138,109.2,14.9
