Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,
128,Deonte Harris,NO,SEA,89,146,115.4,19.4,4.228764045
104,Alshon Jeffery,PHI,DET,56,124,93.4,14.7,3.85875
114,TJ Jones,NYG,TB,69,135,114.6,15.7,3.572318841
66,Phillip Dorsett,NE,NYJ,39,85,65.7,11.3,3.274102564
150,Jakobi Meyers,NE,NYJ,116,150,133,17,2.49137931
26,Marquise Brown,BAL,KC,7,34,26.1,4,2.285714286
127,Austin Carr,NO,SEA,86,138,118.7,14,2.279069767
15,T.Y. Hilton,IND,ATL,5,26,15.5,3.1,1.922
146,Lil'Jordan Humphrey,NO,SEA,115,151,133.7,14.7,1.879043478
129,Chris Moore,BAL,KC,107,140,121.2,14,1.831775701
29,Emmanuel Sanders,DEN,GB,6,34,28.8,3.2,1.706666667
124,A.J. Green,CIN,BUF,94,133,109.5,12.1,1.557553191
74,Mack Hollins,PHI,DET,58,98,74.3,9.5,1.556034483
113,Isaiah McKenzie,BUF,CIN,76,126,110.7,10.8,1.534736842
106,Malik Turner,SEA,NO,94,137,111.1,11.7,1.456276596
18,Stefon Diggs,MIN,OAK,11,39,18.4,3.9,1.382727273
121,De'Anthony Thomas,KC,BAL,91,131,116.7,11.2,1.378461538
19,Julian Edelman,NE,NYJ,9,26,18.5,3.5,1.361111111
118,David Moore,SEA,NO,71,101,85,9.8,1.352676056
70,Damiere Byrd,ARI,CAR,43,82,67.7,7.6,1.343255814
5,Davante Adams,GB,DEN,3,15,5.2,2,1.333333333
132,Zach Pascal,IND,ATL,108,135,119.5,11.8,1.289259259
110,Damion Ratley,CLE,LAR,85,130,107.9,10.4,1.272470588
81,Diontae Johnson,PIT,SF,45,91,80.4,7.3,1.184222222
97,Jakeem Grant,MIA,DAL,78,115,95.1,9.6,1.181538462
58,Cole Beasley,BUF,CIN,41,75,59.2,6.9,1.161219512
13,Kenny Golladay,DET,PHI,5,21,13.6,2.4,1.152
77,Anthony Miller,CHI,WAS,65,97,79.2,8.6,1.137846154
6,Amari Cooper,DAL,MIA,2,14,6,1.5,1.125
142,John Ursua,SEA,NO,112,144,133,11.2,1.12
17,Larry Fitzgerald,ARI,CAR,9,23,18.3,3.1,1.067777778
24,Tyler Boyd,CIN,BUF,8,39,23.5,2.9,1.05125
2,Julio Jones,ATL,IND,1,6,1.8,1,1
3,Keenan Allen,LAC,HOU,1,8,3.3,1,1
42,Sterling Shepard,NYG,TB,25,52,41,5,1
4,Odell Beckham Jr.,CLE,LAR,2,6,4.4,1.4,0.98
67,Keke Coutee,HOU,LAC,58,87,69.9,7.5,0.969827586
8,Michael Thomas,NO,SEA,3,15,8.2,1.7,0.963333333
98,Cordarrelle Patterson,CHI,WAS,87,127,102.7,9,0.931034483
28,D.J. Moore,CAR,ARI,15,42,27.3,3.7,0.912666667
9,Sammy Watkins,KC,BAL,4,16,8.6,1.9,0.9025
12,Adam Thielen,MIN,OAK,7,30,13.1,2.5,0.892857143
73,Ted Ginn,NO,SEA,56,96,71.5,7,0.875
22,Calvin Ridley,ATL,IND,9,31,22.3,2.8,0.871111111
103,Justin Hardy,ATL,IND,85,135,109.9,8.6,0.870117647
105,Chester Rogers,IND,ATL,76,120,102.2,8.1,0.863289474
34,Curtis Samuel,CAR,ARI,26,47,33.9,4.7,0.849615385
21,Brandin Cooks,LAR,CLE,15,41,20,3.5,0.816666667
93,Richie James,SF,PIT,53,102,92.9,6.5,0.797169811
78,Parris Campbell,IND,ATL,71,101,81.7,7.5,0.792253521
100,Josh Reynolds,LAR,CLE,92,122,103.1,8.5,0.785326087
148,Trent Sherfield,ARI,CAR,125,149,137,9.8,0.76832
102,Jake Kumerow,GB,DEN,99,130,108.9,8.6,0.747070707
41,Marvin Jones,DET,PHI,16,49,40.6,3.4,0.7225
59,Devin Smith,DAL,MIA,46,72,57.7,5.7,0.706304348
108,Ryan Switzer,PIT,SF,90,117,103.1,7.7,0.658777778
35,Will Fuller,HOU,LAC,22,50,36.4,3.7,0.622272727
20,Robert Woods,LAR,CLE,11,34,19.4,2.6,0.614545455
86,Dante Pettis,SF,PIT,73,97,82.7,6.5,0.578767123
11,JuJu Smith-Schuster,PIT,SF,7,24,11.9,2,0.571428571
31,Tyrell Williams,OAK,MIN,24,54,32.3,3.7,0.570416667
107,Marqise Lee,JAC,TEN,91,127,111.3,7.2,0.56967033
122,Tajae Sharpe,TEN,JAC,105,136,117.2,7.7,0.564666667
62,Danny Amendola,DET,PHI,48,77,63.1,5.1,0.541875
83,Bennie Fowler,NYG,TB,60,92,82.5,5.7,0.5415
40,Demarcus Robinson,KC,BAL,28,48,40.3,3.8,0.515714286
60,Geronimo Allison,GB,DEN,51,72,61.8,5.1,0.51
75,Miles Boykin,BAL,KC,68,101,77.1,5.8,0.494705882
87,Adam Humphries,TEN,JAC,71,93,85.5,5.9,0.49028169
72,Hunter Renfrow,OAK,MIN,62,87,74,5.5,0.487903226
141,Darius Jennings,TEN,JAC,120,140,132.6,7.6,0.481333333
16,Tyler Lockett,SEA,NO,11,22,17,2.3,0.480909091
69,Willie Snead,BAL,KC,63,86,72.5,5.5,0.48015873
25,John Brown,BUF,CIN,12,31,25.4,2.4,0.48
33,Nelson Agholor,PHI,DET,26,42,33.5,3.5,0.471153846
56,J.J. Arcega-Whiteside,PHI,DET,45,69,57.5,4.6,0.470222222
149,Cedrick Wilson,DAL,MIA,130,148,137.7,7.6,0.444307692
44,Randall Cobb,DAL,MIA,31,59,43.9,3.7,0.441612903
143,J.J. Nelson,OAK,MIN,124,143,133.2,7.3,0.429758065
68,KeeSean Johnson,ARI,CAR,56,86,70.3,4.9,0.42875
71,Kenny Stills,HOU,LAC,57,82,70.8,4.9,0.42122807
64,Trey Quinn,WAS,CHI,60,85,66.5,5,0.416666667
152,Diontae Spencer,DEN,GB,135,150,142.5,7.5,0.416666667
23,Allen Robinson,CHI,WAS,14,31,23.4,2.4,0.411428571
144,Steven Sims,WAS,CHI,123,142,130.8,7.1,0.409837398
37,Jarvis Landry,CLE,LAR,27,55,37.5,3.3,0.403333333
120,Kelvin Harmon,WAS,CHI,105,127,116.3,6.5,0.402380952
30,Josh Gordon,NE,NYJ,21,34,28.8,2.9,0.40047619
7,Chris Godwin,TB,NYG,5,18,7.9,1.4,0.392
43,Mecole Hardman,KC,BAL,35,50,41.3,3.7,0.391142857
79,Paul Richardson,WAS,CHI,67,88,77.1,5.1,0.388208955
119,Chris Hogan,CAR,ARI,100,126,116.1,6.2,0.3844
53,James Washington,PIT,SF,46,64,54.7,4.2,0.383478261
112,Allen Hurns,MIA,DAL,94,121,107.8,6,0.382978723
65,Preston Williams,MIA,DAL,53,74,63.6,4.5,0.382075472
89,Travis Benjamin,LAC,HOU,81,103,90.4,5.5,0.37345679
88,Donte Moncrief,PIT,SF,77,103,88.8,5.3,0.364805195
145,Keelan Cole,JAC,TEN,124,141,131.8,6.7,0.362016129
38,John Ross,CIN,BUF,32,67,37.9,3.4,0.36125
109,Dontrelle Inman,LAC,HOU,78,109,99.1,5.3,0.360128205
1,DeAndre Hopkins,HOU,LAC,1,10,1.7,0.6,0.36
84,Zay Jones,BUF,CIN,76,96,85.1,5.2,0.355789474
54,Corey Davis,TEN,JAC,46,69,55.2,4,0.347826087
47,Marquez Valdes-Scantling,GB,DEN,32,59,46.8,3.3,0.3403125
48,Courtland Sutton,DEN,GB,36,57,46.8,3.5,0.340277778
45,D.J. Chark,JAC,TEN,25,49,44.8,2.9,0.3364
133,Auden Tate,CIN,BUF,122,140,130,6.4,0.335737705
27,Christian Kirk,ARI,CAR,12,32,26.9,2,0.333333333
101,Robert Foster,BUF,CIN,98,117,103.9,5.7,0.331530612
10,Mike Evans,TB,NYG,6,27,9.6,1.4,0.326666667
126,Cody Core,NYG,TB,114,133,123.4,6,0.315789474
116,Alex Erickson,CIN,BUF,100,121,113,5.5,0.3025
32,Mike Williams,LAC,HOU,28,41,33.4,2.9,0.300357143
14,Cooper Kupp,LAR,CLE,9,36,15.3,1.6,0.284444444
61,A.J. Brown,TEN,JAC,51,68,61.9,3.8,0.283137255
39,Terry McLaurin,WAS,CHI,32,47,39.5,3,0.28125
92,Michael Crabtree,ARI,CAR,78,99,88.9,4.6,0.271282051
36,D.K. Metcalf,SEA,NO,27,43,36.7,2.7,0.27
63,Devante Parker,MIA,DAL,57,75,64.9,3.9,0.266842105
117,Demaryius Thomas,NYJ,NE,90,111,99.6,4.8,0.256
55,Marquise Goodwin,SF,PIT,51,67,56.4,3.6,0.254117647
115,Russell Shepard,NYG,TB,103,119,112.3,5.1,0.252524272
50,Jamison Crowder,NYJ,NE,32,66,48.9,2.8,0.245
90,Breshad Perriman,TB,NYG,80,104,90.8,4.3,0.231125
80,Taylor Gabriel,CHI,WAS,66,84,77.7,3.9,0.230454545
57,Mohamed Sanu,ATL,IND,51,65,57.9,3.4,0.226666667
137,Trevor Davis,OAK,MIN,121,137,129.8,5.2,0.223471074
76,Rashard Higgins,CLE,LAR,63,83,76.4,3.7,0.217301587
46,Deebo Samuel,SF,PIT,34,55,46,2.7,0.214411765
49,Dede Westbrook,JAC,TEN,40,70,48.3,2.9,0.21025
95,Chad Beebe,MIN,OAK,90,111,99,4.2,0.196
96,Jarius Wright,CAR,ARI,96,113,100.2,4.2,0.18375
99,Jaron Brown,SEA,NO,96,114,101.7,4.2,0.18375
138,Javon Wims,CHI,WAS,123,136,130.4,4.5,0.164634146
82,DaeSean Hamilton,DEN,GB,71,91,82.1,3.4,0.162816901
130,Justin Watson,TB,NYG,110,133,126.7,4.2,0.160363636
139,Taywan Taylor,CLE,LAR,121,132,127.5,4.4,0.16
