Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Keenan Allen,LAC,8.2,105.5,0.8,0.6,4.1,0.0,0.1,23.5
DeAndre Hopkins,HOU,7.4,92.0,0.7,0.0,0.0,0.0,0.1,20.9
Julio Jones,ATL,6.4,97.7,0.7,0.1,0.5,0.0,0.1,20.0
Davante Adams,GB,6.9,88.1,0.7,0.0,0.0,0.0,0.1,19.9
Cooper Kupp,LAR,6.6,81.5,0.7,0.3,2.0,0.0,0.1,19.0
Michael Thomas,NO,7.5,79.4,0.6,0.0,0.0,0.0,0.1,18.9
Amari Cooper,DAL,6.1,86.4,0.7,0.2,1.3,0.0,0.1,18.8
Tyler Lockett,SEA,6.0,83.4,0.7,0.5,3.6,0.0,0.1,18.7
Odell Beckham Jr.,CLE,6.0,90.1,0.6,0.2,1.1,0.0,0.1,18.6
Brandin Cooks,LAR,5.7,86.3,0.6,0.7,4.0,0.0,0.0,18.1
JuJu Smith-Schuster,PIT,6.1,82.7,0.6,0.1,0.5,0.0,0.1,17.8
Sammy Watkins,KC,5.2,81.4,0.7,0.1,0.8,0.0,0.0,17.5
Mike Evans,TB,5.4,87.2,0.6,0.1,0.5,0.0,0.0,17.4
Kenny Golladay,DET,5.4,83.8,0.6,0.1,0.6,0.0,0.0,17.2
Tyler Boyd,CIN,6.7,74.6,0.5,0.2,1.5,0.0,0.1,17.0
Larry Fitzgerald,ARI,6.4,69.8,0.6,0.0,0.3,0.0,0.1,16.7
Sterling Shepard,NYG,5.7,68.5,0.6,0.4,2.9,0.0,0.1,16.2
Christian Kirk,ARI,6.2,70.4,0.5,0.3,2.7,0.0,0.1,16.1
Julian Edelman,NE,5.9,68.2,0.5,0.6,4.4,0.0,0.1,16.0
Adam Thielen,MIN,5.7,71.6,0.5,0.3,1.9,0.0,0.1,16.0
D.J. Moore,CAR,6.1,69.8,0.4,0.6,7.3,0.0,0.2,15.8
Chris Godwin,TB,5.1,73.4,0.5,0.1,0.5,0.0,0.0,15.7
Terry McLaurin,WAS,5.5,68.2,0.6,0.2,0.9,0.0,0.1,15.7
Allen Robinson,CHI,5.7,68.9,0.5,0.0,0.3,0.0,0.1,15.3
Marquise Brown,BAL,4.6,71.6,0.6,0.3,2.0,0.0,0.0,15.3
Robert Woods,LAR,4.6,67.1,0.3,1.2,8.9,0.0,0.1,14.0
Marvin Jones,DET,4.2,65.6,0.5,0.1,0.5,0.0,0.0,13.8
Will Fuller,HOU,4.2,64.1,0.4,0.2,1.1,0.0,0.0,13.4
Tyrell Williams,OAK,5.2,63.4,0.3,0.1,0.4,0.0,0.0,13.3
John Brown,BUF,4.1,64.0,0.4,0.2,1.1,0.0,0.0,13.2
Courtland Sutton,DEN,4.3,61.8,0.4,0.0,0.0,0.0,0.0,12.8
D.J. Chark,JAC,4.4,57.0,0.4,0.1,0.5,0.0,0.0,12.6
Alshon Jeffery,PHI,4.1,56.8,0.4,0.1,0.3,0.0,0.0,12.6
D.K. Metcalf,SEA,3.7,58.9,0.5,0.0,0.2,0.0,0.0,12.6
Emmanuel Sanders,DEN,5.1,58.2,0.2,0.3,1.8,0.0,0.0,12.4
John Ross,CIN,4.5,56.4,0.4,0.2,1.0,0.0,0.1,12.2
Marquez Valdes-Scantling,GB,4.1,63.7,0.3,0.2,1.5,0.0,0.0,12.1
Curtis Samuel,CAR,4.4,56.0,0.2,0.6,5.3,0.1,0.1,12.1
Mecole Hardman,KC,3.2,58.5,0.5,0.3,1.9,0.0,0.0,12.1
Josh Gordon,NE,3.9,59.9,0.3,0.1,0.6,0.0,0.0,11.7
Paul Richardson,WAS,4.4,52.1,0.3,0.1,0.6,0.0,0.0,11.2
Calvin Ridley,ATL,3.8,54.3,0.3,0.2,0.8,0.0,0.0,11.1
Stefon Diggs,MIN,4.5,51.3,0.2,0.4,1.9,0.0,0.0,11.1
Jarvis Landry,CLE,3.9,59.2,0.2,0.4,2.5,0.0,0.0,11.0
Demarcus Robinson,KC,3.2,52.4,0.4,0.0,0.0,0.0,0.0,10.6
Cole Beasley,BUF,4.5,52.3,0.1,0.0,0.0,0.0,0.0,10.5
Nelson Agholor,PHI,3.7,50.8,0.2,0.2,1.7,0.0,0.1,10.3
Mohamed Sanu,ATL,4.0,48.6,0.2,0.3,1.7,0.0,0.0,10.0
Preston Williams,MIA,3.8,50.8,0.2,0.1,0.6,0.0,0.0,10.0
Corey Davis,TEN,3.7,50.0,0.2,0.2,2.0,0.0,0.0,9.9
Dede Westbrook,JAC,4.1,44.8,0.1,0.7,5.6,0.0,0.1,9.9
Dontrelle Inman,LAC,3.1,48.1,0.2,0.2,1.3,0.0,0.0,9.4
James Washington,PIT,3.5,51.5,0.1,0.1,0.5,0.0,0.0,9.3
Phillip Dorsett,NE,3.3,42.5,0.2,0.3,2.1,0.0,0.0,9.2
Randall Cobb,DAL,3.4,43.2,0.1,0.5,2.6,0.0,0.0,8.9
Trey Quinn,WAS,3.8,41.2,0.2,0.2,1.0,0.0,0.1,8.8
Kenny Stills,HOU,2.9,44.2,0.2,0.0,0.0,0.0,0.0,8.6
Diontae Johnson,PIT,2.9,43.7,0.2,0.3,1.9,0.0,0.0,8.4
Chris Conley,JAC,3.3,43.0,0.1,0.0,0.3,0.0,0.1,8.4
Devante Parker,MIA,3.0,48.4,0.1,0.0,0.0,0.0,0.0,8.4
Danny Amendola,DET,3.3,41.1,0.1,0.1,0.2,0.0,0.0,8.2
Adam Humphries,TEN,3.4,38.7,0.1,0.3,1.6,0.0,0.0,8.1
Devin Smith,DAL,2.6,46.3,0.1,0.0,0.2,0.0,0.0,8.1
Ted Ginn,NO,3.0,41.3,0.1,0.2,1.5,0.0,0.0,8.0
Auden Tate,CIN,3.3,36.6,0.1,0.0,0.1,0.0,0.1,7.7
T.Y. Hilton,IND,2.6,39.8,0.1,0.0,0.0,0.0,0.0,7.2
Cody Latimer,NYG,2.4,36.8,0.2,0.0,0.1,0.0,0.0,7.0
KeeSean Johnson,ARI,2.9,35.7,0.1,0.1,0.4,0.0,0.0,7.0
Parris Campbell,IND,2.6,34.7,0.1,0.2,0.9,0.0,0.0,7.0
A.J. Brown,TEN,2.6,37.9,0.1,0.1,0.9,0.0,0.0,6.9
Geronimo Allison,GB,2.5,37.1,0.2,0.0,0.3,0.0,0.1,6.9
Hunter Renfrow,OAK,3.0,33.1,0.1,0.0,0.2,0.0,0.0,6.9
Willie Snead,BAL,2.6,34.7,0.1,0.1,0.4,0.0,0.0,6.9
Jaron Brown,SEA,2.4,32.2,0.2,0.1,0.3,0.0,0.0,6.8
Anthony Miller,CHI,2.3,31.0,0.2,0.3,2.0,0.0,0.0,6.7
Albert Wilson,MIA,2.7,30.7,0.1,0.3,0.8,0.0,0.0,6.5
Jakeem Grant,MIA,2.5,32.2,0.1,0.4,2.6,0.0,0.0,6.4
Mack Hollins,PHI,2.4,34.8,0.1,0.1,0.5,0.0,0.0,6.4
Bennie Fowler,NYG,2.5,31.9,0.1,0.0,0.3,0.0,0.0,6.3
J.J. Nelson,OAK,2.4,30.2,0.1,0.1,0.8,0.0,0.0,6.0
Damion Ratley,CLE,2.1,33.5,0.1,0.0,0.0,0.0,0.0,5.9
Zay Jones,BUF,2.2,31.1,0.1,0.0,0.0,0.0,0.0,5.8
Deon Cain,IND,2.0,30.4,0.1,0.1,0.4,0.0,0.0,5.6
David Moore,SEA,1.9,30.2,0.1,0.1,0.2,0.0,0.0,5.6
Darius Slayton,NYG,2.1,27.3,0.1,0.1,0.6,0.0,0.0,5.3
Breshad Perriman,TB,1.8,29.0,0.1,0.3,1.7,0.0,0.0,5.3
Jarius Wright,CAR,2.1,25.0,0.1,0.1,1.1,0.0,0.0,5.2
Chester Rogers,IND,2.0,24.3,0.1,0.1,0.0,0.0,0.0,5.1
Rashard Higgins,CLE,1.7,27.1,0.1,0.0,0.1,0.0,0.1,4.8
Zach Pascal,IND,1.5,23.9,0.1,0.1,0.8,0.0,0.0,4.6
Ryan Switzer,PIT,2.0,19.4,0.1,0.4,1.5,0.0,0.0,4.6
Cordarrelle Patterson,CHI,1.1,14.4,0.1,2.1,13.0,0.1,0.0,4.5
Tajae Sharpe,TEN,1.5,24.3,0.1,0.1,0.7,0.0,0.0,4.5
DaeSean Hamilton,DEN,1.6,22.5,0.1,0.0,0.1,0.0,0.0,4.3
Geremy Davis,LAC,1.5,18.8,0.1,0.2,1.3,0.0,0.0,3.8
Keke Coutee,HOU,1.3,20.1,0.1,0.1,0.1,0.0,0.0,3.7
J.J. Arcega-Whiteside,PHI,1.2,22.0,0.1,0.1,0.4,0.0,0.0,3.7
Isaiah McKenzie,BUF,1.0,13.8,0.0,1.1,5.8,0.1,0.1,3.4
Miles Boykin,BAL,1.0,19.9,0.1,0.0,0.2,0.0,0.0,3.3
Jakobi Meyers,NE,1.2,16.3,0.1,0.0,0.2,0.0,0.0,3.3
TJ Jones,NYG,1.2,17.4,0.1,0.0,0.3,0.0,0.0,3.3
Seth Roberts,BAL,1.2,18.0,0.0,0.1,0.3,0.0,0.0,3.3
Damion Willis,CIN,1.2,18.0,0.0,0.0,0.0,0.0,0.0,3.1
Josh Reynolds,LAR,0.9,17.6,0.1,0.1,0.5,0.0,0.0,3.1
Chris Hogan,CAR,1.2,16.5,0.0,0.0,0.1,0.0,0.0,3.0
Justin Hardy,ATL,0.9,14.5,0.1,0.0,0.0,0.0,0.0,2.7
Alex Erickson,CIN,1.0,16.6,0.0,0.1,0.6,0.0,0.1,2.7
Javon Wims,CHI,1.0,13.3,0.0,0.2,1.0,0.0,0.0,2.7
Donte Moncrief,PIT,0.8,16.9,0.0,0.0,0.0,0.0,0.0,2.6
Marqise Lee,JAC,0.9,14.3,0.0,0.1,0.6,0.0,0.0,2.5
Cody Core,NYG,1.0,11.1,0.1,0.0,0.0,0.0,0.0,2.5
Olabisi Johnson,MIN,0.9,12.7,0.1,0.0,0.1,0.0,0.0,2.5
Laquon Treadwell,MIN,1.2,9.7,0.0,0.0,0.0,0.0,0.0,2.3
Trent Sherfield,ARI,0.8,11.5,0.0,0.0,0.0,0.0,0.0,2.2
De'Anthony Thomas,KC,0.6,9.8,0.1,0.2,0.8,0.0,0.0,2.2
Tavon Austin,DAL,0.7,9.9,0.0,0.3,2.0,0.0,0.0,2.1
Malik Turner,SEA,0.6,13.0,0.0,0.0,0.0,0.0,0.0,2.1
Steven Sims,WAS,0.5,10.0,0.0,0.5,3.3,0.0,0.0,2.0
Kelvin Harmon,WAS,0.6,11.4,0.0,0.0,0.1,0.0,0.0,1.9
Andy Isabella,ARI,0.5,10.4,0.0,0.0,0.1,0.0,0.0,1.8
Austin Carr,NO,0.5,11.1,0.0,0.0,0.0,0.0,0.0,1.8
Keelan Doss,OAK,0.3,13.8,0.0,0.1,0.7,0.0,0.0,1.8
Robert Foster,BUF,0.2,14.4,0.0,0.0,0.0,0.0,0.0,1.7
Johnny Holton,PIT,0.3,10.7,0.0,0.2,0.9,0.0,0.0,1.6
Darius Jennings,TEN,0.3,8.6,0.0,0.1,0.3,0.0,0.0,1.3
Taywan Taylor,CLE,0.3,10.0,0.0,0.1,0.2,0.0,0.0,1.3
Russell Gage,ATL,0.3,8.9,0.0,0.1,0.7,0.0,0.0,1.3
Marvin Hall,DET,0.4,4.2,0.0,0.0,0.0,0.0,0.0,1.1
Chris Moore,BAL,0.3,6.8,0.0,0.1,0.4,0.0,0.0,1.1
Keelan Cole,JAC,0.3,7.7,0.0,0.0,0.0,0.0,0.0,1.1
Cedrick Wilson,DAL,0.2,7.9,0.0,0.0,0.1,0.0,0.0,1.0
Deonte Harris,NO,0.2,7.3,0.0,0.0,0.2,0.0,0.0,0.9
Robert Davis,WAS,0.2,6.5,0.0,0.0,0.1,0.0,0.0,0.9
Byron Pringle,KC,0.2,6.0,0.0,0.0,0.1,0.0,0.0,0.8
Darrius Shepherd,GB,0.1,7.2,0.0,0.0,0.1,0.0,0.0,0.8
Juwann Winfree,DEN,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.8
Riley Ridley,CHI,0.4,3.6,0.0,0.0,0.0,0.0,0.0,0.8
Trevor Davis,OAK,0.4,3.3,0.0,0.0,0.0,0.0,0.0,0.8
Gunner Olszewski,NE,0.1,6.8,0.0,0.0,0.1,0.0,0.0,0.8
Bobo Wilson,TB,0.3,3.4,0.0,0.0,0.1,0.0,0.0,0.7
DeAndre Carter,HOU,0.2,3.8,0.0,0.1,1.0,0.0,0.0,0.7
Lil'Jordan Humphrey,NO,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.7
Andre Roberts,BUF,0.2,3.6,0.0,0.1,0.4,0.0,0.0,0.6
Justin Watson,TB,0.1,4.8,0.0,0.0,0.0,0.0,0.0,0.6
Gary Jennings,SEA,0.2,2.1,0.0,0.0,0.0,0.0,0.0,0.5
JoJo Natson,LAR,0.1,1.8,0.0,0.1,0.9,0.0,0.0,0.4
Brandon Zylstra,CAR,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.3
Allen Lazard,GB,0.1,2.1,0.0,0.0,0.0,0.0,0.0,0.3
Mike Thomas,LAR,0.1,1.5,0.0,0.0,0.0,0.0,0.0,0.3
Ray-Ray McCloud,CAR,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.3
Diontae Spencer,DEN,0.1,1.7,0.0,0.0,0.0,0.0,0.0,0.3
Scott Miller,TB,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Khadarel Hodge,CLE,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.2
Matt Slater,NE,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.2
Tyler Ervin,JAC,0.0,19.7,0.0,0.1,0.3,0.0,0.0,0.0
John Ursua,SEA,0.0,8.4,0.0,0.0,0.1,0.0,0.0,0.0
Jake Kumerow,GB,0.0,20.5,0.0,0.0,0.1,0.0,0.0,0.0
Chad Beebe,MIN,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0
Keith Kirkwood,NO,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0
Greg Ward,PHI,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
