Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Los Angeles (LAC)LAC DST,LAC,MIA,1,3,1.1,0.2
2,Los Angeles (LAR)LAR DST,LAR,TB,1,6,2.5,0.9
3,New England (NE)NE DST,NE,BUF,1,10,3.7,1.4
4,Chicago (CHI)CHI DST,CHI,MIN,2,11,4.1,1.7
5,Baltimore (BAL)BAL DST,BAL,CLE,2,9,5.1,1.4
6,Jacksonville (JAC)JAC DST,JAC,DEN,3,13,6.7,2.1
7,Minnesota (MIN)MIN DST,MIN,CHI,4,13,7.7,1.7
8,Houston (HOU)HOU DST,HOU,CAR,5,15,9.1,2.1
9,Indianapolis (IND)IND DST,IND,OAK,5,16,10.1,1.9
10,Pittsburgh (PIT)PIT DST,PIT,CIN,5,15,10.9,2.1
11,Denver (DEN)DEN DST,DEN,JAC,3,23,11.0,4.1
12,Green Bay (GB)GB DST,GB,PHI,7,15,11.2,1.7
13,Dallas (DAL)DAL DST,DAL,NO,8,22,12.0,2.9
14,Seattle (SEA)SEA DST,SEA,ARI,3,20,12.5,3.2
15,Atlanta (ATL)ATL DST,ATL,TEN,6,23,15.3,2.6
16,Tennessee (TEN)TEN DST,TEN,ATL,10,24,16.3,2.3
17,Kansas City (KC)KC DST,KC,DET,11,21,16.7,1.7
18,New York (NYG)NYG DST,NYG,WAS,15,24,18.1,1.6
19,Cleveland (CLE)CLE DST,CLE,BAL,14,25,19.7,2.4
20,Cincinnati (CIN)CIN DST,CIN,PIT,14,24,20.0,2.1
21,Carolina (CAR)CAR DST,CAR,HOU,5,24,20.3,2.6
22,New Orleans (NO)NO DST,NO,DAL,14,23,21.0,1.6
23,Buffalo (BUF)BUF DST,BUF,NE,18,27,23.0,1.9
24,Philadelphia (PHI)PHI DST,PHI,GB,16,26,23.9,1.9
25,Washington (WAS)WAS DST,WAS,NYG,15,30,23.5,2.2
26,Oakland (OAK)OAK DST,OAK,IND,25,28,26.3,0.7
27,Arizona (ARI)ARI DST,ARI,SEA,20,29,26.8,1.0
28,Tampa Bay (TB)TB DST,TB,LAR,21,30,28.0,0.8
29,Miami (MIA)MIA DST,MIA,LAC,26,30,29.2,0.9
30,Detroit (DET)DET DST,DET,KC,26,30,29.3,0.6
