Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Patrick Mahomes,KC,DET,1,1,1.0,0.0
2,Lamar Jackson,BAL,CLE,2,5,2.4,0.7
3,Deshaun Watson,HOU,CAR,2,4,3.0,0.6
4,Russell Wilson,SEA,ARI,2,6,3.9,0.8
5,Dak Prescott,DAL,NO,3,13,5.3,1.4
6,Jared Goff,LAR,TB,2,16,7.1,2.0
7,Aaron Rodgers,GB,PHI,5,11,7.2,1.2
8,Philip Rivers,LAC,MIA,3,14,7.6,1.4
9,Matt Ryan,ATL,TEN,6,18,9.4,1.2
10,Kyler Murray,ARI,SEA,5,16,9.6,1.4
11,Daniel Jones,NYG,WAS,6,12,10.3,1.2
12,Tom Brady,NE,BUF,9,17,12.6,1.3
13,Matthew Stafford,DET,KC,10,19,13.2,1.3
14,Carson Wentz,PHI,GB,9,18,14.1,1.3
15,Jacoby Brissett,IND,OAK,8,20,15.3,2.4
16,Josh Allen,BUF,NE,12,21,15.8,1.5
17,Kyle Allen,CAR,HOU,12,26,17.8,2.1
18,Jameis Winston,TB,LAR,14,23,18.3,1.9
19,Andy Dalton,CIN,PIT,12,25,19.1,2.4
20,Case Keenum,WAS,NYG,11,24,20.2,2.1
21,Baker Mayfield,CLE,BAL,17,26,20.2,1.8
22,Mason Rudolph,PIT,CIN,15,23,20.9,1.3
23,Gardner Minshew,JAC,DEN,21,27,23.4,1.0
24,Marcus Mariota,TEN,ATL,16,27,23.7,1.9
25,Derek Carr,OAK,IND,17,28,24.9,1.5
26,Mitch Trubisky,CHI,MIN,20,27,25.2,1.2
27,Kirk Cousins,MIN,CHI,23,30,27.7,1.1
28,Teddy Bridgewater,NO,DAL,25,30,27.6,1.1
29,Joe Flacco,DEN,JAC,22,29,28.6,0.7
30,Josh Rosen,MIA,LAC,29,30,29.9,0.3
31,Taysom Hill,NO,DAL,31,32,31.1,0.3
32,Dwayne Haskins,WAS,NYG,31,33,32.3,0.6
33,Ryan Fitzpatrick,MIA,LAC,32,34,32.6,0.7
34,Eli Manning,NYG,WAS,33,35,34.1,0.3
