Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Christian McCaffrey,CAR,HOU,1,3,1.3,0.5
2,Ezekiel Elliott,DAL,NO,1,6,2.4,0.9
3,Austin Ekeler,LAC,MIA,1,13,2.7,0.8
4,Alvin Kamara,NO,DAL,1,5,3.7,0.7
5,Dalvin Cook,MIN,CHI,3,13,5.7,1.5
6,David Johnson,ARI,SEA,5,12,6.7,1.2
7,Marlon Mack,IND,OAK,5,12,7.4,1.2
8,James Conner,PIT,CIN,5,12,7.7,1.3
9,Derrick Henry,TEN,ATL,3,16,9.1,2.3
10,Mark Ingram,BAL,CLE,6,15,10.1,1.5
11,Nick Chubb,CLE,BAL,6,17,11.3,1.8
12,Chris Carson,SEA,ARI,6,37,12.5,2.0
13,Kerryon Johnson,DET,KC,7,17,13.4,1.9
14,Leonard Fournette,JAC,DEN,8,21,14.3,2.4
15,Todd Gurley,LAR,TB,11,24,14.5,2.1
16,Joe Mixon,CIN,PIT,7,23,16.1,2.0
17,Josh Jacobs,OAK,IND,11,23,17.3,2.9
18,Aaron Jones,GB,PHI,14,25,18.3,2.3
19,Phillip Lindsay,DEN,JAC,11,26,19.6,2.3
20,Devonta Freeman,ATL,TEN,17,28,19.6,1.8
21,LeSean McCoy,KC,DET,10,24,19.7,2.4
22,Wayne Gallman,NYG,WAS,14,27,21.5,1.7
23,David Montgomery,CHI,MIN,18,28,23.3,1.6
24,James White,NE,BUF,16,41,24.4,2.8
25,Sony Michel,NE,BUF,17,34,25.5,3.3
26,Carlos Hyde,HOU,CAR,20,49,27.1,2.2
27,Miles Sanders,PHI,GB,20,32,27.1,1.5
28,Royce Freeman,DEN,JAC,24,34,27.4,1.8
29,Chris Thompson,WAS,NYG,22,35,28.6,2.6
30,Adrian Peterson,WAS,NYG,24,42,29.3,3.3
31,Darrel Williams,KC,DET,23,41,31.5,2.8
32,Frank Gore,BUF,NE,28,39,32.2,1.5
33,Kenyan Drake,MIA,LAC,27,42,33.5,2.2
34,Rex Burkhead,NE,BUF,27,41,33.5,2.7
35,Peyton Barber,TB,LAR,26,41,35.5,2.0
36,Duke Johnson,HOU,CAR,34,49,36.6,2.0
37,Tarik Cohen,CHI,MIN,29,48,37.7,2.3
38,Ronald Jones II,TB,LAR,32,46,38.2,2.4
39,Malcolm Brown,LAR,TB,30,50,39.4,2.6
40,Jordan Howard,PHI,GB,27,49,40.6,2.8
41,Jamaal Williams,GB,PHI,32,51,40.9,2.7
42,Rashaad Penny,SEA,ARI,27,54,41.7,4.8
43,Giovani Bernard,CIN,PIT,40,52,43.6,1.9
44,Latavius Murray,NO,DAL,37,59,46.5,4.5
45,Dion Lewis,TEN,ATL,33,57,46.7,2.7
46,Tony Pollard,DAL,NO,44,55,47.3,2.4
47,Ito Smith,ATL,TEN,40,57,49.5,3.6
48,Nyheim Hines,IND,OAK,42,60,49.6,4.0
49,Gus Edwards,BAL,CLE,38,58,50.3,3.1
50,Kalen Ballage,MIA,LAC,45,58,50.9,2.9
51,Jaylen Samuels,PIT,CIN,27,62,51.0,4.9
52,C.J. Prosise,SEA,ARI,42,65,54.0,5.6
53,Alexander Mattison,MIN,CHI,42,64,54.5,4.8
54,Ty Johnson,DET,KC,43,67,53.9,5.5
55,Darren Sproles,PHI,GB,43,61,53.9,2.6
56,Jalen Richard,OAK,IND,47,63,55.7,3.1
57,Dare Ogunbowale,TB,LAR,53,70,57.6,3.2
58,Melvin Gordon,LAC,MIA,31,89,49.7,12.8
59,T.J. Yeldon,BUF,NE,44,77,58.9,6.1
60,Justice Hill,BAL,CLE,51,78,61.4,5.3
61,Jordan Wilkins,IND,OAK,49,66,60.9,3.3
62,Mike Davis,CHI,MIN,58,74,62.7,3.1
63,Darwin Thompson,KC,DET,55,69,64.5,2.3
64,Devin Singletary,BUF,NE,30,64,53.6,7.9
65,Chase Edmonds,ARI,SEA,51,72,64.9,2.4
66,DeAndre Washington,OAK,IND,52,68,64.5,1.9
67,Elijhaa Penny,NYG,WAS,58,87,67.4,5.9
68,Troymaine Pope,LAC,MIA,44,96,65.4,14.6
69,D'Ernest Johnson,CLE,BAL,59,77,69.6,3.2
70,Ryquell Armstead,JAC,DEN,57,80,71.1,4.3
71,Dontrell Hilliard,CLE,BAL,68,77,70.7,1.9
72,J.D. McKissic,DET,KC,62,81,71.1,3.7
73,Benny Snell Jr.,PIT,CIN,69,79,72.9,2.1
74,Darrell Henderson,LAR,TB,68,80,74.4,3.9
75,Reggie Bonnafon,CAR,HOU,69,83,77.8,2.5
76,Brian Hill,ATL,TEN,61,91,74.6,5.5
77,Alex Armah,CAR,HOU,56,85,78.7,3.2
78,Devontae Booker,DEN,JAC,72,84,76.7,3.2
79,Ameer Abdullah,MIN,CHI,75,88,79.2,3.3
80,Wendell Smallwood,WAS,NYG,66,92,78.4,6.5
81,Damien Harris,NE,BUF,72,86,78.2,3.3
82,Mark Walton,MIA,LAC,64,89,79.2,6.0
83,Mike Boone,MIN,CHI,73,90,81.5,3.4
84,Jonathan Hilliman,NYG,WAS,61,96,80.6,11.6
85,Corey Clement,PHI,GB,71,99,82.1,7.3
86,Derek Watt,LAC,MIA,75,93,85.3,6.3
87,Jordan Scarlett,CAR,HOU,68,97,84.7,4.0
88,Brandon Bolden,NE,BUF,73,89,85.9,3.3
89,Patrick DiMarco,BUF,NE,75,94,86.9,4.7
90,John Kelly,LAR,TB,81,98,85.6,4.2
91,Mike Weber,DAL,NO,84,99,86.9,4.1
92,Damarea Crockett,OAK,IND,85,100,88.0,3.9
93,Qadree Ollison,ATL,TEN,76,94,87.4,5.5
94,Myles Gaskin,MIA,LAC,86,102,89.7,4.1
95,Tyler Ervin,JAC,DEN,66,97,79.5,13.0
96,Dexter Williams,GB,PHI,71,85,81.2,3.4
97,Zach Line,NO,DAL,84,95,92.1,1.8
98,Tavon Austin,DAL,NO,70,94,78.7,10.9
99,Jamize Olawale,DAL,NO,83,97,92.3,4.1
100,Anthony Sherman,KC,DET,83,96,91.4,2.9
101,Dan Vitale,GB,PHI,79,87,83.0,4.0
102,CJ Ham,MIN,CHI,76,95,88.7,9.0
103,Travis Homer,SEA,ARI,89,103,96.0,4.9
104,Nick Bawden,DET,KC,84,96,90.0,6.0
105,Dwayne Washington,NO,DAL,92,101,96.5,4.5
