Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Travis Kelce,KC,DET,1,5,1.0,0.0
2,Evan Engram,NYG,WAS,1,8,2.1,0.3
3,Zach Ertz,PHI,GB,2,16,3.5,0.8
4,Darren Waller,OAK,IND,2,6,3.5,0.6
5,Mark Andrews,BAL,CLE,3,8,5.2,0.8
6,Greg Olsen,CAR,HOU,5,10,6.2,0.9
7,Will Dissly,SEA,ARI,3,10,7.4,1.7
8,Delanie Walker,TEN,ATL,6,10,7.7,0.8
9,Austin Hooper,ATL,TEN,6,11,8.4,1.0
10,O.J. Howard,TB,LAR,7,17,10.7,1.2
11,T.J. Hockenson,DET,KC,7,13,11.2,1.0
12,Eric Ebron,IND,OAK,8,14,11.4,1.2
13,Vernon Davis,WAS,NYG,10,18,13.2,1.1
14,Jason Witten,DAL,NO,10,17,14.4,1.4
15,Jared Cook,NO,DAL,13,37,15.3,1.3
16,Jack Doyle,IND,OAK,13,27,15.7,1.2
17,Tyler Eifert,CIN,PIT,14,22,18.0,1.3
18,Jimmy Graham,GB,PHI,12,28,18.7,3.0
19,Trey Burton,CHI,MIN,15,25,19.2,2.0
20,Noah Fant,DEN,JAC,17,26,20.4,1.4
21,Dawson Knox,BUF,NE,11,27,22.3,2.2
22,Jordan Akins,HOU,CAR,16,27,22.4,2.5
23,Gerald Everett,LAR,TB,13,42,22.6,4.6
24,Kyle Rudolph,MIN,CHI,20,46,25.7,4.9
25,Mike Gesicki,MIA,LAC,20,35,26.4,2.9
26,Demetrius Harris,CLE,BAL,22,34,27.2,2.8
27,Dallas Goedert,PHI,GB,19,39,27.8,5.1
28,Hayden Hurst,BAL,CLE,24,33,29.0,2.2
29,Cameron Brate,TB,LAR,20,35,29.3,1.7
30,Irv Smith Jr.,MIN,CHI,26,40,31.4,3.0
31,James O'Shaughnessy,JAC,DEN,20,37,28.1,4.8
32,Blake Jarwin,DAL,NO,26,40,31.5,2.8
33,Geoff Swaim,JAC,DEN,32,40,35.3,2.2
34,C.J. Uzomah,CIN,PIT,30,47,35.6,3.9
35,Nick Vannett,PIT,CIN,20,45,35.5,6.4
36,Matt LaCosse,NE,BUF,23,50,37.1,5.0
37,Nick Boyle,BAL,CLE,28,42,36.4,3.0
38,Darren Fells,HOU,CAR,33,44,37.7,2.8
39,Tyler Higbee,LAR,TB,26,53,39.7,6.7
40,Jesse James,DET,KC,34,42,38.4,2.2
41,Jeremy Sprinkle,WAS,NYG,36,54,45.8,3.0
42,Sean Culkin,LAC,MIA,24,57,39.2,9.1
43,Vance McDonald,PIT,CIN,17,73,40.1,16.5
44,Jonnu Smith,TEN,ATL,34,52,44.8,3.0
45,Jeff Heuerman,DEN,JAC,37,52,43.2,3.7
46,Ryan Izzo,NE,BUF,31,54,43.7,5.5
47,Robert Tonyan,GB,PHI,35,59,47.5,6.3
48,Maxx Williams,ARI,SEA,28,62,49.7,7.7
49,Marcedes Lewis,GB,PHI,32,56,46.3,5.0
50,Lance Kendricks,LAC,MIA,30,61,43.6,10.1
51,Adam Shaheen,CHI,MIN,37,58,50.7,4.2
52,Tommy Sweeney,BUF,NE,44,51,48.5,1.8
53,Charles Clay,ARI,SEA,45,57,51.8,3.5
54,Rhett Ellison,NYG,WAS,49,58,52.5,2.5
55,Ricky Seals-Jones,CLE,BAL,41,63,54.5,5.0
56,Mo Alie-Cox,IND,OAK,33,62,54.0,8.4
57,Foster Moreau,OAK,IND,49,64,57.1,5.2
58,Josh Hill,NO,DAL,44,66,57.2,3.3
59,Blake Bell,KC,DET,48,59,55.5,2.7
60,Nick O'Leary,MIA,LAC,53,66,59.2,3.2
61,Ian Thomas,CAR,HOU,51,75,59.8,7.3
62,Luke Stocker,ATL,TEN,50,64,60.4,3.1
63,Luke Willson,SEA,ARI,43,68,55.2,10.1
64,Logan Thomas,DET,KC,56,69,63.1,3.0
65,Derek Carrier,OAK,IND,53,68,65.0,2.2
66,Anthony Firkser,TEN,ATL,60,69,64.2,3.1
67,Zach Gentry,PIT,CIN,56,66,62.4,3.9
68,Drew Sample,CIN,PIT,61,69,65.7,2.4
69,Durham Smythe,MIA,LAC,58,77,65.5,5.3
70,Ben Braunecker,CHI,MIN,56,71,65.4,6.0
71,Chris Manhertz,CAR,HOU,62,76,69.2,3.4
72,Lee Smith,BUF,NE,64,72,68.4,3.3
73,Troy Fumagalli,DEN,JAC,67,72,70.2,1.0
74,Pharaoh Brown,CLE,BAL,65,73,69.5,3.0
75,Johnny Mundt,LAR,TB,70,72,71.0,1.0
76,MyCole Pruitt,TEN,ATL,71,72,71.5,0.5
77,Tyler Conklin,NE,BUF,72,73,72.5,0.5
