Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Keenan Allen,LAC,MIA,1,4,1.8,0.9
2,Julio Jones,ATL,TEN,1,4,2.1,0.9
3,DeAndre Hopkins,HOU,CAR,1,10,3.3,0.9
4,Davante Adams,GB,PHI,1,13,3.4,1.9
5,Amari Cooper,DAL,NO,2,9,5.3,1.0
6,Tyler Lockett,SEA,ARI,4,11,6.8,1.1
7,Odell Beckham Jr.,CLE,BAL,4,17,6.8,1.9
8,Cooper Kupp,LAR,TB,6,21,8.6,1.5
9,JuJu Smith-Schuster,PIT,CIN,7,25,9.9,1.4
10,Michael Thomas,NO,DAL,5,18,10.2,2.0
11,Sammy Watkins,KC,DET,5,26,10.5,3.6
12,Mike Evans,TB,LAR,6,21,12.4,2.3
13,Brandin Cooks,LAR,TB,9,22,13.4,1.6
14,Kenny Golladay,DET,KC,9,19,13.7,1.7
15,Tyler Boyd,CIN,PIT,8,26,16.1,3.0
16,Larry Fitzgerald,ARI,SEA,11,23,16.5,2.0
17,Adam Thielen,MIN,CHI,11,26,19.3,2.7
18,Marquise Brown,BAL,CLE,8,25,19.4,2.5
19,Julian Edelman,NE,BUF,13,31,19.9,2.9
20,Chris Godwin,TB,LAR,8,42,20.1,4.0
21,Sterling Shepard,NYG,WAS,8,26,20.5,2.9
22,Robert Woods,LAR,TB,13,39,20.7,4.6
23,Christian Kirk,ARI,SEA,17,34,21.6,2.4
24,Terry McLaurin,WAS,NYG,9,35,23.6,4.9
25,D.J. Moore,CAR,HOU,21,33,26.9,2.7
26,Allen Robinson,CHI,MIN,20,36,27.5,2.6
27,Calvin Ridley,ATL,TEN,17,36,27.7,3.7
28,Josh Gordon,NE,BUF,21,45,27.8,3.6
29,Tyrell Williams,OAK,IND,17,37,30.1,4.3
30,Curtis Samuel,CAR,HOU,21,35,30.2,2.3
31,Marvin Jones,DET,KC,24,43,31.3,4.6
32,D.K. Metcalf,SEA,ARI,11,42,31.6,2.9
33,Demarcus Robinson,KC,DET,16,43,32.0,3.6
34,Marquez Valdes-Scantling,GB,PHI,20,41,34.1,3.8
35,Mecole Hardman,KC,DET,17,48,34.2,2.9
36,Emmanuel Sanders,DEN,JAC,16,45,36.1,5.3
37,Stefon Diggs,MIN,CHI,23,47,37.7,4.5
