"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Christian McCaffrey","CAR","JAC","Sun 01:00 EDT","RB","23.6%","9100","RB","20.2%","8700"
"Dalvin Cook","MIN","NYG","Sun 01:00 EDT","RB","23.0%","8200","RB","17.8%","8400"
"DeAndre Hopkins","HOU","ATL","Sun 01:00 EDT","WR","21.5%","8500","WR","21.0%","7800"
"Ezekiel Elliott","DAL","GB","Sun 04:25 EDT","RB","20.9%","8800","RB","17.8%","8300"
"Keenan Allen","LAC","DEN","Sun 04:05 EDT","WR","18.1%","7500","WR","16.8%","7300"
"Michael Thomas","NO","TB","Sun 01:00 EDT","WR","17.6%","7700","WR","20.0%","6600"
"Alvin Kamara","NO","TB","Sun 01:00 EDT","RB","16.5%","8200","RB","13.1%","8600"
"Tyler Boyd","CIN","ARI","Sun 01:00 EDT","WR","15.8%","6700","WR","15.0%","6500"
"Austin Ekeler","LAC","DEN","Sun 04:05 EDT","RB","15.8%","7200","RB","13.9%","6700"
"Larry Fitzgerald","ARI","CIN","Sun 01:00 EDT","WR","15.5%","5800","WR","13.8%","6000"
"Deshaun Watson","HOU","ATL","Sun 01:00 EDT","QB","15.1%","8000","QB","14.3%","6700"
"David Johnson","ARI","CIN","Sun 01:00 EDT","RB","14.8%","6800","RB","10.9%","7500"
"Leonard Fournette","JAC","CAR","Sun 01:00 EDT","RB","14.5%","6900","RB","12.4%","6400"
"Evan Engram","NYG","MIN","Sun 01:00 EDT","TE","13.2%","6300","TE","12.0%","5800"
"Will Fuller","HOU","ATL","Sun 01:00 EDT","WR","13.1%","5700","WR","15.0%","4500"
"Zach Ertz","PHI","NYJ","Sun 01:00 EDT","TE","13.0%","6600","TE","12.0%","6000"
"Carlos Hyde","HOU","ATL","Sun 01:00 EDT","RB","12.5%","5600","RB","12.1%","4300"
"Darren Waller","OAK","CHI","Sun 01:00 EDT","TE","12.2%","6400","TE","13.4%","5000"
"Mark Andrews","BAL","PIT","Sun 01:00 EDT","TE","11.4%","6100","TE","12.5%","4800"
"Adam Thielen","MIN","NYG","Sun 01:00 EDT","WR","11.3%","6900","WR","10.5%","6700"
"Matt Ryan","ATL","HOU","Sun 01:00 EDT","QB","11.2%","7700","QB","11.6%","5900"
"Amari Cooper","DAL","GB","Sun 04:25 EDT","WR","11.1%","7900","WR","11.6%","6800"
"Carson Wentz","PHI","NYJ","Sun 01:00 EDT","QB","11.0%","7800","QB","11.1%","6100"
"Auden Tate","CIN","ARI","Sun 01:00 EDT","WR","10.8%","5300","WR","15.0%","3500"
"Alshon Jeffery","PHI","NYJ","Sun 01:00 EDT","WR","10.7%","6700","WR","10.7%","5900"
"Julio Jones","ATL","HOU","Sun 01:00 EDT","WR","10.5%","8200","WR","9.9%","7700"
"Andy Dalton","CIN","ARI","Sun 01:00 EDT","QB","10.1%","7500","QB","10.5%","5700"
"Austin Hooper","ATL","HOU","Sun 01:00 EDT","TE","10.0%","6700","TE","12.5%","4500"
"Chris Godwin","TB","NO","Sun 01:00 EDT","WR","9.8%","7800","WR","10.7%","6900"
"Tom Brady","NE","WAS","Sun 01:00 EDT","QB","9.6%","7600","QB","8.9%","6500"
"Joe Mixon","CIN","ARI","Sun 01:00 EDT","RB","9.2%","7100","RB","8.5%","6100"
"Dak Prescott","DAL","GB","Sun 04:25 EDT","QB","8.9%","8200","QB","9.7%","6000"
"Kyler Murray","ARI","CIN","Sun 01:00 EDT","QB","8.6%","7400","QB","8.0%","6300"
"Julian Edelman","NE","WAS","Sun 01:00 EDT","WR","7.8%","6500","WR","7.1%","6300"
"Duke Johnson","HOU","ATL","Sun 01:00 EDT","RB","7.5%","5300","RB","7.8%","4200"
"Stefon Diggs","MIN","NYG","Sun 01:00 EDT","WR","7.2%","6000","WR","6.3%","6200"
"Le'Veon Bell","NYJ","PHI","Sun 01:00 EDT","RB","7.1%","7300","RB","6.1%","6800"
"Marquez Valdes-Scantling","GB","DAL","Sun 04:25 EDT","WR","7.1%","6300","WR","7.1%","5600"
"Jordan Howard","PHI","NYJ","Sun 01:00 EDT","RB","7.0%","6500","RB","6.6%","5100"
"Emmanuel Sanders","DEN","LAC","Sun 04:05 EDT","WR","7.0%","5600","WR","7.1%","5100"
"Mike Evans","TB","NO","Sun 01:00 EDT","WR","7.0%","7700","WR","6.8%","7100"
"Marquise Brown","BAL","PIT","Sun 01:00 EDT","WR","6.7%","5400","WR","5.8%","5700"
"Aaron Jones","GB","DAL","Sun 04:25 EDT","RB","6.7%","6800","RB","6.2%","5900"
"James White","NE","WAS","Sun 01:00 EDT","RB","6.6%","6200","RB","7.4%","5000"
"KeeSean Johnson","ARI","CIN","Sun 01:00 EDT","WR","6.5%","4600","WR","7.9%","3500"
"Lamar Jackson","BAL","PIT","Sun 01:00 EDT","QB","6.4%","8300","QB","5.9%","7100"
"David Montgomery","CHI","OAK","Sun 01:00 EDT","RB","6.3%","5700","RB","5.4%","5200"
"Sony Michel","NE","WAS","Sun 01:00 EDT","RB","5.9%","6300","RB","5.0%","5500"
"Allen Robinson","CHI","OAK","Sun 01:00 EDT","WR","5.9%","6900","WR","6.4%","5600"
"Curtis Samuel","CAR","JAC","Sun 01:00 EDT","WR","5.7%","5500","WR","6.3%","4500"
