Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Patrick Mahomes,KC,HOU,1,5,1.2,0.5,23.2
2,Lamar Jackson,BAL,CIN,1,6,2.3,0.5,22.1
3,Deshaun Watson,HOU,KC,1,5,2.7,0.7,20.7
4,Matt Ryan,ATL,ARI,2,7,4.2,0.7,19.8
5,Russell Wilson,SEA,CLE,3,8,5.5,1.2,19.6
6,Kyler Murray,ARI,ATL,4,9,5.8,0.9,19.5
7,Tom Brady,NE,NYG,3,10,7.1,1.0,19.5
8,Dak Prescott,DAL,NYJ,6,10,7.5,0.8,19.4
9,Aaron Rodgers,GB,DET,8,14,9.7,1.3,18.6
10,Jared Goff,LAR,SF,6,19,9.9,1.3,17.9
11,Jameis Winston,TB,CAR,8,20,11.7,1.4,17.5
12,Gardner Minshew,JAC,NO,10,16,12.6,1.2,16.5
13,Kirk Cousins,MIN,PHI,9,21,13.1,2.0,16.4
14,Carson Wentz,PHI,MIN,9,18,14.4,2.1,15.9
15,Philip Rivers,LAC,PIT,9,19,14.6,1.3,15.8
16,Jimmy Garoppolo,SF,LAR,11,19,16.5,1.5,15.6
17,Kyle Allen,CAR,TB,12,25,16.7,2.1,14.9
18,Baker Mayfield,CLE,SEA,14,21,17.2,1.3,14.3
19,Matthew Stafford,DET,GB,10,22,18.5,1.2,14.2
20,Andy Dalton,CIN,BAL,8,25,20.5,1.4,14.1
21,Teddy Bridgewater,NO,JAC,11,24,21.3,1.2,13.6
22,Case Keenum,WAS,MIA,16,27,21.5,1.5,12.2
23,Marcus Mariota,TEN,DEN,19,26,23.3,1.4,12.0
24,Sam Darnold,NYJ,DAL,15,28,24.3,1.6,12.0
25,Daniel Jones,NYG,NE,22,28,25.9,1.7,12.0
26,Josh Rosen,MIA,WAS,19,28,25.4,1.5,11.7
27,Joe Flacco,DEN,TEN,20,28,25.6,1.3,11.5
28,Devlin Hodges,PIT,LAC,24,30,27.5,1.2,11.4
29,Taysom Hill,NO,JAC,28,30,29.0,0.2,5.4
30,Colt McCoy,WAS,MIA,28,33,30.5,1.0,1.3
31,Blake Bortles,LAR,SF,30,34,32.4,1.2,1.1
32,Ryan Fitzpatrick,MIA,WAS,30,40,33.3,2.6,1.0
33,Dwayne Haskins,WAS,MIA,30,34,31.3,1.6,1.0
34,Ryan Tannehill,TEN,DEN,31,35,33.3,1.6,1.0
35,Jarrett Stidham,NE,NYG,30,39,34.5,2.2,1.0
36,Eli Manning,NYG,NE,28,33,30.5,2.5,0.9
