Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Dalvin Cook,MIN,DET,1,4,1.5,0.7,24.6
2,Leonard Fournette,JAC,CIN,1,3,2.1,0.9,21.2
3,Saquon Barkley,NYG,ARI,1,6,2.5,0.7,19.5
4,Ezekiel Elliott,DAL,PHI,3,6,4.2,0.6,19.4
5,Chris Carson,SEA,BAL,3,8,5.7,0.9,19.3
6,David Johnson,ARI,NYG,4,12,5.8,1.4,19.1
7,Le'Veon Bell,NYJ,NE,5,19,7.0,1.7,19.0
8,Aaron Jones,GB,OAK,6,24,9.7,2.2,18.1
9,Derrick Henry,TEN,LAC,6,17,10.1,1.2,17.5
10,Phillip Lindsay,DEN,KC,7,15,10.2,1.9,16.9
11,Josh Jacobs,OAK,GB,7,24,10.3,2.8,15.6
12,Mark Ingram,BAL,SEA,8,25,12.5,2.4,15.3
13,Devonta Freeman,ATL,LAR,10,19,14.2,1.8,14.6
14,Kerryon Johnson,DET,MIN,11,20,14.6,2.0,14.6
15,Marlon Mack,IND,HOU,9,26,14.7,3.9,14.4
16,Tevin Coleman,SF,WAS,10,24,17.1,2.5,14.4
17,Todd Gurley,LAR,ATL,8,36,17.9,6.2,14.3
18,Joe Mixon,CIN,JAC,10,29,18.2,3.5,14.3
19,Melvin Gordon,LAC,TEN,14,32,19.0,2.8,14.2
20,James White,NE,NYJ,13,36,20.2,3.1,14.1
21,Matt Breida,SF,WAS,15,26,21.0,2.3,14.1
22,Sony Michel,NE,NYJ,17,31,22.3,1.8,13.7
23,Austin Ekeler,LAC,TEN,17,34,23.3,2.5,13.5
24,Carlos Hyde,HOU,IND,11,32,23.8,3.1,13.1
25,Royce Freeman,DEN,KC,15,30,23.9,3.0,13.1
26,Latavius Murray,NO,CHI,11,41,24.8,6.1,13.1
27,Frank Gore,BUF,MIA,13,41,26.4,3.8,13.0
28,LeSean McCoy,KC,DEN,23,33,28.7,1.7,12.6
