Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Julio Jones,ATL,LAR,1,7,1.8,1.4,19.7
2,Cooper Kupp,LAR,ATL,1,6,2.3,1.0,19.3
3,DeAndre Hopkins,HOU,IND,1,10,3.0,1.2,19.2
4,Michael Thomas,NO,CHI,1,7,3.7,0.7,18.5
5,Tyreek Hill,KC,DEN,2,26,5.9,1.1,18.5
6,Keenan Allen,LAC,TEN,4,21,6.5,2.1,17.5
7,T.Y. Hilton,IND,HOU,2,12,7.1,2.0,17.3
8,Julian Edelman,NE,NYJ,2,18,9.0,2.2,17.0
9,Adam Thielen,MIN,DET,5,19,9.4,2.7,17.0
10,Tyler Lockett,SEA,BAL,5,17,9.7,2.7,17.0
11,D.J. Chark,JAC,CIN,9,24,12.1,1.5,16.8
12,Robert Woods,LAR,ATL,7,24,12.9,2.7,16.6
13,Michael Gallup,DAL,PHI,6,23,13.2,3.1,16.4
14,Larry Fitzgerald,ARI,NYG,9,25,13.4,2.6,16.0
15,Kenny Golladay,DET,MIN,9,19,14.8,1.9,15.9
16,Brandin Cooks,LAR,ATL,10,28,16.5,3.4,15.8
17,Will Fuller,HOU,IND,10,23,17.6,2.1,15.6
18,Courtland Sutton,DEN,KC,14,23,18.3,1.6,15.5
19,Tyler Boyd,CIN,JAC,4,32,18.9,3.5,15.3
20,Stefon Diggs,MIN,DET,13,29,20.4,2.8,15.1
21,John Brown,BUF,MIA,12,27,21.1,2.8,14.9
22,Alshon Jeffery,PHI,DAL,13,28,21.9,2.9,14.6
23,Golden Tate,NYG,ARI,17,35,24.1,2.7,14.4
24,Calvin Ridley,ATL,LAR,18,34,24.3,2.4,14.6
25,Terry McLaurin,WAS,SF,17,50,25.1,1.7,13.4
26,Allen Robinson,CHI,NO,15,37,25.7,2.0,13.3
27,Dede Westbrook,JAC,CIN,23,38,28.4,3.9,13.1
28,Mike Williams,LAC,TEN,19,36,29.8,1.9,12.4
29,D.K. Metcalf,SEA,BAL,28,41,31.6,2.7,11.7
30,Jamison Crowder,NYJ,NE,26,39,32.1,2.3,11.6
31,Auden Tate,CIN,JAC,19,37,32.6,2.3,11.6
32,Emmanuel Sanders,DEN,KC,24,60,32.6,3.6,11.6
33,Marvin Jones,DET,MIN,29,40,33.1,2.2,10.7
34,Amari Cooper,DAL,PHI,5,70,25.8,15.7,10.6
35,Mohamed Sanu,ATL,LAR,29,42,35.8,1.4,10.7
36,Robby Anderson,NYJ,NE,29,47,36.3,3.8,10.7
37,Phillip Dorsett,NE,NYJ,20,73,40.1,11.4,9.9
38,Dante Pettis,SF,WAS,29,49,40.1,3.3,10.3
39,Corey Davis,TEN,LAC,37,63,42.3,3.7,9.4
40,Demarcus Robinson,KC,DEN,29,61,42.9,6.1,9.3
41,Cole Beasley,BUF,MIA,31,76,43.6,8.6,9.0
42,A.J. Brown,TEN,LAC,34,53,43.7,4.0,9.3
43,Preston Williams,MIA,BUF,34,57,44.4,4.9,9.2
44,Mecole Hardman,KC,DEN,39,54,44.8,4.1,8.8
45,Darius Slayton,NYG,ARI,34,60,46.0,4.5,8.6
46,Marquise Goodwin,SF,WAS,40,58,47.9,3.9,8.4
47,Willie Snead,BAL,SEA,39,61,48.0,4.3,8.2
48,Marquez Valdes-Scantling,GB,OAK,28,66,41.3,8.7,8.8
49,Jakobi Meyers,NE,NYJ,44,65,49.6,3.4,8.2
50,Devante Parker,MIA,BUF,38,59,50.0,4.1,7.9
51,Nelson Agholor,PHI,DAL,44,73,49.5,5.9,7.9
52,Allen Lazard,GB,OAK,31,78,54.1,9.4,7.7
53,KeeSean Johnson,ARI,NYG,41,79,55.4,5.8,7.7
54,Demaryius Thomas,NYJ,NE,52,75,56.3,4.5,7.5
55,Adam Humphries,TEN,LAC,43,74,57.9,7.0,7.2
56,Keke Coutee,HOU,IND,43,82,57.9,8.4,7.3
57,Chris Conley,JAC,CIN,52,67,58.0,3.8,7.1
58,Ted Ginn,NO,CHI,48,84,59.0,6.0,7.0
59,Anthony Miller,CHI,NO,42,73,61.2,6.7,7.0
60,Byron Pringle,KC,DEN,40,78,63.6,9.2,7.0
61,Jaron Brown,SEA,BAL,47,75,65.5,4.4,6.9
62,Paul Richardson,WAS,SF,56,81,66.3,6.5,6.8
63,Albert Wilson,MIA,BUF,45,79,63.9,7.3,6.7
64,Christian Kirk,ARI,NYG,24,129,52.0,25.8,6.7
65,Miles Boykin,BAL,SEA,49,89,68.0,6.6,6.7
66,Danny Amendola,DET,MIN,58,77,68.2,4.9,6.7
67,Damiere Byrd,ARI,NYG,57,78,68.7,5.6,6.6
68,Jake Kumerow,GB,OAK,50,78,66.5,5.9,6.7
69,Hunter Renfrow,OAK,GB,51,87,68.2,8.7,6.6
70,Trey Quinn,WAS,SF,56,78,69.6,5.2,6.5
71,Tavon Austin,DAL,PHI,41,109,73.6,10.6,6.2
72,Zay Jones,OAK,GB,54,96,74.6,8.6,6.0
73,DaeSean Hamilton,DEN,KC,59,81,72.5,4.7,6.1
74,Kenny Stills,HOU,IND,47,80,70.1,5.8,6.1
75,Taylor Gabriel,CHI,NO,42,87,73.5,7.0,6.0
76,Alex Erickson,CIN,JAC,43,88,76.3,7.6,5.3
77,Trevor Davis,OAK,GB,54,100,72.2,13.1,5.2
78,Duke Williams,BUF,MIA,53,116,80.4,11.3,5.2
79,Trent Sherfield,ARI,NYG,67,91,79.0,6.3,5.1
80,Zach Pascal,IND,HOU,63,89,79.2,5.0,5.0
81,David Moore,SEA,BAL,71,90,81.1,4.0,5.0
82,Randall Cobb,DAL,PHI,54,104,77.3,13.6,4.9
83,Seth Roberts,BAL,SEA,72,90,82.1,4.1,5.0
84,Cody Latimer,NYG,ARI,66,94,84.7,4.2,5.0
85,Olabisi Johnson,MIN,DET,66,93,85.7,5.3,4.9
86,Deon Cain,IND,HOU,78,99,86.0,4.9,4.6
87,Kendrick Bourne,SF,WAS,69,92,84.1,5.8,4.5
88,Mack Hollins,PHI,DAL,75,91,84.7,3.0,4.5
89,Geronimo Allison,GB,OAK,41,128,74.1,23.7,4.1
90,Devin Smith,DAL,PHI,69,120,84.1,10.6,4.9
91,Pharoh Cooper,ARI,NYG,79,103,90.5,5.1,4.4
92,Richie James,SF,WAS,85,102,92.6,3.4,4.1
93,Isaiah McKenzie,BUF,MIA,68,97,92.1,3.7,4.3
94,Chester Rogers,IND,HOU,77,107,92.5,8.8,3.9
95,Cordarrelle Patterson,CHI,NO,83,112,98.9,5.4,3.9
96,Allen Hurns,MIA,BUF,90,106,97.2,3.4,3.9
97,Damion Willis,CIN,JAC,89,106,97.2,3.8,3.7
98,Chris Moore,BAL,SEA,85,118,98.6,5.9,3.4
99,Josh Reynolds,LAR,ATL,81,113,96.8,7.2,3.7
100,Steven Sims,WAS,SF,91,112,101.7,4.6,3.5
101,Justin Hardy,ATL,LAR,74,117,101.8,7.0,3.6
102,Cedrick Wilson,DAL,PHI,84,115,100.9,8.3,3.6
