Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,
1,Julio Jones,ATL,LAR,1,7,1.8,1.4,19.7,1.96
2,Cooper Kupp,LAR,ATL,1,6,2.3,1,19.3,1
3,DeAndre Hopkins,HOU,IND,1,10,3,1.2,19.2,1.44
4,Michael Thomas,NO,CHI,1,7,3.7,0.7,18.5,0.49
5,Tyreek Hill,KC,DEN,2,26,5.9,1.1,18.5,0.605
6,Keenan Allen,LAC,TEN,4,21,6.5,2.1,17.5,1.1025
7,T.Y. Hilton,IND,HOU,2,12,7.1,2,17.3,2
8,Julian Edelman,NE,NYJ,2,18,9,2.2,17,2.42
9,Adam Thielen,MIN,DET,5,19,9.4,2.7,17,1.458
10,Tyler Lockett,SEA,BAL,5,17,9.7,2.7,17,1.458
11,D.J. Chark,JAC,CIN,9,24,12.2,1.5,16.8,0.25
12,Robert Woods,LAR,ATL,7,24,12.9,2.7,16.6,1.041428571
13,Michael Gallup,DAL,PHI,6,23,13.1,3,16.4,1.5
14,Larry Fitzgerald,ARI,NYG,9,25,13.4,2.6,16,0.751111111
15,Kenny Golladay,DET,MIN,9,19,14.9,1.9,15.9,0.401111111
16,Brandin Cooks,LAR,ATL,10,28,16.5,3.4,15.8,1.156
17,Will Fuller,HOU,IND,10,23,17.5,2.1,15.6,0.441
18,Courtland Sutton,DEN,KC,14,23,18.3,1.6,15.5,0.182857143
19,Tyler Boyd,CIN,JAC,4,32,18.9,3.5,15.3,3.0625
20,Stefon Diggs,MIN,DET,13,29,20.4,2.8,15.1,0.603076923
21,John Brown,BUF,MIA,12,27,21.1,2.8,14.9,0.653333333
22,Alshon Jeffery,PHI,DAL,13,28,21.9,2.8,14.6,0.603076923
23,Golden Tate,NYG,ARI,17,35,24.1,2.7,14.4,0.428823529
24,Calvin Ridley,ATL,LAR,18,34,24.3,2.4,14.6,0.32
25,Terry McLaurin,WAS,SF,17,50,25,1.7,13.4,0.17
26,Allen Robinson,CHI,NO,15,37,25.7,2,13.3,0.266666667
27,Dede Westbrook,JAC,CIN,23,38,28.3,3.9,13.1,0.661304348
28,Mike Williams,LAC,TEN,19,36,29.8,1.9,12.4,0.19
29,D.K. Metcalf,SEA,BAL,28,41,31.6,2.7,11.7,0.260357143
30,Jamison Crowder,NYJ,NE,26,39,32,2.4,11.6,0.221538462
31,Auden Tate,CIN,JAC,19,37,32.5,2.3,11.6,0.278421053
32,Emmanuel Sanders,DEN,KC,24,60,32.6,3.6,11.6,0.54
33,Marvin Jones,DET,MIN,29,40,33.1,2.2,10.7,0.166896552
34,Amari Cooper,DAL,PHI,5,70,27.2,16.1,10.6,51.842
35,Mohamed Sanu,ATL,LAR,29,42,35.9,1.5,10.7,0.077586207
36,Robby Anderson,NYJ,NE,29,47,36.2,3.8,10.7,0.497931034
37,Phillip Dorsett,NE,NYJ,20,73,40,11.5,9.9,6.6125
38,Dante Pettis,SF,WAS,29,49,40,3.3,10.3,0.375517241
39,Corey Davis,TEN,LAC,37,63,42.3,3.7,9.4,0.37
40,Demarcus Robinson,KC,DEN,29,61,42.8,6,9.3,1.24137931
41,Cole Beasley,BUF,MIA,31,76,43.5,8.8,9,2.498064516
42,A.J. Brown,TEN,LAC,34,53,43.6,3.9,9.3,0.447352941
43,Preston Williams,MIA,BUF,34,57,44.3,5,9.2,0.735294118
44,Mecole Hardman,KC,DEN,39,54,44.7,4,8.8,0.41025641
45,Darius Slayton,NYG,ARI,34,60,46,4.5,8.6,0.595588235
46,Marquise Goodwin,SF,WAS,40,58,47.9,4,8.4,0.4
47,Willie Snead,BAL,SEA,39,61,48,4.3,8.2,0.474102564
48,Marquez Valdes-Scantling,GB,OAK,28,66,41.3,8.8,8.8,2.765714286
49,Jakobi Meyers,NE,NYJ,44,65,49.6,3.4,8.2,0.262727273
50,Devante Parker,MIA,BUF,38,59,50,4.1,7.9,0.442368421
51,Nelson Agholor,PHI,DAL,44,73,49.4,5.9,7.9,0.791136364
52,Allen Lazard,GB,OAK,31,78,54.6,9.5,7.7,2.911290323
53,KeeSean Johnson,ARI,NYG,41,79,55.4,5.8,7.7,0.820487805
54,Demaryius Thomas,NYJ,NE,52,75,56.3,4.5,7.5,0.389423077
55,Adam Humphries,TEN,LAC,43,74,57.9,7,7.2,1.139534884
56,Keke Coutee,HOU,IND,43,82,58,8.6,7.3,1.72
57,Chris Conley,JAC,CIN,52,67,58,3.9,7.1,0.2925
58,Ted Ginn,NO,CHI,48,84,58.9,6.1,7,0.775208333
59,Anthony Miller,CHI,NO,42,73,61.3,6.7,7,1.068809524
60,Byron Pringle,KC,DEN,40,78,63.6,9.2,7,2.116
61,Jaron Brown,SEA,BAL,47,75,65.6,4.6,6.9,0.450212766
62,Paul Richardson,WAS,SF,56,81,66.2,6.5,6.8,0.754464286
63,Albert Wilson,MIA,BUF,45,79,63.9,7.3,6.7,1.184222222
64,Christian Kirk,ARI,NYG,24,129,52,25.8,6.7,27.735
65,Miles Boykin,BAL,SEA,49,89,68.1,6.5,6.7,0.862244898
66,Danny Amendola,DET,MIN,58,77,68.3,4.9,6.7,0.413965517
67,Damiere Byrd,ARI,NYG,57,78,68.8,5.6,6.6,0.550175439
68,Jake Kumerow,GB,OAK,50,78,66.5,5.9,6.7,0.6962
69,Hunter Renfrow,OAK,GB,51,87,68.2,8.7,6.6,1.484117647
70,Trey Quinn,WAS,SF,56,78,69.6,5.2,6.5,0.482857143
71,Tavon Austin,DAL,PHI,41,109,73.2,10.9,6.2,2.897804878
72,Zay Jones,OAK,GB,54,96,74.7,8.7,6,1.401666667
73,DaeSean Hamilton,DEN,KC,59,81,72.5,4.7,6.1,0.37440678
74,Kenny Stills,HOU,IND,47,80,70.2,5.7,6.1,0.691276596
75,Taylor Gabriel,CHI,NO,42,87,73.5,7,6,1.166666667
76,Alex Erickson,CIN,JAC,43,88,76.4,7.6,5.3,1.343255814
77,Trevor Davis,OAK,GB,54,100,72.1,13.2,5.2,3.226666667
78,Duke Williams,BUF,MIA,53,116,80.6,11.4,5.2,2.452075472
79,Trent Sherfield,ARI,NYG,67,91,79,6.2,5.1,0.573731343
80,Zach Pascal,IND,HOU,63,89,79.2,5,5,0.396825397
81,David Moore,SEA,BAL,71,89,81,3.9,5,0.214225352
82,Randall Cobb,DAL,PHI,54,104,77.3,13.6,4.9,3.425185185
83,Seth Roberts,BAL,SEA,72,90,82.1,4.1,5,0.233472222
84,Cody Latimer,NYG,ARI,66,94,84.7,4.2,5,0.267272727
85,Olabisi Johnson,MIN,DET,66,93,85.7,5.3,4.9,0.425606061
86,Deon Cain,IND,HOU,78,99,86,4.9,4.6,0.307820513
87,Kendrick Bourne,SF,WAS,69,92,84.1,5.7,4.5,0.470869565
88,Mack Hollins,PHI,DAL,75,91,84.7,3,4.5,0.12
89,Geronimo Allison,GB,OAK,41,128,74,23.6,4.1,13.58439024
90,Devin Smith,DAL,PHI,69,120,83.7,10.9,4.9,1.721884058
91,Pharoh Cooper,ARI,NYG,79,103,90.5,5.1,4.4,0.329240506
92,Richie James,SF,WAS,85,102,92.6,3.4,4.1,0.136
93,Isaiah McKenzie,BUF,MIA,68,98,92.1,3.8,4.3,0.212352941
94,Chester Rogers,IND,HOU,77,108,92.5,8.9,3.9,1.028701299
95,Cordarrelle Patterson,CHI,NO,83,112,98.8,5.3,3.9,0.338433735
96,Allen Hurns,MIA,BUF,90,106,97.1,3.4,3.9,0.128444444
97,Damion Willis,CIN,JAC,89,106,97.2,3.8,3.7,0.162247191
98,Chris Moore,BAL,SEA,85,118,98.6,5.9,3.4,0.409529412
99,Josh Reynolds,LAR,ATL,81,113,96.8,7.2,3.7,0.64
100,Steven Sims,WAS,SF,91,112,101.7,4.5,3.5,0.222527473
101,Justin Hardy,ATL,LAR,74,117,101.8,7,3.6,0.662162162
102,Cedrick Wilson,DAL,PHI,84,115,100.9,8.3,3.6,0.820119048
103,Marquise Brown,BAL,SEA,42,124,80.4,22.7,3.4,12.26880952
104,Robert Foster,BUF,MIA,59,111,96.1,14.1,3.3,3.369661017
105,Tajae Sharpe,TEN,LAC,96,109,103.4,2.5,3.3,0.065104167
106,Deebo Samuel,SF,WAS,42,89,60.5,17.7,3.7,7.459285714
107,Geremy Davis,LAC,TEN,93,110,103.6,4.6,3,0.227526882
108,Keelan Doss,OAK,GB,86,131,105.3,10,3,1.162790698
109,Javon Wims,CHI,NO,93,118,104.8,6.6,2.9,0.468387097
110,Ryan Grant,GB,OAK,78,119,99.3,12.2,2.7,1.908205128
111,Darrius Shepherd,GB,OAK,89,123,105.9,7.1,2.6,0.566404494
112,Andy Isabella,ARI,NYG,93,127,111.3,7.6,2.5,0.621075269
113,Keelan Cole,JAC,CIN,92,119,108.2,7.1,2.5,0.547934783
114,Kelvin Harmon,WAS,SF,93,114,109,5.3,2.4,0.302043011
115,Marvin Hall,DET,MIN,96,128,112.6,9.2,2.3,0.881666667
116,Malik Turner,SEA,BAL,95,113,108.8,4,2.2,0.168421053
117,Austin Carr,NO,CHI,93,123,111.1,9.6,2.2,0.990967742
118,Laquon Treadwell,MIN,DET,100,117,113.8,1.8,2.2,0.0324
119,Gunner Olszewski,NE,NYJ,102,126,115.8,7.1,2.2,0.494215686
120,De'Anthony Thomas,KC,DEN,96,124,119,5.1,2.1,0.2709375
121,J.J. Arcega-Whiteside,PHI,DAL,102,125,119.1,5.7,2,0.318529412
122,Cody Core,NYG,ARI,110,128,121.5,5.2,2,0.245818182
123,Fred Brown,DEN,KC,105,132,120.3,10.1,1.8,0.97152381
124,Braxton Berrios,NYJ,NE,102,129,120.6,3.8,1.7,0.141568627
125,Andre Roberts,BUF,MIA,110,128,120.7,5.3,1.7,0.255363636
126,Isaiah Ford,MIA,BUF,100,129,122.1,5.3,1.5,0.2809
127,Darius Jennings,TEN,LAC,109,126,122.6,3.8,1.3,0.132477064
128,Russell Gage,ATL,LAR,112,130,121.2,5.2,1.3,0.241428571
129,Jakeem Grant,MIA,BUF,111,122,116,4.1,1.4,0.151441441
130,Lil'Jordan Humphrey,NO,CHI,101,134,126.6,8.3,1.2,0.682079208
131,Deonte Harris,NO,CHI,121,130,124.2,3.4,1.3,0.09553719
132,Josh Bellamy,NYJ,NE,117,130,126.8,3.8,1.2,0.123418803
133,Vyncint Smith,NYJ,NE,102,133,128.1,3.9,1.2,0.149117647
134,Diontae Spencer,DEN,KC,119,133,125.7,5.7,1.2,0.27302521
135,Jason Moore,LAC,TEN,116,134,128.3,7.2,1.1,0.446896552
136,DeAndre Carter,HOU,IND,118,131,126.3,5.9,1.1,0.295
137,Andre Patton,LAC,TEN,116,135,128,8.5,1.1,0.622844828
138,Dwayne Harris,OAK,GB,124,128,126,2,1.1,0.032258065
139,Jordan Matthews,SF,WAS,129,133,131,2,0.7,0.031007752
