"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Saquon Barkley","NYG","ARI","8900","17.5%","51%","19%","19%","1.11"
"WR","Julio Jones","ATL","LAR","8000","27.5%","56%","21%","23%","0.82"
"RB","Dalvin Cook","MIN","@DET","8000","22.5%","60%","24%","25%","1.09"
"WR","Michael Thomas","NO","@CHI","7900","12.5%","52%","16%","17%","1.36"
"RB","David Johnson","ARI","@NYG","7800","7.5%","49%","16%","16%","2.12"
"WR","DeAndre Hopkins","HOU","@IND","7800","7.5%","49%","15%","16%","2.09"
"WR","Cooper Kupp","LAR","@ATL","7400","27.5%","60%","22%","24%","0.86"
"RB","Aaron Jones","GB","OAK","7100","7.5%","41%","10%","10%","1.38"
"RB","Leonard Fournette","JAX","@CIN","7000","37.5%","71%","31%","32%","0.84"
"QB","Deshaun Watson","HOU","@IND","7000","7.5%","54%","24%","11%","1.50"
"WR","Adam Thielen","MIN","@DET","6900","7.5%","41%","10%","11%","1.47"
"QB","Lamar Jackson","BAL","@SEA","6800","12.5%","57%","26%","12%","0.98"
"QB","Kyler Murray","ARI","@NYG","6700","12.5%","52%","22%","10%","0.83"
"TE","George Kittle","SF","@WAS","6700","12.5%","50%","8%","12%","0.96"
"WR","Keenan Allen","LAC","@TEN","6700","7.5%","48%","13%","14%","1.85"
"WR","Tyler Lockett","SEA","BAL","6600","17.5%","46%","12%","13%","0.73"
"QB","Russell Wilson","SEA","BAL","6600","12.5%","56%","25%","12%","0.94"
"RB","Mark Ingram","BAL","@SEA","6600","7.5%","39%","9%","9%","1.19"
"RB","Chris Carson","SEA","BAL","6500","22.5%","56%","18%","18%","0.79"
"TE","Evan Engram","NYG","ARI","6500","22.5%","49%","8%","12%","0.53"
"QB","Josh Allen","BUF","MIA","6500","12.5%","51%","21%","10%","0.81"
"QB","Aaron Rodgers","GB","OAK","6400","7.5%","44%","15%","7%","0.95"
"RB","Todd Gurley","LAR","@ATL","6400","7.5%","38%","8%","8%","1.10"
"QB","Matt Ryan","ATL","LAR","6300","12.5%","54%","21%","10%","0.80"
"WR","Stefon Diggs","MIN","@DET","6300","7.5%","40%","9%","10%","1.33"
"QB","Jared Goff","LAR","@ATL","6200","12.5%","49%","16%","8%","0.62"
"WR","Will Fuller","HOU","@IND","6200","7.5%","43%","10%","10%","1.39"
"RB","Austin Ekeler","LAC","@TEN","6200","7.5%","35%","5%","5%","0.66"
"WR","Larry Fitzgerald","ARI","@NYG","6100","12.5%","45%","11%","12%","0.95"
"QB","Daniel Jones","NYG","ARI","6100","7.5%","40%","13%","6%","0.84"
