Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1679230073,JAMESON $20K NFL FREE Contest Series ,78775214,$0,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,1. Column A lists all of your contest entries for this draftgroup
1679230245,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,2. Your current lineup is listed next to each entry (blank for reservations)
1679230246,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1679230247,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1679230248,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,5. For faster processing only include entries you are changing in the file you upload
1679230249,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,
1679230250,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1679230251,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Christian McCaffrey (13605664),Christian McCaffrey,13605664,RB/FLEX,9200,CAR@SF 10/27/2019 04:05PM ET,CAR,31.72
1679230252,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Saquon Barkley (13605666),Saquon Barkley,13605666,RB/FLEX,8900,NYG@DET 10/27/2019 01:00PM ET,NYG,17.78
1679230253,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,DeAndre Hopkins (13605876),DeAndre Hopkins,13605876,WR/FLEX,8100,OAK@HOU 10/27/2019 04:25PM ET,HOU,17.83
1679230254,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Michael Thomas (13605878),Michael Thomas,13605878,WR/FLEX,8000,ARI@NO 10/27/2019 01:00PM ET,NO,23.61
1679230255,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Leonard Fournette (13605668),Leonard Fournette,13605668,RB/FLEX,7800,NYJ@JAX 10/27/2019 01:00PM ET,JAX,19.11
1679230256,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Julio Jones (13605880),Julio Jones,13605880,WR/FLEX,7700,SEA@ATL 10/27/2019 01:00PM ET,ATL,18.44
1679230257,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Alvin Kamara (13605670),Alvin Kamara,13605670,RB/FLEX,7600,ARI@NO 10/27/2019 01:00PM ET,NO,18.40
1679230258,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Cooper Kupp (13605882),Cooper Kupp,13605882,WR/FLEX,7500,CIN@LAR 10/27/2019 01:00PM ET,LAR,20.66
1679230259,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Todd Gurley II (13605672),Todd Gurley II,13605672,RB/FLEX,7400,CIN@LAR 10/27/2019 01:00PM ET,LAR,14.87
1679230260,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Russell Wilson (13605603),Russell Wilson,13605603,QB,7200,SEA@ATL 10/27/2019 01:00PM ET,SEA,25.37
