Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Pittsburgh (PIT)PIT DST,PIT,MIA,1,4,1.6,0.7,10.4
2,New England (NE)NE DST,NE,CLE,1,4,2.0,1.0,9.9
3,Minnesota (MIN)MIN DST,MIN,WAS,1,11,2.9,0.7,9.2
4,Los Angeles (LAR)LAR DST,LAR,CIN,2,17,4.4,1.0,9.1
5,San Francisco (SF)SF DST,SF,CAR,2,11,5.5,1.9,9.0
6,Chicago (CHI)CHI DST,CHI,LAC,5,15,6.8,1.8,8.7
7,Tennessee (TEN)TEN DST,TEN,TB,5,13,8.0,1.7,8.3
8,Buffalo (BUF)BUF DST,BUF,PHI,1,13,8.8,1.7,8.1
9,New Orleans (NO)NO DST,NO,ARI,5,14,9.1,2.0,7.7
10,Jacksonville (JAC)JAC DST,JAC,NYJ,4,17,9.9,3.3,7.7
11,Green Bay (GB)GB DST,GB,KC,8,16,11.5,2.0,7.4
12,Indianapolis (IND)IND DST,IND,DEN,8,20,11.9,1.9,7.3
13,Seattle (SEA)SEA DST,SEA,ATL,3,21,12.3,3.5,7.3
14,Detroit (DET)DET DST,DET,NYG,8,17,13.1,2.1,7.2
15,Philadelphia (PHI)PHI DST,PHI,BUF,11,20,15.1,1.6,7.1
16,Los Angeles (LAC)LAC DST,LAC,CHI,10,18,15.3,1.7,6.6
17,Carolina (CAR)CAR DST,CAR,SF,5,22,16.4,3.2,6.6
18,Houston (HOU)HOU DST,HOU,OAK,8,20,18.0,1.5,6.3
19,Tampa Bay (TB)TB DST,TB,TEN,15,29,19.6,2.3,6.1
20,New York (NYJ)NYJ DST,NYJ,JAC,13,26,19.3,1.8,6.1
21,New York (NYG)NYG DST,NYG,DET,18,24,21.3,1.4,5.9
22,Denver (DEN)DEN DST,DEN,IND,19,24,21.4,1.1,5.8
23,Kansas City (KC)KC DST,KC,GB,15,25,22.9,0.9,5.8
24,Arizona (ARI)ARI DST,ARI,NO,21,26,23.8,1.0,5.5
25,Oakland (OAK)OAK DST,OAK,HOU,24,26,25.3,0.6,5.5
26,Cleveland (CLE)CLE DST,CLE,NE,23,30,26.6,1.5,5.4
27,Washington (WAS)WAS DST,WAS,MIN,24,29,26.5,1.1,5.3
28,Atlanta (ATL)ATL DST,ATL,SEA,24,30,28.0,1.0,4.9
29,Cincinnati (CIN)CIN DST,CIN,LAR,23,30,29.0,1.0,4.9
30,Miami (MIA)MIA DST,MIA,PIT,27,30,29.1,1.0,4.8
