Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Dalvin Cook,MIN,WAS,1,2,1.2,0.4,20.5
2,Christian McCaffrey,CAR,SF,1,7,2.5,1.0,19.7
3,Saquon Barkley,NYG,DET,1,5,2.8,0.9,19.4
4,Leonard Fournette,JAC,NYJ,3,6,4.2,0.8,17.5
5,James Conner,PIT,MIA,2,8,5.4,1.0,17.0
6,Chris Carson,SEA,ATL,5,8,6.2,0.9,16.9
7,Aaron Jones,GB,KC,3,12,8.3,1.1,15.8
8,Todd Gurley,LAR,CIN,5,11,8.4,1.4,16.7
9,Le'Veon Bell,NYJ,JAC,6,14,8.8,1.6,15.1
10,Nick Chubb,CLE,NE,7,20,10.8,1.4,14.2
11,Latavius Murray,NO,ARI,2,34,11.6,6.8,14.0
12,Derrick Henry,TEN,TB,7,36,13.0,2.3,13.9
13,Marlon Mack,IND,DEN,9,16,13.3,1.4,13.1
14,Josh Jacobs,OAK,HOU,11,18,14.3,1.4,12.7
15,Chase Edmonds,ARI,NO,10,24,14.4,2.4,12.4
16,Sony Michel,NE,CLE,12,17,15.3,1.0,12.3
17,Devonta Freeman,ATL,SEA,12,33,17.9,2.2,11.8
18,Tevin Coleman,SF,CAR,14,23,18.8,1.8,11.5
19,Ty Johnson,DET,NYG,11,28,18.8,1.8,11.2
20,Austin Ekeler,LAC,CHI,12,24,19.5,1.7,11.1
21,Phillip Lindsay,DEN,IND,16,27,19.9,1.5,10.8
22,James White,NE,CLE,20,31,22.9,2.0,10.8
23,Melvin Gordon,LAC,CHI,14,27,23.3,1.8,10.7
24,Royce Freeman,DEN,IND,21,35,24.5,1.4,10.6
25,LeSean McCoy,KC,GB,21,31,25.1,2.2,9.8
26,David Montgomery,CHI,LAC,19,33,25.3,1.6,9.6
27,Carlos Hyde,HOU,OAK,15,31,25.5,2.7,9.3
28,Matt Breida,SF,CAR,24,32,28.8,1.7,9.2
29,Jamaal Williams,GB,KC,26,35,29.2,1.5,8.7
30,Joe Mixon,CIN,LAR,22,33,29.3,1.5,9.1
31,Jordan Howard,PHI,BUF,23,34,30.3,1.5,8.6
32,Frank Gore,BUF,PHI,30,39,32.8,2.0,8.4
33,Miles Sanders,PHI,BUF,33,41,35.0,1.3,8.4
34,Tarik Cohen,CHI,LAC,30,42,35.5,3.2,8.3
35,Devin Singletary,BUF,PHI,32,42,36.0,1.6,8.3
36,Darrell Henderson,LAR,CIN,29,46,36.8,3.6,8.2
37,Kenyan Drake,MIA,PIT,28,44,38.0,2.7,8.2
38,Adrian Peterson,WAS,MIN,28,47,38.0,3.4,8.1
39,Damien Williams,KC,GB,30,51,38.8,3.2,8.0
40,Ronald Jones II,TB,TEN,34,43,39.4,1.9,7.9
41,Duke Johnson,HOU,OAK,36,53,41.0,2.3,7.2
42,J.D. McKissic,DET,NYG,33,48,41.1,3.4,7.1
43,Mark Walton,MIA,PIT,34,47,42.1,2.7,6.7
44,Peyton Barber,TB,TEN,38,50,44.9,1.7,6.6
45,Alexander Mattison,MIN,WAS,41,48,45.0,1.6,6.2
46,Wendell Smallwood,WAS,MIN,39,62,45.2,2.4,5.5
47,Benny Snell Jr.,PIT,MIA,31,60,48.0,5.0,5.4
48,Giovani Bernard,CIN,LAR,45,53,48.1,1.5,5.2
49,Nyheim Hines,IND,DEN,46,60,50.4,1.9,5.1
50,Dion Lewis,TEN,TB,46,56,50.9,1.3,4.9
51,DeAndre Washington,OAK,HOU,47,61,51.9,3.1,4.7
52,Brian Hill,ATL,SEA,48,58,52.2,1.8,4.4
53,Brandon Bolden,NE,CLE,48,61,54.2,3.0,4.3
54,Dare Ogunbowale,TB,TEN,50,62,54.8,3.0,4.3
55,Rashaad Penny,SEA,ATL,50,62,55.2,2.6,4.0
56,Darrel Williams,KC,GB,52,68,56.4,3.0,3.7
57,Jalen Richard,OAK,HOU,48,63,57.0,2.2,3.6
58,Jordan Wilkins,IND,DEN,54,65,58.1,1.9,3.6
59,C.J. Prosise,SEA,ATL,55,64,59.9,1.7,3.4
60,Raheem Mostert,SF,CAR,48,73,65.0,5.9,3.2
61,Ty Montgomery,NYJ,JAC,54,74,63.3,3.4,3.0
62,Wayne Gallman,NYG,DET,55,65,61.7,2.2,2.8
63,Kalen Ballage,MIA,PIT,53,68,62.4,2.9,2.7
64,Ryquell Armstead,JAC,NYJ,62,69,65.5,1.6,2.7
65,Dontrell Hilliard,CLE,NE,63,71,66.5,1.9,2.6
66,Boston Scott,PHI,BUF,55,73,67.5,3.4,2.6
67,Dwayne Washington,NO,ARI,50,75,66.3,5.1,2.5
68,Jeff Wilson,SF,CAR,49,89,68.2,7.1,2.5
69,Zach Zenner,ARI,NO,59,88,68.6,6.3,2.4
70,CJ Ham,MIN,WAS,69,76,71.6,2.2,2.2
71,Reggie Bonnafon,CAR,SF,65,87,72.7,3.7,1.8
72,Rex Burkhead,NE,CLE,44,93,71.4,8.9,1.8
73,Dan Vitale,GB,KC,68,84,76.7,3.1,1.6
74,Mike Davis,CHI,LAC,56,84,77.4,4.0,1.6
75,Ameer Abdullah,MIN,WAS,73,78,76.2,1.0,1.6
76,Bilal Powell,NYJ,JAC,71,89,77.4,4.6,1.6
77,Zach Line,NO,ARI,66,85,77.2,5.4,1.6
78,Alvin Kamara,NO,ARI,5,99,50.5,34.2,1.7
79,Elijhaa Penny,NYG,DET,72,91,81.9,4.6,1.3
80,Alfred Morris,ARI,NO,65,98,80.6,9.4,1.6
81,John Kelly,LAR,CIN,73,92,81.1,4.8,1.4
82,Kenjon Barner,ATL,SEA,69,94,81.5,5.9,1.4
83,Craig Reynolds,WAS,MIN,74,92,80.8,5.6,1.3
84,Patrick DiMarco,BUF,PHI,70,93,82.3,4.3,1.2
85,Andy Janovich,DEN,IND,76,90,84.4,3.1,1.2
86,Alex Armah,CAR,SF,75,94,85.1,5.3,1.2
87,Paul Perkins,DET,NYG,67,99,84.2,9.8,1.2
88,Tra Carson,DET,NYG,70,101,83.8,9.6,1.0
89,Derek Watt,LAC,CHI,78,96,87.8,4.1,0.8
90,Qadree Ollison,ATL,SEA,60,97,86.6,8.1,0.9
91,Trayveon Williams,CIN,LAR,83,98,89.8,3.4,0.8
92,T.J. Yeldon,BUF,PHI,72,95,90.3,4.0,0.8
93,Devontae Booker,DEN,IND,82,96,89.0,4.0,0.8
94,David Johnson,ARI,NO,35,90,79.2,10.2,0.8
95,D'Ernest Johnson,CLE,NE,79,94,88.1,4.5,0.7
96,Anthony Sherman,KC,GB,79,97,92.0,2.6,0.8
97,Damien Harris,NE,CLE,73,101,94.8,4.7,0.6
98,Nick Bawden,DET,NYG,77,96,86.0,6.5,0.7
99,Mike Boone,MIN,WAS,80,103,93.0,7.5,0.6
100,Javorius Allen,NYG,DET,91,99,95.2,2.7,0.6
101,Troymaine Pope,LAC,CHI,85,101,94.3,4.7,0.6
102,Jonathan Hilliman,NYG,DET,92,102,97.1,3.1,0.6
103,Travis Homer,SEA,ATL,88,106,98.3,3.6,0.5
104,Trey Edmunds,PIT,MIA,90,102,97.7,5.4,0.5
105,Justin Jackson,LAC,CHI,86,104,95.0,9.0,0.4
106,Darwin Thompson,KC,GB,102,105,103.3,1.1,0.4
107,Dexter Williams,GB,KC,102,107,104.5,2.5,0.4
