Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,DeAndre Hopkins,HOU,OAK,1,2,1.2,0.4,17.8
2,Michael Thomas,NO,ARI,1,5,2.0,0.8,16.3
3,Cooper Kupp,LAR,CIN,2,6,3.7,0.8,14.7
4,Chris Godwin,TB,TEN,2,8,4.3,1.1,14.7
5,Tyler Lockett,SEA,ATL,3,8,6.0,1.1,14.6
6,Julio Jones,ATL,SEA,2,29,6.0,3.0,14.6
7,Stefon Diggs,MIN,WAS,3,15,6.5,2.1,14.4
8,Kenny Golladay,DET,NYG,5,11,8.4,1.2,13.9
9,Julian Edelman,NE,CLE,7,18,9.5,1.4,13.1
10,Tyreek Hill,KC,GB,7,22,10.7,2.2,13.0
11,Mike Evans,TB,TEN,6,14,10.9,1.8,12.8
12,T.Y. Hilton,IND,DEN,6,16,10.9,1.9,12.8
13,D.J. Chark,JAC,NYJ,12,21,14.9,2.1,12.1
14,Courtland Sutton,DEN,IND,6,19,15.1,1.7,12.1
15,John Brown,BUF,PHI,9,31,15.3,4.7,12.6
16,Allen Robinson,CHI,LAC,11,22,17.0,2.2,11.5
17,Robert Woods,LAR,CIN,12,29,17.4,3.2,11.7
18,JuJu Smith-Schuster,PIT,MIA,10,26,19.0,2.4,11.5
19,Marvin Jones,DET,NYG,14,31,19.8,2.9,11.3
20,Odell Beckham Jr.,CLE,NE,13,40,20.1,4.9,11.4
21,Brandin Cooks,LAR,CIN,17,33,20.7,3.1,11.3
22,Kenny Stills,HOU,OAK,10,37,23.3,3.5,11.3
23,Terry McLaurin,WAS,MIN,8,37,24.5,3.4,11.3
24,Golden Tate,NYG,DET,17,41,24.9,3.4,11.2
25,Tyler Boyd,CIN,LAR,14,35,25.1,2.8,10.6
26,Larry Fitzgerald,ARI,NO,12,35,25.8,3.4,10.3
27,D.K. Metcalf,SEA,ATL,18,49,26.6,3.8,10.0
28,Calvin Ridley,ATL,SEA,20,43,26.6,4.8,11.1
29,Mike Williams,LAC,CHI,22,41,29.1,3.7,9.9
30,Alshon Jeffery,PHI,BUF,24,48,30.5,2.6,9.9
31,Dede Westbrook,JAC,NYJ,28,35,31.9,1.5,9.9
32,Corey Davis,TEN,TB,16,41,32.9,4.6,9.6
33,D.J. Moore,CAR,SF,27,66,33.6,3.0,9.5
34,Robby Anderson,NYJ,JAC,26,40,33.8,2.5,9.5
35,Marquez Valdes-Scantling,GB,KC,20,46,35.6,2.5,9.2
36,Curtis Samuel,CAR,SF,32,67,37.6,2.2,9.2
37,A.J. Brown,TEN,TB,21,50,38.4,3.9,9.1
38,Jarvis Landry,CLE,NE,25,52,38.5,2.5,8.9
39,Jamison Crowder,NYJ,JAC,27,49,39.3,2.9,8.8
40,Phillip Dorsett,NE,CLE,34,58,42.1,4.0,8.7
41,Olabisi Johnson,MIN,WAS,27,57,44.0,4.0,8.6
42,Tyrell Williams,OAK,HOU,17,80,44.3,14.6,8.4
43,Auden Tate,CIN,LAR,34,64,45.0,4.0,8.3
44,Emmanuel Sanders,SF,CAR,31,67,45.1,4.2,8.3
45,Devante Parker,MIA,PIT,39,56,46.3,2.8,8.2
46,Preston Williams,MIA,PIT,32,64,46.9,4.6,8.2
47,Diontae Johnson,PIT,MIA,35,65,47.4,5.4,7.7
48,Keke Coutee,HOU,OAK,42,55,47.4,2.7,7.7
49,Ted Ginn,NO,ARI,35,68,50.4,4.8,7.4
50,Cole Beasley,BUF,PHI,38,60,50.9,3.1,7.4
51,Geronimo Allison,GB,KC,30,63,52.2,3.5,7.3
52,Sammy Watkins,KC,GB,32,80,55.1,7.5,7.2
53,Demaryius Thomas,NYJ,JAC,50,72,56.2,3.6,6.8
54,Alex Erickson,CIN,LAR,46,73,56.4,6.4,6.7
55,Mohamed Sanu,NE,CLE,23,99,57.9,8.4,6.7
56,DaeSean Hamilton,DEN,IND,46,94,58.0,5.1,6.4
57,Allen Lazard,GB,KC,49,90,59.3,7.4,6.5
58,Danny Amendola,DET,NYG,46,71,59.3,4.4,6.2
59,Dante Pettis,SF,CAR,49,69,60.6,5.3,6.3
60,Darius Slayton,NYG,DET,51,72,61.3,4.2,6.1
61,Zach Pascal,IND,DEN,44,78,61.9,6.3,5.9
62,Adam Humphries,TEN,TB,43,77,63.8,5.8,6.0
63,Anthony Miller,CHI,LAC,51,78,64.0,5.5,6.0
64,Keenan Allen,LAC,CHI,12,150,45.1,35.4,7.5
65,Jaron Brown,SEA,ATL,56,74,65.6,4.8,5.8
66,Chris Conley,JAC,NYJ,60,72,66.6,3.4,5.7
67,Nelson Agholor,PHI,BUF,61,79,68.1,3.9,5.5
68,Jakobi Meyers,NE,CLE,47,94,65.4,7.4,5.8
69,Mecole Hardman,KC,GB,48,105,70.4,12.6,5.5
70,Marquise Goodwin,SF,CAR,50,92,68.6,9.9,5.6
71,Demarcus Robinson,KC,GB,51,90,68.9,6.0,5.5
