Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,George Kittle,SF,ARI,1,3,1.0,0.0,16.0
2,Darren Waller,OAK,DET,1,3,2.0,0.2,15.9
3,Travis Kelce,KC,MIN,2,6,3.6,1.0,15.0
4,Hunter Henry,LAC,GB,2,6,4.7,1.3,14.6
5,Evan Engram,NYG,DAL,3,8,5.0,0.9,13.4
6,Zach Ertz,PHI,CHI,4,8,5.3,1.4,13.3
7,Mark Andrews,BAL,NE,4,10,6.4,0.8,12.9
8,T.J. Hockenson,DET,OAK,7,17,9.1,1.1,10.6
9,Greg Olsen,CAR,TEN,7,18,9.2,1.8,8.7
10,Jonnu Smith,TEN,CAR,7,16,9.9,1.3,8.2
11,Eric Ebron,IND,PIT,9,18,12.1,1.8,7.8
12,Jimmy Graham,GB,LAC,11,26,13.1,1.8,7.7
13,Cameron Brate,TB,SEA,9,17,13.7,1.9,7.6
14,Dallas Goedert,PHI,CHI,9,21,13.8,2.2,7.2
15,Jason Witten,DAL,NYG,9,17,14.5,2.3,7.2
16,Darren Fells,HOU,JAC,9,20,15.1,2.3,6.8
17,Jack Doyle,IND,PIT,8,22,16.0,2.0,6.6
18,Vance McDonald,PIT,IND,15,21,17.7,1.5,6.6
19,Noah Fant,DEN,CLE,11,20,17.9,1.6,6.6
20,Kyle Rudolph,MIN,KC,13,24,20.5,1.5,6.5
21,Mike Gesicki,MIA,NYJ,17,29,22.4,2.3,6.1
22,Jordan Akins,HOU,JAC,18,31,22.6,2.5,5.9
23,Irv Smith Jr.,MIN,KC,21,32,24.1,2.2,5.7
24,Dawson Knox,BUF,WAS,21,36,25.8,3.0,5.6
25,Benjamin Watson,NE,BAL,20,33,25.7,2.3,5.3
26,Trey Burton,CHI,PHI,22,30,26.0,1.7,5.2
27,Ryan Griffin,NYJ,MIA,20,30,24.5,3.2,5.0
28,Jacob Hollister,SEA,TB,19,44,31.5,4.7,4.8
29,Ricky Seals-Jones,CLE,DEN,23,34,28.7,1.8,4.7
30,Jeremy Sprinkle,WAS,BUF,24,35,31.3,1.5,4.7
31,Foster Moreau,OAK,DET,25,35,30.1,3.0,4.5
32,Josh Oliver,JAC,HOU,28,39,31.9,2.2,4.4
33,Luke Willson,SEA,TB,25,39,31.7,3.1,4.4
34,Hayden Hurst,BAL,NE,27,41,35.0,2.6,4.2
35,Anthony Firkser,TEN,CAR,28,43,34.8,3.4,4.1
36,Tyler Kroft,BUF,WAS,25,41,35.6,3.3,4.1
37,Charles Clay,ARI,SF,21,40,36.4,1.9,3.9
38,Maxx Williams,ARI,SF,25,49,39.1,4.5,3.8
39,Blake Jarwin,DAL,NYG,32,40,36.7,2.0,3.6
40,Nick Boyle,BAL,NE,29,42,39.5,1.0,3.6
41,Demetrius Harris,CLE,DEN,36,53,41.8,3.3,3.6
42,Seth DeValve,JAC,HOU,35,48,42.1,2.7,3.4
43,Rhett Ellison,NYG,DAL,36,49,43.4,2.4,3.1
44,Marcedes Lewis,GB,LAC,37,48,45.1,2.3,3.0
45,Nick Vannett,PIT,IND,40,50,45.5,2.3,3.0
46,Jesse James,DET,OAK,41,53,46.5,2.2,3.0
47,Adam Shaheen,CHI,PHI,43,50,46.6,1.9,2.9
48,Chris Herndon IV,NYJ,MIA,21,61,40.5,10.8,2.9
49,Logan Thomas,DET,OAK,46,51,49.2,0.9,2.8
50,Derek Carrier,OAK,DET,42,52,49.0,2.3,2.6
51,Mo Alie-Cox,IND,PIT,49,58,54.1,2.4,2.6
52,Lee Smith,BUF,WAS,47,56,53.3,1.4,2.5
53,Ian Thomas,CAR,TEN,44,58,53.8,3.4,2.3
54,Virgil Green,LAC,GB,45,59,54.5,2.2,2.3
55,Ross Dwelley,SF,ARI,42,56,52.8,1.3,2.2
56,Antony Auclair,TB,SEA,40,61,51.6,5.0,2.2
57,Ben Koyack,JAC,HOU,48,67,56.3,5.2,2.1
58,Levine Toilolo,SF,ARI,50,61,56.4,3.2,2.0
59,Blake Bell,KC,MIN,48,60,58.6,1.3,1.9
60,Andrew Beck,DEN,CLE,56,73,62.0,5.1,1.9
61,Nick O'Leary,FA,,50,63,56.0,4.5,1.8
62,Hale Hentges,WAS,BUF,51,71,60.1,6.0,1.7
63,Tanner Hudson,TB,SEA,48,66,56.4,6.1,1.6
64,MyCole Pruitt,TEN,CAR,58,65,61.2,2.4,1.6
65,Durham Smythe,MIA,NYJ,50,64,61.7,2.2,1.4
66,Chris Manhertz,CAR,TEN,60,70,63.0,3.6,1.4
67,Eric Tomlinson,FA,,56,60,58.0,2.0,1.4
68,Dalton Schultz,DAL,NYG,62,65,63.3,1.2,1.4
69,J.P. Holtz,CHI,PHI,60,70,66.4,2.4,1.3
70,Tyler Conklin,MIN,KC,62,69,64.3,3.3,1.3
71,Tommy Sweeney,BUF,WAS,63,64,63.5,0.5,1.2
72,Jordan Leggett,TB,SEA,62,66,64.0,2.0,1.0
73,Robert Tonyan,GB,LAC,62,67,64.5,2.5,1.0
74,Darrell Daniels,ARI,SF,65,68,66.5,1.5,0.9
