Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Dalvin Cook,MIN,KC,Sun 01:00 EST,RB,34.40%,9000,RB,26.60%,9500
Christian McCaffrey,CAR,TEN,Sun 01:00 EST,RB,29.70%,9700,RB,23.90%,10000
Darren Waller,OAK,DET,Sun 04:05 EST,TE,25.40%,6800,TE,25.60%,6300
Nick Chubb,CLE,DEN,Sun 04:25 EST,RB,22.90%,8100,RB,20.70%,7300
Russell Wilson,SEA,TB,Sun 04:05 EST,QB,21.20%,8600,QB,20.90%,7100
Aaron Jones,GB,LAC,Sun 04:25 EST,RB,21.20%,7700,RB,18.50%,7000
D.K. Metcalf,SEA,TB,Sun 04:05 EST,WR,21.00%,6700,WR,23.80%,5700
Chris Carson,SEA,TB,Sun 04:05 EST,RB,19.30%,8200,RB,17.70%,7200
Jaylen Samuels,PIT,IND,Sun 01:00 EST,RB,18.90%,5000,RB,16.20%,4000
Tyler Lockett,SEA,TB,Sun 04:05 EST,WR,18.80%,7500,WR,18.10%,7500
Hunter Henry,LAC,GB,Sun 04:25 EST,TE,18.40%,6400,TE,18.30%,6000
Travis Kelce,KC,MIN,Sun 01:00 EST,TE,18.10%,6700,TE,16.60%,6900
Le'Veon Bell,NYJ,MIA,Sun 01:00 EST,RB,17.70%,7000,RB,13.00%,7700
Matthew Stafford,DET,OAK,Sun 04:05 EST,QB,16.20%,7900,QB,15.30%,6800
Kenny Golladay,DET,OAK,Sun 04:05 EST,WR,16.10%,7600,WR,15.40%,7700
Chris Godwin,TB,SEA,Sun 04:05 EST,WR,15.90%,8200,WR,17.30%,7300
Marvin Jones,DET,OAK,Sun 04:05 EST,WR,14.60%,5700,WR,4.40%,6000
Jameis Winston,TB,SEA,Sun 04:05 EST,QB,12.50%,7500,QB,12.60%,6100
Josh Jacobs,OAK,DET,Sun 04:05 EST,RB,12.50%,7200,RB,10.60%,6500
Mike Evans,TB,SEA,Sun 04:05 EST,WR,12.00%,8100,WR,13.00%,7200
Courtland Sutton,DEN,CLE,Sun 04:25 EST,WR,11.30%,6400,WR,3.80%,5800
Tyrell Williams,OAK,DET,Sun 04:05 EST,WR,10.90%,6300,WR,11.20%,5900
Aaron Rodgers,GB,LAC,Sun 04:25 EST,QB,10.50%,8100,QB,10.10%,6900
Adam Thielen,MIN,KC,Sun 01:00 EST,WR,10.40%,7100,WR,9.20%,7800
Kirk Cousins,MIN,KC,Sun 01:00 EST,QB,10.10%,7800,QB,9.60%,6700
Stefon Diggs,MIN,KC,Sun 01:00 EST,WR,10.10%,7900,WR,10.20%,7600
Derek Carr,OAK,DET,Sun 04:05 EST,QB,10.10%,7300,QB,10.90%,5500
D.J. Moore,CAR,TEN,Sun 01:00 EST,WR,9.80%,5400,WR,7.30%,4800
John Brown,BUF,WAS,Sun 01:00 EST,WR,9.40%,6200,WR,4.50%,6100
Josh Allen,BUF,WAS,Sun 01:00 EST,QB,8.50%,7700,QB,8.20%,6500
Mark Walton,MIA,NYJ,Sun 01:00 EST,RB,8.30%,5700,RB,8.80%,4500
Allen Robinson,CHI,PHI,Sun 01:00 EST,WR,8.10%,7200,WR,8.10%,6800
Robby Anderson,NYJ,MIA,Sun 01:00 EST,WR,7.80%,6200,WR,8.30%,5500
Mike Williams,LAC,GB,Sun 04:25 EST,WR,7.30%,5700,WR,8.60%,4600
Melvin Gordon,LAC,GB,Sun 04:25 EST,RB,7.00%,6300,RB,7.10%,5000
Phillip Lindsay,DEN,CLE,Sun 04:25 EST,RB,6.90%,6200,RB,6.50%,5300
Devin Singletary,BUF,WAS,Sun 01:00 EST,RB,6.70%,6100,RB,7.30%,4700
Zach Ertz,PHI,CHI,Sun 01:00 EST,TE,6.70%,6000,TE,8.00%,4700
Danny Amendola,DET,OAK,Sun 04:05 EST,WR,6.30%,6000,WR,8.00%,4700
Curtis Samuel,CAR,TEN,Sun 01:00 EST,WR,6.30%,5600,WR,8.10%,4300
Jarvis Landry,CLE,DEN,Sun 04:25 EST,WR,6.20%,6200,WR,8.30%,4500
Davante Adams,GB,LAC,Sun 04:25 EST,WR,6.00%,8000,WR,6.40%,7100
Odell Beckham,CLE,DEN,Sun 04:25 EST,WR,5.90%,7000,WR,6.10%,6600
Demaryius Thomas,NYJ,MIA,Sun 01:00 EST,WR,5.70%,4800,WR,6.50%,4000
Jamison Crowder,NYJ,MIA,Sun 01:00 EST,WR,5.50%,5800,WR,5.90%,5300
Royce Freeman,DEN,CLE,Sun 04:25 EST,RB,5.50%,6100,RB,5.60%,4900
Tyreek Hill,KC,MIN,Sun 01:00 EST,WR,5.40%,7700,WR,5.60%,7400
DeVante Parker,MIA,NYJ,Sun 01:00 EST,WR,5.20%,5800,WR,6.70%,4400
Preston Williams,MIA,NYJ,Sun 01:00 EST,WR,5.20%,5500,WR,6.70%,4200
Keenan Allen,LAC,GB,Sun 04:25 EST,WR,4.90%,7300,WR,5.50%,6400
Marquez Valdes-Scantling,GB,LAC,Sun 04:25 EST,WR,4.80%,6300,WR,5.10%,5600
Sammy Watkins,KC,MIN,Sun 01:00 EST,WR,4.60%,6000,WR,5.60%,4900
Jordan Howard,PHI,CHI,Sun 01:00 EST,RB,4.50%,6300,RB,4.30%,5100
JuJu Smith-Schuster,PIT,IND,Sun 01:00 EST,WR,4.50%,7300,WR,5.10%,6300
Derrick Henry,TEN,CAR,Sun 01:00 EST,RB,4.40%,6800,RB,4.00%,5700
Alshon Jeffery,PHI,CHI,Sun 01:00 EST,WR,4.30%,6600,WR,5.40%,5000
Hunter Renfrow,OAK,DET,Sun 04:05 EST,WR,4.00%,5400,WR,5.20%,4100
Tra Carson,DET,OAK,Sun 04:05 EST,RB,4.00%,5700,RB,5.20%,3300
Diontae Johnson,PIT,IND,Sun 01:00 EST,WR,3.70%,5000,WR,4.00%,4500
Philip Rivers,LAC,GB,Sun 04:25 EST,QB,3.60%,7200,QB,4.20%,5100
Adrian Peterson,WAS,BUF,Sun 01:00 EST,RB,3.60%,5700,RB,3.70%,4200
Cole Beasley,BUF,WAS,Sun 01:00 EST,WR,3.50%,5600,WR,4.70%,4100
Frank Gore,BUF,WAS,Sun 01:00 EST,RB,3.50%,6200,RB,3.90%,4300
Greg Olsen,CAR,TEN,Sun 01:00 EST,TE,3.40%,5300,TE,4.80%,3500
Miles Sanders,PHI,CHI,Sun 01:00 EST,RB,3.40%,5800,RB,3.50%,4600
Jamaal Williams,GB,LAC,Sun 04:25 EST,RB,3.30%,5400,RB,2.50%,5900
Anthony Miller,CHI,PHI,Sun 01:00 EST,WR,3.30%,5100,WR,4.40%,3700
David Montgomery,CHI,PHI,Sun 01:00 EST,RB,3.10%,6600,RB,3.00%,5200
Noah Fant,DEN,CLE,Sun 04:25 EST,TE,3.00%,4600,TE,4.30%,3000
Corey Davis,TEN,CAR,Sun 01:00 EST,WR,2.90%,5300,WR,3.20%,4600
Marlon Mack,IND,PIT,Sun 01:00 EST,RB,2.90%,6900,RB,2.50%,6300
Cameron Brate,TB,SEA,Sun 04:05 EST,TE,2.80%,5100,TE,4.30%,3100
LeSean McCoy,KC,MIN,Sun 01:00 EST,RB,2.80%,6000,RB,2.80%,4800
Zach Pascal,IND,PIT,Sun 01:00 EST,WR,2.80%,5300,WR,3.50%,4100
Damien Williams,KC,MIN,Sun 01:00 EST,RB,2.80%,5400,RB,3.10%,4000
Geronimo Allison,GB,LAC,Sun 04:25 EST,WR,2.80%,5400,WR,3.40%,4200
Nelson Agholor,PHI,CHI,Sun 01:00 EST,WR,2.60%,5000,WR,3.60%,3600
Taylor Gabriel,CHI,PHI,Sun 01:00 EST,WR,2.40%,4900,WR,3.00%,3900
DaeSean Hamilton,DEN,CLE,Sun 04:25 EST,WR,2.40%,4800,WR,3.00%,3700
A.J. Brown,TEN,CAR,Sun 01:00 EST,WR,2.30%,5500,WR,2.70%,4400
Adam Humphries,TEN,CAR,Sun 01:00 EST,WR,2.30%,5100,WR,3.10%,3800
Zay Jones,OAK,DET,Sun 04:05 EST,WR,2.20%,4800,WR,3.30%,3000
Peyton Barber,TB,SEA,Sun 04:05 EST,RB,2.10%,5100,RB,2.20%,3900
Jonnu Smith,TEN,CAR,Sun 01:00 EST,TE,2.00%,5500,TE,2.80%,3800
David Moore,SEA,TB,Sun 04:05 EST,WR,2.00%,4800,WR,2.90%,3100
