Player,Ownership
Name,pOWN%
Jaylen Samuels,60.60%
Christian McCaffrey,26.30%
Dalvin Cook,26.00%
Mike Evans,21.40%
Darren Waller,21.10%
Chris Godwin,20.80%
Zach Ertz,18.40%
Chris Carson,17.60%
Keenan Allen,16.80%
Aaron Jones,16.70%
D.K. Metcalf,15.80%
Tyler Lockett,15.70%
Mark Walton,15.20%
Jarvis Landry,15.00%
Le'Veon Bell,14.70%
Tyrell Williams,13.90%
Nick Chubb,13.60%
Kenny Golladay,12.60%
Curtis Samuel,12.20%
Josh Jacobs,10.40%
Davante Adams,10.30%
Hunter Henry,10.30%
Travis Kelce,10.00%
Marvin Jones,9.60%
Robby Anderson,9.50%
D.J. Moore,9.50%
Odell Beckham,9.40%
Cole Beasley,9.40%
Preston Williams,8.80%
John Brown,8.50%
Tyreek Hill,8.50%
Stefon Diggs,8.40%
Mike Williams,8.30%
Sammy Watkins,8.30%
Melvin Gordon,8.10%
JuJu Smith-Schuster,8.00%
Phillip Lindsay,8.00%
Jack Doyle,7.80%
Allen Robinson,7.70%
Dallas Goedert,7.30%
Adam Thielen,7.30%
Greg Olsen,7.10%
Alshon Jeffery,6.90%
Jonnu Smith,6.70%
Derrick Henry,6.50%
Cameron Brate,6.00%
Courtland Sutton,5.50%
Demaryius Thomas,5.40%
DeVante Parker,5.30%
Devin Singletary,5.30%
Jamison Crowder,4.20%
Jordan Howard,4.00%
Austin Ekeler,4.00%
David Montgomery,3.20%
Danny Amendola,3.10%
Corey Davis,3.00%
Anthony Miller,3.00%
Marlon Mack,2.90%
Noah Fant,2.90%
DeSean Jackson,2.30%
Zach Pascal,2.10%
Miles Sanders,1.90%
LeSean McCoy,1.90%
A.J. Brown,1.90%
T.J. Hockenson,1.80%
Hunter Renfrow,1.40%
Eric Ebron,1.30%
Ty Johnson,1.30%
Terry McLaurin,1.30%
Allen Lazard,1.20%
Parris Campbell,1.20%
Adrian Peterson,1.10%
Frank Gore,1.10%
Damien Williams,1.10%
Royce Freeman,1.10%
Marquez Valdes-Scantling,1.00%
Geronimo Allison,1.00%
Adam Humphries,1.00%
Zay Jones,1.00%
Taylor Gabriel,1.00%
Diontae Johnson,1.00%
Ronald Jones,0.90%
Jimmy Graham,0.90%
J.D. McKissic,0.90%
Peyton Barber,0.90%
Tarik Cohen,0.90%
Kalen Ballage,0.90%
Vance McDonald,0.70%
Breshad Perriman,0.10%
Duke Williams,0.10%
Scotty Miller,0.10%
Ricky Seals-Jones,0.10%
Justin Watson,0.10%
Jaron Brown,0.10%
Jacob Hollister,0.10%
David Moore,0.10%
Luke Willson,0.10%
Malik Turner,0.10%
Dare Ogunbowale,0.10%
Demetrius Harris,0.10%
Chester Rogers,0.10%
Nick Vannett,0.10%
Khadarel Hodge,0.10%
Ryan Switzer,0.10%
James Washington,0.10%
Rashard Higgins,0.10%
Trey Edmunds,0.10%
Ashton Dulin,0.10%
Kalif Raymond,0.10%
Donte Moncrief,0.10%
Andre Roberts,0.10%
Roosevelt Nix,0.10%
Antonio Callaway,0.10%
Rashaad Penny,0.10%
Foster Moreau,0.10%
Virgil Green,0.10%
Jake Kumerow,0.10%
Dwayne Harris,0.10%
Steven Sims,0.10%
Trevor Davis,0.10%
Jason Moore,0.10%
Geremy Davis,0.10%
Jamaal Williams,0.10%
Dan Vitale,0.10%
Justin Jackson,0.10%
Kelvin Harmon,0.10%
Andre Patton,0.10%
Jeremy Sprinkle,0.10%
DeAndre Washington,0.10%
Dawson Knox,0.10%
Tra Carson,0.10%
Tanner Hudson,0.10%
D'Ernest Johnson,0.10%
C.J. Prosise,0.10%
Deon Cain,0.10%
Marvin Hall,0.10%
Tyler Kroft,0.10%
Jalen Richard,0.10%
Trey Quinn,0.10%
Paul Richardson,0.10%
Marcedes Lewis,0.10%
Jesse James,0.10%
Dontrell Hilliard,0.10%
Robert Foster,0.10%
Irv Smith,0.10%
Kyle Rudolph,0.10%
Ryan Griffin,0.10%
Ian Thomas,0.10%
Ameer Abdullah,0.10%
Davion Davis,0.10%
Durham Smythe,0.10%
Demarcus Robinson,0.10%
Byron Pringle,0.10%
Mecole Hardman,0.10%
Trevon Wesco,0.10%
Darrel Williams,0.10%
Vyncint Smith,0.10%
Ty Montgomery,0.10%
Alex Armah,0.10%
Reggie Bonnafon,0.10%
Mike Gesicki,0.10%
Jarius Wright,0.10%
DeAndrew White,0.10%
Albert Wilson,0.10%
Bilal Powell,0.10%
Olabisi Johnson,0.10%
Laquon Treadwell,0.10%
Alexander Mattison,0.10%
Brandon Zylstra,0.10%
Allen Hurns,0.10%
Blake Bell,0.10%
Mack Hollins,0.10%
JJ Arcega-Whiteside,0.10%
Nelson Agholor,0.10%
Diontae Spencer,0.10%
Fred Brown,0.10%
Juwann Winfree,0.10%
Craig Reynolds,0.10%
Hale Hentges,0.10%
Tajae Sharpe,0.10%
Jordan Wilkins,0.10%
Nyheim Hines,0.10%
Patrick Laird,0.10%
Darren Sproles,0.10%
DaeSean Hamilton,0.10%
Wendell Smallwood,0.10%
Patrick DiMarco,0.10%
Dion Lewis,0.10%
Mike Davis,0.10%
Andrew Beck,0.10%
Jakeem Grant,0.10%
Devontae Booker,0.10%
Adam Shaheen,0.10%
Trey Burton,0.10%
Javon Wims,0.10%
Cordarrelle Patterson,0.10%
Rod Smith,0.10%
Gus Edwards,0.00%
Julian Edelman,0.00%
Benjamin Watson,0.00%
Willie Snead,0.00%
Ryan Izzo,0.00%
Gunner Olszewski,0.00%
Jakobi Meyers,0.00%
Justice Hill,0.00%
Phillip Dorsett,0.00%
Mohamed Sanu,0.00%
Mark Ingram,0.00%
Tavon Austin,0.00%
Saquon Barkley,0.00%
Wayne Gallman,0.00%
Elijhaa Penny,0.00%
Rhett Ellison,0.00%
Dalton Schultz,0.00%
Jason Witten,0.00%
Blake Jarwin,0.00%
Evan Engram,0.00%
Javorius Allen,0.00%
Bennie Fowler,0.00%
Cody Core,0.00%
Cody Latimer,0.00%
Darius Slayton,0.00%
Golden Tate,0.00%
Sterling Shepard,0.00%
Cedrick Wilson,0.00%
Brandon Bolden,0.00%
Mark Andrews,0.00%
Nick Boyle,0.00%
Hayden Hurst,0.00%
Jaleel Scott,0.00%
Seth Roberts,0.00%
Miles Boykin,0.00%
Chris Moore,0.00%
N'Keal Harry,0.00%
Randall Cobb,0.00%
Michael Gallup,0.00%
Ventell Bryant,0.00%
Amari Cooper,0.00%
Jamize Olawale,0.00%
Ezekiel Elliott,0.00%
Tony Pollard,0.00%
Marquise Brown,0.00%
Duke Johnson,0.00%
Darren Fells,0.00%
Jordan Akins,0.00%
DeAndre Carter,0.00%
Steven Mitchell,0.00%
DeAndre Hopkins,0.00%
Carlos Hyde,0.00%
Gregory Howell,0.00%
Kenny Stills,0.00%
Keke Coutee,0.00%
Seth DeValve,0.00%
Josh Oliver,0.00%
Ryquell Armstead,0.00%
Leonard Fournette,0.00%
Tyler Ervin,0.00%
Braxton Berrios,0.00%
Keelan Cole,0.00%
DJ Chark,0.00%
C.J. Board,0.00%
Chris Conley,0.00%
Dede Westbrook,0.00%
Darrius Shepherd,0.00%
James White,0.00%
Sony Michel,0.00%
Rex Burkhead,0.00%
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
