Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,George Kittle,SF,ARI,1,3,1.0,0.0,13.1
2,Darren Waller,OAK,DET,1,3,2.0,0.0,12.9
3,Travis Kelce,KC,MIN,2,5,3.4,0.7,12.3
4,Hunter Henry,LAC,GB,2,5,3.9,0.6,12.1
5,Evan Engram,NYG,DAL,3,7,4.9,0.8,10.9
6,Zach Ertz,PHI,CHI,5,8,6.3,0.6,10.9
7,Mark Andrews,BAL,NE,4,9,6.6,0.7,10.6
8,Greg Olsen,CAR,TEN,7,18,8.7,1.3,8.8
9,T.J. Hockenson,DET,OAK,7,13,9.2,1.1,7.2
10,Jonnu Smith,TEN,CAR,8,16,10.2,1.5,6.5
11,Eric Ebron,IND,PIT,9,19,11.9,2.0,6.3
12,Dallas Goedert,PHI,CHI,9,20,13.1,1.8,6.2
13,Jimmy Graham,GB,LAC,11,25,13.5,1.9,6.0
14,Cameron Brate,TB,SEA,9,16,13.5,1.4,5.8
15,Darren Fells,HOU,JAC,9,20,14.5,2.1,5.6
16,Jason Witten,DAL,NYG,9,19,15.8,2.0,5.4
17,Jack Doyle,IND,PIT,8,24,17.1,1.5,5.3
18,Vance McDonald,PIT,IND,14,21,17.1,1.2,5.2
19,Noah Fant,DEN,CLE,11,20,17.7,2.1,5.2
20,Kyle Rudolph,MIN,KC,14,27,20.8,1.2,5.2
21,Jordan Akins,HOU,JAC,20,31,22.1,2.1,4.9
22,Mike Gesicki,MIA,NYJ,18,29,22.9,2.1,4.7
23,Irv Smith Jr.,MIN,KC,21,32,24.4,2.1,4.4
24,Dawson Knox,BUF,WAS,20,36,25.7,3.2,4.3
25,Benjamin Watson,NE,BAL,20,33,25.5,2.4,4.3
26,Jacob Hollister,SEA,TB,16,35,27.2,4.2,4.2
27,Trey Burton,CHI,PHI,22,29,26.0,1.7,4.0
28,Ryan Griffin,NYJ,MIA,20,31,25.1,3.2,3.8
29,Ricky Seals-Jones,CLE,DEN,21,34,29.0,2.2,3.7
30,Jeremy Sprinkle,WAS,BUF,23,34,30.8,1.4,3.7
31,Foster Moreau,OAK,DET,25,39,30.7,3.5,3.6
32,Josh Oliver,JAC,HOU,26,39,32.6,2.2,3.5
33,Luke Willson,SEA,TB,27,42,33.4,2.6,3.5
34,Hayden Hurst,BAL,NE,26,40,35.0,2.4,3.3
35,Anthony Firkser,TEN,CAR,28,45,35.0,3.9,3.3
36,Tyler Kroft,BUF,WAS,25,41,35.5,2.9,3.2
37,Maxx Williams,ARI,SF,25,51,40.0,5.0,3.0
38,Charles Clay,ARI,SF,35,41,37.3,1.6,3.0
39,Blake Jarwin,DAL,NYG,30,52,37.4,3.8,2.9
40,Demetrius Harris,CLE,DEN,28,54,39.8,3.5,2.9
41,Seth DeValve,JAC,HOU,35,54,42.0,3.6,2.8
42,Nick Boyle,BAL,NE,30,45,42.0,1.4,2.8
43,Rhett Ellison,NYG,DAL,36,52,44.4,3.5,2.5
44,Marcedes Lewis,GB,LAC,38,48,44.1,2.2,2.5
45,Nick Vannett,PIT,IND,39,56,46.1,3.4,2.4
46,Adam Shaheen,CHI,PHI,43,51,46.3,2.1,2.3
47,Jesse James,DET,OAK,41,54,46.9,2.8,2.3
48,Logan Thomas,DET,OAK,47,50,48.5,0.8,2.3
49,Derek Carrier,OAK,DET,43,58,50.1,3.2,2.2
50,Chris Herndon IV,NYJ,MIA,21,71,43.4,14.2,2.1
51,Mo Alie-Cox,IND,PIT,48,58,54.0,2.6,2.1
52,Lee Smith,BUF,WAS,49,59,53.4,2.1,1.9
53,Virgil Green,LAC,GB,47,59,54.6,2.7,1.9
54,Ian Thomas,CAR,TEN,32,65,54.9,5.0,1.9
55,Antony Auclair,TB,SEA,41,67,54.1,5.8,1.8
56,Ross Dwelley,SF,ARI,44,64,55.1,2.8,1.7
57,Andrew Beck,DEN,CLE,51,63,57.1,3.3,1.7
58,Hale Hentges,WAS,BUF,44,68,54.8,7.0,1.6
59,Ben Koyack,JAC,HOU,49,70,59.2,5.9,1.3
60,Tanner Hudson,TB,SEA,38,59,51.7,4.9,1.6
61,Levine Toilolo,SF,ARI,43,70,58.2,5.7,1.5
62,Blake Bell,KC,MIN,50,67,59.5,3.4,1.4
63,Nick O'Leary,FA,,49,62,56.8,4.6,1.2
64,Durham Smythe,MIA,NYJ,52,66,62.1,2.3,1.3
65,MyCole Pruitt,TEN,CAR,44,68,62.0,3.4,1.2
66,J.P. Holtz,CHI,PHI,60,66,63.5,2.3,1.1
67,Jace Sternberger,GB,LAC,38,65,54.3,10.0,1.2
68,Chris Manhertz,CAR,TEN,59,69,62.7,3.1,1.1
69,Robert Tonyan,GB,LAC,61,67,64.4,2.3,1.0
70,Ben Braunecker,CHI,PHI,55,58,56.5,1.5,0.8
71,Eric Tomlinson,FA,,59,64,62.0,2.2,1.0
72,Tyler Conklin,MIN,KC,62,71,65.3,3.4,1.0
73,Tommy Sweeney,BUF,WAS,63,68,64.7,2.4,0.9
74,Dalton Schultz,DAL,NYG,65,69,67.3,1.5,0.9
75,Jordan Leggett,TB,SEA,66,70,67.7,1.7,0.8
76,Ryan Izzo,NE,BAL,62,70,66.0,4.0,0.8
77,Darrell Daniels,ARI,SF,68,73,70.7,2.1,0.7
78,Trevon Wesco,NYJ,MIA,69,72,70.5,1.5,0.6
