Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Patrick Mahomes,KC,HOU,1,3,1.3,0.5,23.6,0.25
2,Lamar Jackson,BAL,CLE,1,4,1.8,0.6,22.5,0.36
3,Dak Prescott,DAL,LAR,2,17,3.9,2.1,21.4,2.205
4,Russell Wilson,SEA,ATL,3,9,4.4,1.1,20.5,0.4033333333333334
5,Deshaun Watson,HOU,KC,1,9,4.8,1.1,19.7,1.2100000000000002
6,Drew Brees,NO,TB,2,14,7.0,2.1,19.2,2.205
7,Matt Ryan,ATL,SEA,2,12,7.5,1.6,18.8,1.2800000000000002
8,Josh Allen,BUF,NYJ,4,16,7.7,2.2,18.5,1.2100000000000002
9,Carson Wentz,PHI,WAS,6,19,10.0,2.3,18.2,0.8816666666666665
10,Ben Roethlisberger,PIT,NYG,3,24,10.8,2.7,17.9,2.43
11,Kyler Murray,ARI,SF,5,18,11.0,2.3,17.8,1.0579999999999998
12,Cam Newton,NE,MIA,4,22,12.2,3.2,17.6,2.5600000000000005
13,Tom Brady,TB,NO,4,19,12.5,2.2,17.5,1.2100000000000002
14,Jared Goff,LAR,DAL,6,27,13.7,2.9,17.4,1.4016666666666666
15,Aaron Rodgers,GB,MIN,8,25,16.7,2.9,17.3,1.05125
16,Matthew Stafford,DET,CHI,7,26,17.3,2.9,17.1,1.2014285714285715
17,Jimmy Garoppolo,SF,ARI,8,29,16.5,3.5,17.0,1.53125
18,Gardner Minshew II,JAC,IND,10,29,18.4,2.7,16.8,0.7290000000000001
19,Tyrod Taylor,LAC,CIN,8,29,18.6,3.3,16.6,1.3612499999999998
20,Derek Carr,LV,CAR,12,31,20.1,3.1,16.4,0.8008333333333334
21,Teddy Bridgewater,CAR,LV,11,27,21.2,3.0,16.3,0.8181818181818182
22,Ryan Tannehill,TEN,DEN,13,31,22.3,3.3,16.2,0.8376923076923076
23,Mitch Trubisky,CHI,DET,12,33,23.7,4.1,15.8,1.4008333333333332
24,Philip Rivers,IND,JAC,11,32,22.9,3.2,16.0,0.9309090909090911
25,Kirk Cousins,MIN,GB,18,30,24.2,2.2,15.6,0.26888888888888896
26,Joe Burrow,CIN,LAC,15,32,24.6,3.2,15.3,0.6826666666666668
27,Daniel Jones,NYG,PIT,15,31,25.1,3.1,15.0,0.6406666666666667
28,Drew Lock,DEN,TEN,17,31,27.7,1.7,14.7,0.16999999999999998
29,Baker Mayfield,CLE,BAL,20,32,28.9,1.8,14.4,0.162
30,Ryan Fitzpatrick,MIA,NE,19,32,29.1,2.2,14.1,0.2547368421052632
31,Dwayne Haskins,WAS,PHI,15,32,30.4,1.5,13.8,0.15
32,Sam Darnold,NYJ,BUF,25,32,31.5,1.3,13.6,0.06760000000000001
33,Taysom Hill,NO,TB,33,33,33.0,0.0,7.5,0.0
34,Nick Foles,CHI,DET,32,57,34.8,3.9,7.2,0.47531249999999997
35,Jarrett Stidham,NE,MIA,34,52,36.0,3.7,7.0,0.40264705882352947
36,Justin Herbert,LAC,CIN,34,60,38.0,7.2,0,1.5247058823529414
37,Jalen Hurts,PHI,WAS,34,37,35.3,1.4,0,0.057647058823529405
38,Robert Griffin,BAL,CLE,37,40,38.2,1.2,0,0.03891891891891892
39,Jacoby Brissett,IND,JAC,39,49,41.2,3.9,0,0.38999999999999996
40,Matt Schaub,ATL,SEA,38,45,41.6,2.3,0,0.13921052631578945
41,AJ McCarron,HOU,KC,34,54,43.4,6.4,0,1.2047058823529415
42,Jameis Winston,NO,TB,35,42,38.8,2.6,0,0.19314285714285717
43,Chad Henne,KC,HOU,36,45,42.0,3.5,0,0.3402777777777778
44,Nick Mullens,SF,ARI,44,60,48.0,6.0,0,0.8181818181818182
45,Tua Tagovailoa,MIA,NE,38,63,48.2,8.9,0,2.0844736842105265
46,Brett Hundley,ARI,SF,37,51,44.3,5.1,0,0.7029729729729729
47,Phillip Walker,CAR,LV,42,53,47.3,3.9,0,0.3621428571428571
48,Mason Rudolph,PIT,NYG,41,58,49.0,6.0,0,0.8780487804878049
49,Matt Barkley,BUF,NYJ,41,55,49.3,6.0,0,0.8780487804878049
50,Brian Hoyer,NE,MIA,36,65,51.3,11.9,0,3.9336111111111114
51,Andy Dalton,DAL,LAR,38,54,46.0,8.0,0,1.6842105263157894
52,Ryan Finley,CIN,LAC,45,63,53.0,7.5,0,1.25
53,Sean Mannion,MIN,GB,50,58,53.0,3.6,0,0.25920000000000004
54,Blaine Gabbert,TB,NO,42,53,47.5,5.5,0,0.7202380952380952
55,Geno Smith,SEA,ATL,46,49,47.5,1.5,0,0.04891304347826087
56,Nathan Peterman,LV,CAR,47,48,47.5,0.5,0,0.005319148936170213
57,Kyle Allen,WAS,PHI,44,62,54.0,7.5,0,1.2784090909090908
58,Chase Daniel,DET,CHI,40,60,50.0,10.0,0,2.5
59,John Wolford,LAR,DAL,46,55,50.5,4.5,0,0.44021739130434784
60,Case Keenum,CLE,BAL,46,62,55.7,6.9,0,1.0350000000000001
61,Jeff Driskel,DEN,TEN,52,56,54.0,2.0,0,0.07692307692307693
62,Colt McCoy,NYG,PIT,58,61,59.5,1.5,0,0.03879310344827586
63,Tim Boyle,GB,MIN,59,62,60.5,1.5,0,0.038135593220338986
64,Jake Luton,JAC,IND,61,64,62.5,1.5,0,0.036885245901639344
