Date,Team,Opp,Total_Score,Win_Prob,Expected_Points,Year,Week,OwnPer_RB,Expected_Points_RB,OwnPer_QB,Expected_Points_QB,OwnPer_WR,Expected_Points_WR,OwnPer_TE,Expected_Points_TE,OwnPer_DST,Expected_Points_DST
09/13,MIA,NE,43.0,0.29411764705882354,18.25,2020,1,0.0,19.900000000000002,0.0,13.0,0.0,26.70094,0.0,10.700000000000001,0.0,5.7
09/13,CLE,BAL,48.5,0.25,20.25,2020,1,0.0,25.1,0.0,13.2,0.0,27.2,0.0,13.300000000000002,0.0,5.6
09/13,NYJ,BUF,39.5,0.29411764705882354,16.5,2020,1,0.0,17.3,0.0,11.3,0.0,23.90077,0.0,11.000309999999999,0.0,5.8
09/13,LV,CAR,47.5,0.6226415094339622,25.25,2020,1,0.0,25.4,0.0,16.699999999999996,0.0,29.90035,0.0,19.400000000000002,0.0,5.8
09/13,SEA,ATL,49.0,0.5744680851063829,25.5,2020,1,0.0,22.1,0.0,20.500000000000004,0.0,32.70126,0.0,15.5,0.0,6.1
09/13,PHI,WAS,42.0,0.7222222222222222,24.0,2020,1,0.0,25.599999999999998,0.0,19.99999999999999,0.0,22.6,0.0,21.8,0.0,7.7
09/13,CHI,DET,44.5,0.425531914893617,20.75,2020,1,0.0,19.6,0.0,21.599999999999998,0.0,38.4,0.0,8.100000000000001,0.0,7.0
09/13,IND,JAX,45.0,0.8,26.5,2020,1,0.0,30.000719999999998,0.0,15.799999999999995,0.0,34.4,0.0,10.4,0.0,7.1
09/13,GB,MIN,46.0,0.4545454545454545,21.5,2020,1,0.0,23.200000000000003,0.0,17.499999999999996,0.0,33.599999999999994,0.0,11.2,0.0,5.8
09/13,LAC,CIN,43.0,0.6296296296296297,23.25,2020,1,0.0,30.300000000000004,0.0,20.400000000000002,0.0,25.5,0.0,12.70007,0.0,6.3
09/13,ARI,SF,47.5,0.273972602739726,20.25,2020,1,0.0,23.300000000000004,0.0,17.800000000000004,0.0,41.10034,0.0,5.499999999999998,0.0,5.2
09/13,TB,NO,49.0,0.38461538461538464,22.75,2020,1,0.0,16.7,0.0,17.599999999999994,0.0,37.6,0.0,19.30042,0.0,5.7
09/13,DAL,LAR,52.0,0.6078431372549019,27.5,2020,1,,,,,,,,,,
09/13,NE,MIA,43.0,0.7368421052631579,24.75,2020,1,0.0,26.700000000000003,0.0,22.099999999999994,0.0,28.499999999999996,0.0,4.5,0.0,8.3
09/13,BAL,CLE,48.5,0.7826086956521741,28.25,2020,1,0.0,28.40025,0.0,23.399999999999995,0.0,24.9,0.0,18.2,0.0,8.1
09/13,BUF,NYJ,39.5,0.7368421052631579,23.0,2020,1,0.0,20.9,0.0,18.7,0.0,31.0,0.0,6.600660000000001,0.0,8.4
09/13,CAR,LV,47.5,0.4081632653061225,22.25,2020,1,0.0,26.999999999999993,0.0,16.3,0.0,33.4,0.0,8.500000000000002,0.0,5.7
09/13,ATL,SEA,49.0,0.4651162790697674,23.5,2020,1,0.0,23.3,0.0,18.4,0.0,37.6,0.0,12.100000000000001,0.0,5.7
09/13,WAS,PHI,42.0,0.3125,18.0,2020,1,0.0,22.200000000000003,0.0,11.5,0.0,27.501310000000004,0.0,7.300000000000001,0.0,5.7
09/13,DET,CHI,44.5,0.6078431372549019,23.75,2020,1,0.0,17.4,0.0,17.39999999999999,0.0,34.699999999999996,0.0,11.000279999999998,0.0,6.1
09/13,JAX,IND,45.0,0.2380952380952381,18.5,2020,1,0.0,20.100790000000003,0.0,17.1,0.0,36.701930000000004,0.0,6.40064,0.0,5.7
09/13,MIN,GB,46.0,0.5833333333333334,24.5,2020,1,0.0,28.899999999999995,0.0,16.100000000000005,0.0,27.70014,0.0,13.7,0.0,6.2
09/13,CIN,LAC,43.0,0.4,19.75,2020,1,0.0,22.900630000000003,0.0,15.4,0.0,41.300000000000004,0.0,7.5,0.0,5.7
09/13,SF,ARI,47.5,0.7647058823529411,27.25,2020,1,0.0,26.1,0.0,17.299999999999994,0.0,26.0,0.0,20.399999999999995,0.0,7.8
09/13,NO,TB,49.0,0.6428571428571429,26.25,2020,1,0.0,27.5,0.0,29.800000000000004,0.0,35.900000000000006,0.0,14.3,0.0,6.1
09/13,LAR,DAL,52.0,0.425531914893617,24.5,2020,1,,,,,,,,,,
