Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Michael Thomas,NO,TB,1,5,1.1,0.4,16.3,0.16000000000000003
2,Davante Adams,GB,MIN,1,7,2.6,1.1,14.9,1.2100000000000002
3,Tyreek Hill,KC,HOU,1,12,3.4,1.2,14.9,1.44
4,Julio Jones,ATL,SEA,1,6,3.4,0.9,14.3,0.81
5,Chris Godwin,TB,NO,1,12,5.1,1.5,13.5,2.25
6,Allen Robinson,CHI,DET,4,26,7.6,3.9,13.5,3.8024999999999998
7,D.J. Moore,CAR,LV,4,21,9.0,2.8,13.4,1.9599999999999997
8,DeAndre Hopkins,ARI,SF,3,25,9.6,3.3,13.3,3.6299999999999994
9,JuJu Smith-Schuster,PIT,NYG,5,29,10.2,3.4,13.2,2.312
10,Adam Thielen,MIN,GB,5,24,11.1,3.5,12.9,2.45
11,Robert Woods,LAR,DAL,6,35,13.6,4.5,12.4,3.375
12,Calvin Ridley,ATL,SEA,4,39,14.1,3.6,12.3,3.24
13,A.J. Brown,TEN,DEN,6,30,14.4,4.4,12.1,3.226666666666667
14,Cooper Kupp,LAR,DAL,6,33,15.9,4.7,12.1,3.681666666666667
15,Tyler Lockett,SEA,ATL,6,30,16.5,3.7,11.9,2.2816666666666667
16,Keenan Allen,LAC,CIN,6,32,17.3,4.6,11.8,3.526666666666666
17,Terry McLaurin,WAS,PHI,5,32,17.5,4.1,11.8,3.3619999999999997
18,D.J. Chark,JAC,IND,6,34,17.6,4.8,11.8,3.84
19,D.K. Metcalf,SEA,ATL,3,34,19.3,4.6,11.7,7.053333333333332
20,Amari Cooper,DAL,LAR,5,40,19.7,5.9,11.7,6.962000000000001
21,Odell Beckham Jr.,CLE,BAL,7,37,22.8,4.6,11.5,3.0228571428571422
22,T.Y. Hilton,IND,JAC,7,54,23.1,4.6,11.5,3.0228571428571422
23,Stefon Diggs,BUF,NYJ,6,34,23.9,4.6,11.3,3.526666666666666
24,Will Fuller,HOU,KC,8,53,24.0,5.3,10.8,3.51125
25,Marvin Jones,DET,CHI,5,46,25.6,7.6,10.7,11.552
26,Marquise Brown,BAL,CLE,7,51,27.2,5.5,10.6,4.321428571428571
27,Michael Gallup,DAL,LAR,11,52,28.1,5.2,10.6,2.4581818181818185
28,Julian Edelman,NE,MIA,5,39,28.2,3.7,10.2,2.7380000000000004
29,DeSean Jackson,PHI,WAS,9,70,30.0,7.3,10.1,5.921111111111111
30,Tyler Boyd,CIN,LAC,16,51,30.7,4.2,10.1,1.1025
31,A.J. Green,CIN,LAC,11,65,31.8,5.3,9.8,2.5536363636363637
32,DeVante Parker,MIA,NE,18,48,33.3,5.5,9.7,1.6805555555555556
33,Jarvis Landry,CLE,BAL,13,52,33.7,4.9,9.7,1.8469230769230773
34,Diontae Johnson,PIT,NYG,19,54,36.5,5.1,9.6,1.3689473684210525
35,Jamison Crowder,NYJ,BUF,23,61,37.7,5.3,9.6,1.221304347826087
36,John Brown,BUF,NYJ,27,55,38.8,4.2,9.5,0.6533333333333333
37,Anthony Miller,CHI,DET,19,64,40.3,5.6,9.4,1.6505263157894734
38,Emmanuel Sanders,NO,TB,25,66,42.0,5.1,9.2,1.0404
39,Jerry Jeudy,DEN,TEN,26,57,42.5,5.6,9.2,1.206153846153846
40,CeeDee Lamb,DAL,LAR,24,69,43.2,6.3,9.1,1.6537499999999998
41,Henry Ruggs III,LV,CAR,15,67,43.2,7.2,9.0,3.4560000000000004
42,Courtland Sutton,DEN,TEN,14,102,34.6,13.7,8.6,13.406428571428568
43,Brandin Cooks,HOU,KC,23,69,43.4,8.3,8.6,2.9952173913043483
44,Sterling Shepard,NYG,PIT,31,66,44.4,5.9,9.0,1.1229032258064517
45,Christian Kirk,ARI,SF,31,66,45.4,4.3,8.9,0.5964516129032258
46,Mike Evans,TB,NO,3,89,32.2,15.5,8.4,80.08333333333333
47,Preston Williams,MIA,NE,29,69,47.9,7.1,8.5,1.7382758620689653
48,Darius Slayton,NYG,PIT,32,65,47.6,4.5,8.3,0.6328125
49,Mecole Hardman,KC,HOU,31,76,51.0,6.8,8.1,1.4916129032258063
50,Allen Lazard,GB,MIN,31,72,51.1,6.1,8.2,1.2003225806451612
51,Sammy Watkins,KC,HOU,33,80,53.0,7.0,8.1,1.4848484848484849
52,Robby Anderson,CAR,LV,24,69,52.9,6.2,8.0,1.6016666666666668
53,Bryan Edwards,LV,CAR,37,86,56.8,8.8,7.9,2.0929729729729734
54,Curtis Samuel,CAR,LV,41,73,56.6,6.1,7.7,0.9075609756097559
55,Golden Tate,NYG,PIT,35,90,53.6,7.7,7.6,1.6940000000000002
56,N'Keal Harry,NE,MIA,33,88,57.8,8.0,7.6,1.9393939393939394
57,Parris Campbell,IND,JAC,34,104,58.1,7.4,7.7,1.6105882352941179
58,Randall Cobb,HOU,KC,36,73,57.4,6.7,7.6,1.2469444444444444
59,Breshad Perriman,NYJ,BUF,34,79,61.1,6.9,7.4,1.400294117647059
60,Larry Fitzgerald,ARI,SF,43,76,61.5,5.3,7.4,0.6532558139534884
61,Kendrick Bourne,SF,ARI,28,104,64.8,13.8,7.4,6.8014285714285725
62,Steven Sims,WAS,PHI,38,102,64.2,12.2,7.4,3.9168421052631572
63,Hunter Renfrow,LV,CAR,33,85,65.4,8.1,7.3,1.9881818181818183
64,Laviska Shenault Jr.,JAC,IND,42,81,64.8,6.7,7.0,1.0688095238095239
65,James Washington,PIT,NYG,29,100,66.1,7.7,6.5,2.0444827586206897
66,Brandon Aiyuk,SF,ARI,18,102,63.0,9.7,5.9,5.227222222222221
67,Michael Pittman Jr.,IND,JAC,36,92,65.0,7.0,5.9,1.3611111111111112
68,Justin Jefferson,MIN,GB,38,107,66.8,11.3,6.4,3.360263157894737
69,Cole Beasley,BUF,NYJ,39,85,67.6,5.0,5.8,0.6410256410256411
70,Danny Amendola,DET,CHI,42,99,68.7,8.2,5.8,1.600952380952381
71,Corey Davis,TEN,DEN,50,82,69.9,4.6,5.8,0.4231999999999999
72,Chris Conley,JAC,IND,40,95,75.8,9.2,5.7,2.1159999999999997
73,Russell Gage,ATL,SEA,42,88,72.6,5.3,5.6,0.6688095238095239
74,John Ross,CIN,LAC,55,104,76.1,6.5,5.5,0.7681818181818182
75,Kenny Stills,HOU,KC,42,104,78.9,10.3,5.5,2.5259523809523814
76,Miles Boykin,BAL,CLE,45,103,78.4,6.6,5.5,0.9679999999999999
77,Van Jefferson,LAR,DAL,54,101,80.5,7.5,5.3,1.0416666666666667
78,Marquez Valdes-Scantling,GB,MIN,55,103,81.6,8.2,5.2,1.2225454545454544
79,Dede Westbrook,JAC,IND,44,116,81.1,14.3,5.2,4.6475
80,Tre'Quan Smith,NO,TB,50,107,80.6,6.4,5.1,0.8192000000000002
81,J.J. Arcega-Whiteside,PHI,WAS,57,120,84.1,9.7,4.9,1.6507017543859648
82,Adam Humphries,TEN,DEN,68,93,82.1,4.0,4.8,0.23529411764705882
83,Chase Claypool,PIT,NYG,63,114,85.5,8.0,4.8,1.0158730158730158
84,Olabisi Johnson,MIN,GB,43,107,83.2,8.9,4.8,1.8420930232558141
85,Greg Ward,PHI,WAS,47,112,86.3,12.6,4.5,3.3778723404255317
86,Josh Reynolds,LAR,DAL,66,108,88.1,6.9,4.5,0.7213636363636364
87,Tee Higgins,CIN,LAC,61,122,88.6,10.5,4.2,1.8073770491803278
88,Mike Williams,LAC,CIN,34,129,81.5,19.9,4.0,11.647352941176468
89,Zach Pascal,IND,JAC,71,121,90.3,8.1,4.1,0.9240845070422535
90,Auden Tate,CIN,LAC,52,116,93.6,9.0,4.0,1.5576923076923077
91,Cordarrelle Patterson,CHI,DET,58,123,91.3,11.7,4.0,2.3601724137931033
92,Phillip Dorsett,SEA,ATL,65,118,94.0,6.9,4.0,0.7324615384615386
93,Scott Miller,TB,NO,39,115,83.5,18.5,3.8,8.775641025641026
94,Andy Isabella,ARI,SF,77,116,95.8,8.1,3.6,0.8520779220779221
95,Antonio Gandy-Golden,WAS,PHI,57,124,93.6,9.2,3.7,1.484912280701754
96,Willie Snead,BAL,CLE,71,119,98.3,6.8,3.6,0.6512676056338027
97,Demarcus Robinson,KC,HOU,53,122,96.3,7.0,3.4,0.9245283018867925
98,David Moore,SEA,ATL,82,117,97.2,5.2,3.3,0.3297560975609756
99,Devin Duvernay,BAL,CLE,52,121,97.4,10.0,3.2,1.9230769230769231
100,Jakobi Meyers,NE,MIA,78,117,100.0,8.3,3.1,0.8832051282051284
101,Jalen Reagor,PHI,WAS,37,135,65.4,22.0,3.1,13.08108108108108
102,Nelson Agholor,LV,CAR,71,119,104.2,6.6,2.9,0.6135211267605634
103,Jakeem Grant,MIA,NE,75,134,100.1,10.1,2.9,1.3601333333333332
104,Joe Reed,LAC,CIN,86,136,102.0,8.3,2.9,0.8010465116279072
105,KJ Hamler,DEN,TEN,69,130,100.6,13.4,2.6,2.60231884057971
106,Javon Wims,CHI,DET,95,141,108.2,8.3,2.6,0.7251578947368422
107,KeeSean Johnson,ARI,SF,91,132,107.6,8.3,2.3,0.7570329670329672
108,Dontrelle Inman,WAS,PHI,43,117,100.0,10.0,2.3,2.3255813953488373
109,Tim Patrick,DEN,TEN,64,128,94.4,13.1,2.3,2.6814062499999998
110,Damiere Byrd,NE,MIA,45,118,96.2,12.1,2.0,3.2535555555555553
111,Trent Taylor,SF,ARI,66,135,94.4,15.2,2.0,3.5006060606060605
112,Quintez Cephus,DET,CHI,68,128,98.2,15.7,2.0,3.6248529411764703
113,Chris Hogan,NYJ,BUF,70,131,98.7,14.1,1.9,2.8401428571428573
114,Tyler Johnson,TB,NO,76,154,111.9,14.5,1.8,2.7664473684210527
115,Justin Watson,TB,NO,59,132,103.5,18.3,1.7,5.676101694915255
116,Jalen Guyton,LAC,CIN,81,122,101.6,11.1,1.8,1.521111111111111
117,DaeSean Hamilton,DEN,TEN,80,135,110.3,11.2,1.7,1.5679999999999998
118,Isaiah Ford,MIA,NE,82,119,108.6,7.4,1.6,0.6678048780487805
119,Dante Pettis,SF,ARI,68,128,109.8,9.7,1.6,1.3836764705882352
120,Rashard Higgins,CLE,BAL,76,144,111.6,12.5,1.6,2.0559210526315788
121,Ted Ginn,CHI,DET,79,130,107.0,15.2,1.5,2.9245569620253162
122,Marvin Hall,DET,CHI,35,142,98.8,25.4,1.6,18.433142857142855
123,Kalif Raymond,TEN,DEN,84,131,111.8,10.9,1.5,1.414404761904762
124,Darnell Mooney,CHI,DET,76,176,117.4,17.7,1.5,4.122236842105263
125,Equanimeous St. Brown,GB,MIN,96,140,119.2,10.5,1.5,1.1484375
126,Tajae Sharpe,MIN,GB,99,132,119.6,8.4,1.4,0.7127272727272728
127,Keelan Cole,JAC,IND,82,142,120.7,9.3,1.3,1.0547560975609758
128,John Hightower,PHI,WAS,74,150,120.3,17.0,1.3,3.9054054054054053
129,Seth Roberts,CAR,LV,104,134,124.1,7.3,1.3,0.5124038461538462
130,Alex Erickson,CIN,LAC,104,149,126.1,9.8,1.2,0.9234615384615387
131,Olamide Zaccheaus,ATL,SEA,108,138,127.3,7.7,1.2,0.5489814814814815
132,K.J. Hill,LAC,CIN,96,147,129.1,12.5,1.1,1.6276041666666667
133,Cedrick Wilson,DAL,LAR,108,157,127.7,12.3,1.1,1.4008333333333336
134,Donovan Peoples-Jones,CLE,BAL,117,138,131.7,5.0,1.0,0.21367521367521367
135,Gabriel Davis,BUF,NYJ,116,143,131.8,6.7,0.9,0.38698275862068965
136,Mohamed Sanu,FA,,72,123,92.8,18.0,1.0,4.5
137,Isaiah McKenzie,BUF,NYJ,109,140,132.8,4.5,1.0,0.18577981651376146
138,Dezmon Patmon,IND,JAC,113,178,134.8,14.5,1.0,1.8606194690265487
139,Riley Ridley,CHI,DET,118,179,136.4,14.6,0.9,1.8064406779661017
140,Byron Pringle,KC,HOU,121,139,129.3,6.0,0.9,0.2975206611570248
141,Zay Jones,LV,CAR,115,170,139.7,11.3,0.9,1.1103478260869566
142,Deonte Harris,NO,TB,120,159,140.4,8.0,0.9,0.5333333333333333
143,Khadarel Hodge,CLE,BAL,120,166,139.8,12.0,0.9,1.2
144,Braxton Berrios,NYJ,BUF,94,140,127.5,10.8,0.9,1.2408510638297874
145,Ventell Bryant,DAL,LAR,107,145,122.2,14.6,0.9,1.9921495327102803
146,Cody Hollister,TEN,DEN,125,155,142.4,7.2,0.9,0.41472000000000003
147,Rysen John,NYG,PIT,68,71,69.5,1.5,0.8,0.03308823529411765
148,Mack Hollins,MIA,NE,127,155,142.1,8.1,0.7,0.5166141732283465
149,Damion Ratley,NYG,PIT,128,144,137.8,6.2,0.7,0.30031250000000004
150,Richie James,SF,ARI,107,138,119.7,13.3,0.6,1.6531775700934581
151,Chad Beebe,MIN,GB,127,173,149.9,13.5,0.6,1.43503937007874
152,John Ursua,SEA,ATL,137,146,141.2,3.3,0.7,0.0794890510948905
153,K.J. Osborn,MIN,GB,125,145,135.0,7.6,0.5,0.46208
154,Collin Johnson,JAC,IND,126,162,142.4,11.5,0.6,1.0496031746031746
155,Brandon Zylstra,CAR,LV,136,154,148.8,3.6,0.6,0.09529411764705883
156,DeAndre Carter,HOU,KC,113,182,144.0,26.2,0.6,6.074690265486725
157,Pharoh Cooper,CAR,LV,139,146,142.8,2.9,0.6,0.06050359712230216
158,Jake Kumerow,BUF,NYJ,99,131,115.0,16.0,0.5,2.585858585858586
