Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2169356456,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),DeAndre Hopkins (15033809),Dante Pettis (15033983),Trent Taylor (15033957),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2169371496,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Marquise Brown (15033861) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Alvin Kamara (15033487),Bengals (15034600),,2. Your current lineup is listed next to each entry (blank for reservations)
2169371497,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Parris Campbell (15033959) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2169371498,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),Christian Kirk (15033865),Dante Pettis (15033983),George Kittle (15034307),Alvin Kamara (15033487),Dolphins (15034615) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2169371499,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),Chris Conley (15033945) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Packers (15034604) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2169371500,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),DK Metcalf (15033839) (LOCKED),David Moore (15033991) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Colts (15034599) (LOCKED),,
2169371501,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Ted Ginn Jr. (15033975) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Darnell Mooney (15034079) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2169371502,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Olabisi Johnson (15033935) (LOCKED),Adam Thielen (15033811) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Ravens (15034598) (LOCKED),,RB,Christian McCaffrey (15033483) (LOCKED),Christian McCaffrey,15033483,RB/FLEX,10000,In Progress,CAR,30.95
2169371503,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Josh Jacobs (15033493) (LOCKED),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),Olabisi Johnson (15033935) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Jets (15034613) (LOCKED),,WR,Michael Thomas (15033799),Michael Thomas,15033799,WR/FLEX,9000,TB@NO 09/13/2020 04:25PM ET,NO,24.62
2169371504,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Teddy Bridgewater (15033409) (LOCKED),Austin Ekeler (15033489),Antonio Gibson (15033595) (LOCKED),Robby Anderson (15033887) (LOCKED),Bryan Edwards (15033925) (LOCKED),DJ Moore (15033813) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,QB,Lamar Jackson (15033397) (LOCKED),Lamar Jackson,15033397,QB,8100,In Progress,BAL,29.85
2169371505,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Antonio Gibson (15033595) (LOCKED),Josh Jacobs (15033493) (LOCKED),Parris Campbell (15033959) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),T.Y. Hilton (15033841) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Chargers (15034601),,RB,Dalvin Cook (15033485) (LOCKED),Dalvin Cook,15033485,RB/FLEX,7900,In Progress,MIN,21.62
2169371506,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),T.Y. Hilton (15033841) (LOCKED),DK Metcalf (15033839) (LOCKED),Michael Pittman Jr. (15033903) (LOCKED),Tyler Eifert (15034365) (LOCKED),Alvin Kamara (15033487),49ers (15034595),,WR,Julio Jones (15033801) (LOCKED),Julio Jones,15033801,WR/FLEX,7700,In Progress,ATL,19.47
2169371507,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Marquise Brown (15033861) (LOCKED),Parris Campbell (15033959) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),Tyler Eifert (15034365) (LOCKED),Alvin Kamara (15033487),49ers (15034595),,WR,Davante Adams (15033803) (LOCKED),Davante Adams,15033803,WR/FLEX,7300,In Progress,GB,20.96
2169371508,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Carson Wentz (15033405) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Marquise Brown (15033861) (LOCKED),DeSean Jackson (15033873) (LOCKED),Terry McLaurin (15033847) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Alvin Kamara (15033487),Colts (15034599) (LOCKED),,RB,Alvin Kamara (15033487),Alvin Kamara,15033487,RB/FLEX,7200,TB@NO 09/13/2020 04:25PM ET,NO,17.94
2169371509,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Antonio Gibson (15033595) (LOCKED),Josh Jacobs (15033493) (LOCKED),Davante Adams (15033803) (LOCKED),Allen Lazard (15033875) (LOCKED),Adam Thielen (15033811) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),Raiders (15034603) (LOCKED),,TE,George Kittle (15034307),George Kittle,15034307,TE/FLEX,7200,ARI@SF 09/13/2020 04:25PM ET,SF,14.51
2169371510,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Kendrick Bourne (15033869),Trent Taylor (15033957),Dan Arnold (15034351),Alvin Kamara (15033487),Bears (15034596) (LOCKED),,WR,Chris Godwin (15033805),Chris Godwin,15033805,WR/FLEX,7100,TB@NO 09/13/2020 04:25PM ET,TB,21.01
2169371511,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Austin Ekeler (15033489),Boston Scott (15033541) (LOCKED),Chris Conley (15033945) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Bills (15034593) (LOCKED),,QB,Russell Wilson (15033398) (LOCKED),Russell Wilson,15033398,QB,7000,In Progress,SEA,21.70
