"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Kyler Murray",ARI,"1","3","1.1","0.4"
"2","Josh Allen",BUF,"1","4","2.2","0.5"
"3","Russell Wilson",SEA,"1","6","3.2","0.7"
"4","Aaron Rodgers",GB,"2","12","4.0","0.9"
"5","Justin Herbert",LAC,"4","11","6.2","1.2"
"6","Lamar Jackson",BAL,"4","12","6.4","1.1"
"7","Deshaun Watson",HOU,"2","14","7.6","2.3"
"8","Tom Brady",TB,"6","11","8.2","1.3"
"9","Jared Goff",LAR,"4","11","8.6","1.8"
"10","Drew Brees",NO,"4","19","9.8","1.7"
"11","Carson Wentz",PHI,"5","20","9.8","1.6"
"12","Ben Roethlisberger",PIT,"2","19","12.6","1.7"
"13","Derek Carr",LV,"10","20","13.9","1.5"
"14","Ryan Tannehill",TEN,"10","28","14.5","1.7"
"15","Tua Tagovailoa",MIA,"11","18","14.6","1.2"
"16","Drew Lock",DEN,"10","25","16.5","2.6"
"17","Joe Burrow",CIN,"15","20","17.0","1.3"
"18","Teddy Bridgewater",CAR,"6","26","19.2","2.3"
"19","Baker Mayfield",CLE,"13","25","19.4","3.3"
"20","Cam Newton",NE,"9","24","19.8","2.4"
"21","Matthew Stafford",DET,"16","27","20.3","2.5"
"22","Daniel Jones",NYG,"17","23","20.9","1.4"
"23","Philip Rivers",IND,"17","26","22.5","1.9"
"24","Nick Foles",CHI,"12","25","23.0","1.9"
"25","Jake Luton",JAC,"21","28","26.3","1.4"
"26","Alex Smith",WAS,"22","28","25.4","1.3"
"27","Kirk Cousins",MIN,"20","28","26.3","1.6"
"28","Nick Mullens",SF,"24","28","27.0","1.2"
"29","Taysom Hill",NO,"29","30","29.1","0.2"
"30","C.J. Beathard",SF,"29","33","30.6","1.0"
"31","Jalen Hurts",PHI,"30","34","31.8","1.4"
"32","Jarrett Stidham",NE,"30","36","32.3","1.7"
"33","Chase Daniel",DET,"31","33","32.3","0.5"
"34","Mike Glennon",JAC,"33","36","34.3","0.9"
"35","Mason Rudolph",PIT,"32","37","34.5","1.8"
"36","Jacoby Brissett",IND,"33","35","34.0","1.0"
"37","Robert Griffin III",BAL,"34","42","37.0","3.6"
"38","Brett Rypien",DEN,"32","56","44.0","12.0"
"39","Dwayne Haskins",WAS,"35","38","36.3","1.3"
"40","Jameis Winston",NO,"37","49","43.0","6.0"
