Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2350466435,Jose Cuervo Touchdowns + Tequila,94998486,$0,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,1. Column A lists all of your contest entries for this draftgroup
2345370430,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Kyler Murray (15751349),James Conner (15751414),Ronald Jones II (15751450),Chris Godwin (15751672),A.J. Green (15751728),Jarvis Landry (15751676),Harrison Bryant (15751990),Josh Jacobs (15751422),Packers (15752131),,2. Your current lineup is listed next to each entry (blank for reservations)
2350447220,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2350447221,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2350447222,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,5. For faster processing only include entries you are changing in the file you upload
2350447223,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,
2350447224,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2350447225,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Davante Adams (15751638),Davante Adams,15751638,WR/FLEX,9000,JAX@GB 11/15/2020 01:00PM ET,GB,29.58
2350447226,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Christian McCaffrey (15751408),Christian McCaffrey,15751408,RB/FLEX,9000,TB@CAR 11/15/2020 01:00PM ET,CAR,30.13
2350447227,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Alvin Kamara (15751410),Alvin Kamara,15751410,RB/FLEX,8200,SF@NO 11/15/2020 04:25PM ET,NO,26.82
2350447228,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Kyler Murray (15751349),Kyler Murray,15751349,QB,8000,BUF@ARI 11/15/2020 04:05PM ET,ARI,31.44
2350447229,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Aaron Rodgers (15751350),Aaron Rodgers,15751350,QB,7900,JAX@GB 11/15/2020 01:00PM ET,GB,24.83
2350447230,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Russell Wilson (15751351),Russell Wilson,15751351,QB,7700,SEA@LAR 11/15/2020 04:25PM ET,SEA,31.64
2350447231,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,DeAndre Hopkins (15751640),DeAndre Hopkins,15751640,WR/FLEX,7700,BUF@ARI 11/15/2020 04:05PM ET,ARI,20.3
2350447232,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,DK Metcalf (15751642),DK Metcalf,15751642,WR/FLEX,7600,SEA@LAR 11/15/2020 04:25PM ET,SEA,22.6
2350447233,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Josh Allen (15751352),Josh Allen,15751352,QB,7500,BUF@ARI 11/15/2020 04:05PM ET,BUF,26.62
2350447234,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Stefon Diggs (15751644),Stefon Diggs,15751644,WR/FLEX,7500,BUF@ARI 11/15/2020 04:05PM ET,BUF,19.37
