Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2365050503,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Michael Gallup (15783660),Justin Jefferson (15783584),Adam Thielen (15783576),T.J. Hockenson (15783878) (LOCKED),Aaron Jones (15783346),Chargers (15784045),,1. Column A lists all of your contest entries for this draftgroup
2365050504,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),Amari Cooper (15783610),Justin Jefferson (15783584),Adam Thielen (15783576),Dallas Goedert (15783886) (LOCKED),Duke Johnson (15783392) (LOCKED),Ravens (15784046) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2365050505,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Tee Higgins (15783590) (LOCKED),Terry McLaurin (15783572) (LOCKED),Cam Sims (15783688) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Colts (15784050),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2365050506,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),KJ Hamler (15783672),Tee Higgins (15783590) (LOCKED),Terry McLaurin (15783572) (LOCKED),Logan Thomas (15783896) (LOCKED),Dalvin Cook (15783342),Texans (15784058) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2365050507,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),Justin Jefferson (15783584),CeeDee Lamb (15783618),Adam Thielen (15783576),Mark Andrews (15783866) (LOCKED),Giovani Bernard (15783390) (LOCKED),Broncos (15784060),,5. For faster processing only include entries you are changing in the file you upload
2365050508,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Mike Davis (15783352) (LOCKED),Aaron Jones (15783346),Tyler Boyd (15783600) (LOCKED),Terry McLaurin (15783572) (LOCKED),Cam Sims (15783688) (LOCKED),Dallas Goedert (15783886) (LOCKED),Dalvin Cook (15783342),Jaguars (15784064) (LOCKED),,
2365050509,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Deshaun Watson (15783282) (LOCKED),James Conner (15783356) (LOCKED),Miles Sanders (15783350) (LOCKED),Brandin Cooks (15783614) (LOCKED),Will Fuller V (15783578) (LOCKED),Jakobi Meyers (15783620) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Aaron Jones (15783346),Bengals (15784061) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2365050510,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),Tyler Boyd (15783600) (LOCKED),Terry McLaurin (15783572) (LOCKED),Adam Thielen (15783576),Logan Thomas (15783896) (LOCKED),Duke Johnson (15783392) (LOCKED),Ravens (15784046) (LOCKED),,RB,Christian McCaffrey (15783338) (LOCKED),Christian McCaffrey,15783338,RB/FLEX,9400,Final,CAR,30.13
2365050511,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Antonio Gibson (15783376) (LOCKED),Justin Jefferson (15783584),Jakobi Meyers (15783620) (LOCKED),Adam Thielen (15783576),Dalton Schultz (15783890),Aaron Jones (15783346),Saints (15784049) (LOCKED),,RB,Alvin Kamara (15783340) (LOCKED),Alvin Kamara,15783340,RB/FLEX,9200,In Progress,NO,27.71
2365050512,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Mike Davis (15783352) (LOCKED),Duke Johnson (15783392) (LOCKED),Tee Higgins (15783590) (LOCKED),Terry McLaurin (15783572) (LOCKED),Steven Sims Jr. (15783722) (LOCKED),Mark Andrews (15783866) (LOCKED),Aaron Jones (15783346),Steelers (15784044) (LOCKED),,RB,Dalvin Cook (15783342),Dalvin Cook,15783342,RB/FLEX,9000,DAL@MIN 11/22/2020 04:25PM ET,MIN,28.66
2365050513,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Deshaun Watson (15783282) (LOCKED),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),Will Fuller V (15783578) (LOCKED),KJ Hamler (15783672),Jakobi Meyers (15783620) (LOCKED),Jordan Akins (15784012) (LOCKED),Dalvin Cook (15783342),Ravens (15784046) (LOCKED),,WR,Davante Adams (15783560),Davante Adams,15783560,WR/FLEX,8600,GB@IND 11/22/2020 04:25PM ET,GB,28.16
2365050514,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Matthew Stafford (15783288) (LOCKED),James Conner (15783356) (LOCKED),Miles Sanders (15783350) (LOCKED),Marvin Hall (15783656) (LOCKED),Jakobi Meyers (15783620) (LOCKED),DJ Moore (15783604) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Patriots (15784052) (LOCKED),,RB,Derrick Henry (15783344) (LOCKED),Derrick Henry,15783344,RB/FLEX,8000,In Progress,TEN,19.7
2365050515,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),James Conner (15783356) (LOCKED),Aaron Jones (15783346),A.J. Green (15783674) (LOCKED),Terry McLaurin (15783572) (LOCKED),Steven Sims Jr. (15783722) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Chargers (15784045),,WR,Julio Jones (15783562) (LOCKED),Julio Jones,15783562,WR/FLEX,7500,In Progress,ATL,19.11
2365050516,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Matthew Stafford (15783288) (LOCKED),Duke Johnson (15783392) (LOCKED),Aaron Jones (15783346),KJ Hamler (15783672),Marvin Jones Jr. (15783606) (LOCKED),DJ Moore (15783604) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Ravens (15784046) (LOCKED),,WR,Keenan Allen (15783564),Keenan Allen,15783564,WR/FLEX,7400,NYJ@LAC 11/22/2020 04:05PM ET,LAC,19.11
2365050517,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,P.J. Walker (15783309) (LOCKED),James Conner (15783356) (LOCKED),Aaron Jones (15783346),Robby Anderson (15783586) (LOCKED),Marvin Hall (15783656) (LOCKED),DJ Moore (15783604) (LOCKED),Dallas Goedert (15783886) (LOCKED),Dalvin Cook (15783342),Saints (15784049) (LOCKED),,WR,Michael Thomas (15783566) (LOCKED),Michael Thomas,15783566,WR/FLEX,7300,In Progress,NO,6.5
2365050518,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Mike Davis (15783352) (LOCKED),Alvin Kamara (15783340) (LOCKED),A.J. Green (15783674) (LOCKED),Terry McLaurin (15783572) (LOCKED),Jakobi Meyers (15783620) (LOCKED),Logan Thomas (15783896) (LOCKED),Aaron Jones (15783346),Eagles (15784055) (LOCKED),,QB,Lamar Jackson (15783277) (LOCKED),Lamar Jackson,15783277,QB,7300,In Progress,BAL,21.32
2365050519,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Aaron Jones (15783346),Michael Gallup (15783660),KJ Hamler (15783672),Adam Thielen (15783576),Mark Andrews (15783866) (LOCKED),Dalvin Cook (15783342),Bengals (15784061) (LOCKED),,RB,Aaron Jones (15783346),Aaron Jones,15783346,RB/FLEX,7200,GB@IND 11/22/2020 04:25PM ET,GB,20.77
