RK,PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
1,Patrick Mahomes II,KC,1,3,1.3,0.6
2,Josh Allen,BUF,1,6,2.8,1.1
3,Russell Wilson,SEA,1,7,3,1.2
4,Kyler Murray,ARI,1,6,4.2,1.3
5,Deshaun Watson,HOU,1,6,4.4,0.7
6,Justin Herbert,LAC,2,18,5.8,1.4
7,Aaron Rodgers,GB,5,10,7.5,0.9
8,Tom Brady,TB,6,11,8.4,1
9,Derek Carr,LV,7,16,8.9,1.4
10,Taysom Hill,NO,4,13,9.7,1.4
11,Cam Newton,NE,7,15,10.8,1.4
12,Matt Ryan,ATL,9,22,13.2,2.4
13,Ben Roethlisberger,PIT,9,20,13.7,1.7
14,Daniel Jones,NYG,12,20,15.7,1.9
15,Carson Wentz,PHI,12,23,16.1,2.8
16,Jared Goff,LAR,12,23,17.3,2
17,Matthew Stafford,DET,15,32,17.7,1.9
18,Ryan Fitzpatrick,MIA,9,37,17,7
19,Teddy Bridgewater,CAR,10,24,18.5,2.8
20,Philip Rivers,IND,11,21,18.6,1.8
21,Ryan Tannehill,TEN,13,29,20.2,2.7
22,Kirk Cousins,MIN,15,24,20.9,2
23,Baker Mayfield,CLE,14,27,23.1,1.6
24,Alex Smith,WAS,19,27,23.9,1.8
25,Andy Dalton,DAL,20,28,24.7,1.2
26,Mitchell Trubisky,CHI,22,30,26,1.8
27,Robert Griffin III,BAL,21,38,27.8,2.8
28,Sam Darnold,NYJ,24,32,28.3,1.9
29,Nick Mullens,SF,22,32,28.8,2.2
30,Mike Glennon,JAC,25,32,29.7,1.6
31,Brandon Allen,CIN,24,33,29.9,1.4
32,Jalen Hurts,PHI,24,36,32.8,1.3
33,Phillip Walker,CAR,26,40,34.3,2.7
34,Jacoby Brissett,IND,32,41,34.4,2.4
35,Jameis Winston,NO,27,37,34.5,1.3
36,Ryan Finley,CIN,33,40,36,2
37,Joe Flacco,NYJ,28,42,37.1,2.8
38,Jake Luton,JAC,30,40,37.6,1.7
39,C.J. Beathard,SF,36,48,38.8,4.6
40,Drew Lock,DEN,30,32,31,1
41,Tyler Bray,CHI,38,58,43,7.6
42,Nick Foles,CHI,37,39,38.3,0.9
43,Dwayne Haskins,WAS,41,52,44.7,5.2
44,Garrett Gilbert,DAL,42,51,45.3,4
