Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2380131803,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Nyheim Hines (15819886),Nelson Agholor (15820116),Denzel Mims (15820174),Calvin Ridley (15820060),Darren Waller (15820354),Wayne Gallman Jr. (15819876),Rams (15820542),,1. Column A lists all of your contest entries for this draftgroup
2380131804,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Nyheim Hines (15819886),James Robinson (15819838),Mike Evans (15820074),Tyreek Hill (15820054),Denzel Mims (15820174),Travis Kelce (15820352),Brian Hill (15819990),Bills (15820549),,2. Your current lineup is listed next to each entry (blank for reservations)
2380131805,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765),Dalvin Cook (15819822),Nyheim Hines (15819886),Cole Beasley (15820090),Stefon Diggs (15820056),Denzel Mims (15820174),Hunter Henry (15820358),Brian Hill (15819990),Cardinals (15820546),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2380131806,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777),Dalvin Cook (15819822),Brian Hill (15819990),A.J. Brown (15820064),Corey Davis (15820118),Denzel Mims (15820174),Travis Kelce (15820352),Nyheim Hines (15819886),Saints (15820541),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2380131807,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782),Dalvin Cook (15819822),Nyheim Hines (15819886),Tyler Boyd (15820108),Sterling Shepard (15820104),Darius Slayton (15820114),Travis Kelce (15820352),Brian Hill (15819990),Dolphins (15820540),,5. For faster processing only include entries you are changing in the file you upload
2380131808,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Wayne Gallman Jr. (15819876),Antonio Brown (15820086),Mecole Hardman (15820144),Denzel Mims (15820174),Travis Kelce (15820352),Brian Hill (15819990),Browns (15820544),,
2380131809,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Nyheim Hines (15819886),Keelan Cole Sr. (15820166),Mecole Hardman (15820144),Tyreek Hill (15820054),Rob Gronkowski (15820362),Brian Hill (15819990),Saints (15820541),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2380131810,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),James Robinson (15819838),Julio Jones (15820066),Breshad Perriman (15820142),Henry Ruggs III (15820138),Darren Waller (15820354),Nyheim Hines (15819886),Cardinals (15820546),,RB,Dalvin Cook (15819822),Dalvin Cook,15819822,RB/FLEX,9500,CAR@MIN 11/29/2020 01:00PM ET,MIN,28.7
2380131811,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Mike Davis (15819834),James Robinson (15819838),Nelson Agholor (15820116),Calvin Ridley (15820060),Henry Ruggs III (15820138),Travis Kelce (15820352),Nyheim Hines (15819886),Giants (15820543),,RB,Christian McCaffrey (15819824),Christian McCaffrey,15819824,RB/FLEX,9200,CAR@MIN 11/29/2020 01:00PM ET,CAR,30.13
2380131812,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Kenyan Drake (15819866),Tyreek Hill (15820054),Denzel Mims (15820174),Henry Ruggs III (15820138),Darren Waller (15820354),Brian Hill (15819990),Saints (15820541),,QB,Kyler Murray (15819763),Kyler Murray,15819763,QB,8200,ARI@NE 11/29/2020 01:00PM ET,ARI,30.27
2380131813,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Kenyan Drake (15819866),Wayne Gallman Jr. (15819876),Keelan Cole Sr. (15820166),Chris Godwin (15820078),Tyreek Hill (15820054),Travis Kelce (15820352),Brian Hill (15819990),Giants (15820543),,RB,Alvin Kamara (15819826),Alvin Kamara,15819826,RB/FLEX,8200,NO@DEN 11/29/2020 04:05PM ET,NO,25.99
2380131814,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Kenyan Drake (15819866),Nelson Agholor (15820116),Keelan Cole Sr. (15820166),Julio Jones (15820066),Darren Waller (15820354),Devin Singletary (15819900),Dolphins (15820540),,WR,DeAndre Hopkins (15820050),DeAndre Hopkins,15820050,WR/FLEX,8100,ARI@NE 11/29/2020 01:00PM ET,ARI,20.12
2380131815,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Kirk Cousins (15819772),Wayne Gallman Jr. (15819876),Nyheim Hines (15819886),Justin Jefferson (15820070),DJ Moore (15820072),Adam Thielen (15820062),Travis Kelce (15820352),Brian Hill (15819990),Saints (15820541),,WR,Keenan Allen (15820052),Keenan Allen,15820052,WR/FLEX,8000,LAC@BUF 11/29/2020 01:00PM ET,LAC,21.05
2380131816,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Jared Goff (15819773),Dalvin Cook (15819822),Nyheim Hines (15819886),Richie James (15820172),Cooper Kupp (15820068),Robert Woods (15820084),Travis Kelce (15820352),Brian Hill (15819990),Giants (15820543),,QB,Patrick Mahomes (15819764),Patrick Mahomes,15819764,QB,8000,KC@TB 11/29/2020 04:25PM ET,KC,28.01
2380131817,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Nyheim Hines (15819886),Chris Godwin (15820078),KJ Hamler (15820170),Demarcus Robinson (15820160),Travis Kelce (15820352),Brian Hill (15819990),Rams (15820542),,RB,Derrick Henry (15819828),Derrick Henry,15819828,RB/FLEX,7900,TEN@IND 11/29/2020 01:00PM ET,TEN,20.05
2380131818,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Kareem Hunt (15819860),Nelson Agholor (15820116),Julio Jones (15820066),Hunter Renfrow (15820152),Travis Kelce (15820352),Nyheim Hines (15819886),Broncos (15820559),,WR,Tyreek Hill (15820054),Tyreek Hill,15820054,WR/FLEX,7800,KC@TB 11/29/2020 04:25PM ET,KC,20.82
2380131819,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774),Dalvin Cook (15819822),Nyheim Hines (15819886),Denzel Mims (15820174),Calvin Ridley (15820060),Henry Ruggs III (15820138),Hunter Henry (15820358),Julio Jones (15820066),Saints (15820541),,QB,Josh Allen (15819765),Josh Allen,15819765,QB,7600,LAC@BUF 11/29/2020 01:00PM ET,BUF,26.89
