Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2380131803,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Nelson Agholor (15820116) (LOCKED),Calvin Ridley (15820060) (LOCKED),Henry Ruggs III (15820138) (LOCKED),Rob Gronkowski (15820362),Jordan Wilkins (15820036) (LOCKED),Saints (15820541),,1. Column A lists all of your contest entries for this draftgroup
2380131804,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),Josh Jacobs (15819830) (LOCKED),A.J. Brown (15820064) (LOCKED),Corey Davis (15820118) (LOCKED),Andy Isabella (15820324) (LOCKED),Mo Alie-Cox (15820400) (LOCKED),James Robinson (15819838) (LOCKED),Saints (15820541),,2. Your current lineup is listed next to each entry (blank for reservations)
2380131805,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Mike Davis (15819834) (LOCKED),Nyheim Hines (15819886) (LOCKED),Nelson Agholor (15820116) (LOCKED),Hunter Renfrow (15820152) (LOCKED),Calvin Ridley (15820060) (LOCKED),Travis Kelce (15820352),Kenyan Drake (15819866) (LOCKED),Dolphins (15820540) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2380131806,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782) (LOCKED),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Tee Higgins (15820128) (LOCKED),Sterling Shepard (15820104) (LOCKED),Darius Slayton (15820114) (LOCKED),Travis Kelce (15820352),Zack Moss (15819880) (LOCKED),Rams (15820542),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2380131807,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Mike Davis (15819834) (LOCKED),James Robinson (15819838) (LOCKED),A.J. Brown (15820064) (LOCKED),Corey Davis (15820118) (LOCKED),Michael Pittman Jr. (15820120) (LOCKED),Travis Kelce (15820352),Brian Hill (15819990) (LOCKED),Giants (15820543) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2380131808,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),A.J. Brown (15820064) (LOCKED),Michael Pittman Jr. (15820120) (LOCKED),Robert Woods (15820084),Jonnu Smith (15820368) (LOCKED),Brian Hill (15819990) (LOCKED),Saints (15820541),,
2380131809,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),Kareem Hunt (15819860) (LOCKED),Nelson Agholor (15820116) (LOCKED),Denzel Mims (15820174) (LOCKED),Calvin Ridley (15820060) (LOCKED),Darren Waller (15820354) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),Bills (15820549) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2380131810,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),Hunter Renfrow (15820152) (LOCKED),Calvin Ridley (15820060) (LOCKED),Henry Ruggs III (15820138) (LOCKED),Travis Kelce (15820352),Devin Singletary (15819900) (LOCKED),Giants (15820543) (LOCKED),,RB,Dalvin Cook (15819822) (LOCKED),Dalvin Cook,15819822,RB/FLEX,9500,In Progress,MIN,28.7
2380131811,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Brandon Allen (15832549) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Tyler Boyd (15820108) (LOCKED),Tee Higgins (15820128) (LOCKED),Darius Slayton (15820114) (LOCKED),Travis Kelce (15820352),Jordan Wilkins (15820036) (LOCKED),Saints (15820541),,RB,Christian McCaffrey (15819824) (LOCKED),Christian McCaffrey,15819824,RB/FLEX,9200,In Progress,CAR,30.13
2380131812,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Nelson Agholor (15820116) (LOCKED),Tyreek Hill (15820054),Henry Ruggs III (15820138) (LOCKED),Hayden Hurst (15820370) (LOCKED),Kenyan Drake (15819866) (LOCKED),Rams (15820542),,QB,Kyler Murray (15819763) (LOCKED),Kyler Murray,15819763,QB,8200,In Progress,ARI,30.27
2380131813,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Mike Davis (15819834) (LOCKED),Nyheim Hines (15819886) (LOCKED),Tyler Boyd (15820108) (LOCKED),Calvin Ridley (15820060) (LOCKED),Henry Ruggs III (15820138) (LOCKED),Darren Waller (15820354) (LOCKED),Clyde Edwards-Helaire (15819836),Saints (15820541),,RB,Alvin Kamara (15819826),Alvin Kamara,15819826,RB/FLEX,8200,NO@DEN 11/29/2020 04:05PM ET,NO,25.99
2380131814,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Kirk Cousins (15819772) (LOCKED),Kenyan Drake (15819866) (LOCKED),Jordan Wilkins (15820036) (LOCKED),Justin Jefferson (15820070) (LOCKED),Denzel Mims (15820174) (LOCKED),DJ Moore (15820072) (LOCKED),Travis Kelce (15820352),Dalvin Cook (15819822) (LOCKED),Jaguars (15820561) (LOCKED),,WR,DeAndre Hopkins (15820050) (LOCKED),DeAndre Hopkins,15820050,WR/FLEX,8100,In Progress,ARI,20.12
2380131815,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Jared Goff (15819773),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Cooper Kupp (15820068),Denzel Mims (15820174) (LOCKED),Robert Woods (15820084),Jordan Reed (15820376),Wayne Gallman Jr. (15819876) (LOCKED),Saints (15820541),,WR,Keenan Allen (15820052) (LOCKED),Keenan Allen,15820052,WR/FLEX,8000,In Progress,LAC,21.05
2380131816,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Tom Brady (15819767),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Mike Evans (15820074),Tyreek Hill (15820054),Denzel Mims (15820174) (LOCKED),Rob Gronkowski (15820362),Wayne Gallman Jr. (15819876) (LOCKED),Patriots (15820553) (LOCKED),,QB,Patrick Mahomes (15819764),Patrick Mahomes,15819764,QB,8000,KC@TB 11/29/2020 04:25PM ET,KC,28.01
2380131817,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),Kenyan Drake (15819866) (LOCKED),A.J. Brown (15820064) (LOCKED),Corey Davis (15820118) (LOCKED),Denzel Mims (15820174) (LOCKED),Travis Kelce (15820352),Nyheim Hines (15819886) (LOCKED),Chargers (15820555) (LOCKED),,RB,Derrick Henry (15819828) (LOCKED),Derrick Henry,15819828,RB/FLEX,7900,In Progress,TEN,20.05
2380131818,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Baker Mayfield (15819785) (LOCKED),Mike Davis (15819834) (LOCKED),Nyheim Hines (15819886) (LOCKED),Rashard Higgins (15820130) (LOCKED),Jarvis Landry (15820100) (LOCKED),Robert Woods (15820084),Travis Kelce (15820352),James Robinson (15819838) (LOCKED),Dolphins (15820540) (LOCKED),,WR,Tyreek Hill (15820054),Tyreek Hill,15820054,WR/FLEX,7800,KC@TB 11/29/2020 04:25PM ET,KC,20.82
2380131819,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),Jordan Wilkins (15820036) (LOCKED),Andy Isabella (15820324) (LOCKED),Hunter Renfrow (15820152) (LOCKED),Calvin Ridley (15820060) (LOCKED),Darren Waller (15820354) (LOCKED),Clyde Edwards-Helaire (15819836),Dolphins (15820540) (LOCKED),,QB,Josh Allen (15819765) (LOCKED),Josh Allen,15819765,QB,7600,In Progress,BUF,26.89
