"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Dalvin Cook",MIN,"1","2","1.1","0.3"
"2","Austin Ekeler",LAC,"2","12","2.7","0.6"
"3","Derrick Henry",TEN,"1","4","3.4","1.0"
"4","James Robinson",JAC,"2","8","4.0","1.7"
"5","Nick Chubb",CLE,"2","10","4.6","1.3"
"6","Aaron Jones",GB,"5","7","5.7","0.6"
"7","Alvin Kamara",NO,"5","15","8.1","1.7"
"8","Antonio Gibson",WAS,"7","21","9.6","2.2"
"9","Chris Carson",SEA,"5","24","10.3","2.4"
"10","Miles Sanders",PHI,"4","17","10.8","2.0"
"11","David Montgomery",CHI,"3","15","12.2","1.4"
"12","Kareem Hunt",CLE,"7","22","13.2","4.2"
"13","Clyde Edwards-Helaire",KC,"10","33","15.0","2.6"
"14","Raheem Mostert",SF,"9","25","15.6","2.4"
"15","Myles Gaskin",MIA,"8","25","15.6","5.2"
"16","Ezekiel Elliott",DAL,"10","26","16.4","3.1"
"17","J.K. Dobbins",BAL,"8","32","17.3","5.4"
"18","Devontae Booker",LV,"7","39","17.3","7.3"
"19","Nyheim Hines",IND,"8","26","18.7","3.3"
"20","Wayne Gallman",NYG,"11","28","19.3","2.6"
"21","Kenyan Drake",ARI,"9","31","20.3","2.4"
"22","Jonathan Taylor",IND,"11","34","21.8","4.3"
"23","Melvin Gordon III",DEN,"5","29","23.4","2.4"
"24","Giovani Bernard",CIN,"20","34","25.0","2.6"
"25","Benny Snell Jr.",PIT,"19","33","25.6","2.6"
"26","Damien Harris",NE,"19","34","26.0","2.9"
"27","James White",NE,"13","35","28.1","2.1"
"28","Frank Gore",NYJ,"17","37","28.7","3.0"
"29","Latavius Murray",NO,"13","44","28.7","2.3"
"30","J.D. McKissic",WAS,"25","43","32.2","3.0"
"31","Jamaal Williams",GB,"29","39","33.6","2.9"
"32","Zack Moss",BUF,"27","42","33.6","1.2"
"33","Chase Edmonds",ARI,"29","43","34.1","2.4"
"34","Devin Singletary",BUF,"29","48","35.4","2.4"
"35","Duke Johnson Jr.",HOU,"16","52","36.6","9.0"
"36","Todd Gurley II",ATL,"18","51","34.4","7.6"
"37","Cam Akers",LAR,"31","47","38.4","2.4"
"38","Le'Veon Bell",KC,"29","46","39.1","3.4"
"39","Darrell Henderson",LAR,"35","43","39.6","1.6"
"40","David Johnson",HOU,"19","48","28.5","7.7"
"41","Adrian Peterson",DET,"32","54","42.5","4.8"
"42","Carlos Hyde",SEA,"37","59","43.5","3.3"
"43","Jordan Wilkins",IND,"28","52","43.4","5.5"
"44","Kerryon Johnson",DET,"29","57","43.5","8.1"
"45","Tony Pollard",DAL,"39","55","47.6","2.9"
"46","Malcolm Brown",LAR,"40","62","48.2","4.0"
"47","Brian Hill",ATL,"26","63","49.0","6.2"
"48","Boston Scott",PHI,"42","55","50.1","3.1"
"49","Gus Edwards",BAL,"41","59","48.1","4.7"
"50","Jerick McKinnon",SF,"34","58","52.9","3.7"
"51","Jeff Wilson Jr.",SF,"43","76","50.2","5.7"
"52","Anthony McFarland Jr.",PIT,"45","58","53.2","2.8"
"53","Ito Smith",ATL,"39","61","51.4","6.6"
"54","Phillip Lindsay",DEN,"30","63","51.7","7.0"
"55","Jalen Richard",LV,"27","80","52.6","13.9"
"56","Patrick Laird",MIA,"44","61","53.4","3.9"
"57","Joshua Kelley",LAC,"45","62","55.2","4.1"
"58","Mark Ingram II",BAL,"44","64","58.0","3.8"
"59","Royce Freeman",DEN,"51","77","59.8","6.0"
"60","Darrel Williams",KC,"57","75","65.6","5.1"
"61","Samaje Perine",CIN,"55","66","63.4","1.5"
"62","Peyton Barber",WAS,"58","78","66.0","5.2"
"63","Jeremy McNichols",TEN,"60","82","68.8","5.7"
"64","Dion Lewis",NYG,"57","73","64.7","4.2"
"65","Ty Johnson",NYJ,"58","73","64.7","3.3"
"66","D'Onta Foreman",TEN,"64","89","70.8","5.5"
"67","Trayveon Williams",CIN,"61","88","69.9","5.6"
"68","Devine Ozigbo",JAC,"61","84","72.4","5.7"
"69","Sony Michel",NE,"66","77","72.5","2.5"
"70","Kyle Juszczyk",SF,"55","77","70.9","4.4"
"71","Alfred Morris",NYG,"65","81","73.3","4.2"
"72","Ameer Abdullah",MIN,"53","93","74.6","12.7"
"73","Corey Clement",PHI,"68","101","77.4","7.5"
"74","Mike Boone",MIN,"52","106","67.4","12.3"
"75","Lynn Bowden Jr.",MIA,"51","91","76.2","9.4"
"76","Justice Hill",BAL,"58","84","74.4","6.6"
"77","DeeJay Dallas",SEA,"62","84","77.7","3.5"
"78","D'Andre Swift",DET,"9","77","36.6","24.1"
"79","Troymaine Pope",LAC,"56","94","73.7","10.5"
"80","Kalen Ballage",LAC,"56","91","79.5","9.4"
"81","Alec Ingold",LV,"58","87","77.2","5.8"
"82","Tevin Coleman",SF,"47","93","71.4","12.8"
"83","C.J. Ham",MIN,"69","90","80.2","3.4"
"84","Jaylen Samuels",PIT,"75","91","79.6","4.8"
