"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Travis Kelce",KC,"1","1","1.0","0.0"
"2","Darren Waller",LV,"2","2","2.0","0.0"
"3","T.J. Hockenson",DET,"3","7","3.3","0.6"
"4","Dallas Goedert",PHI,"3","11","5.2","1.1"
"5","Hunter Henry",LAC,"3","16","5.3","1.4"
"6","Evan Engram",NYG,"3","13","6.2","2.1"
"7","Robert Tonyan",GB,"4","10","6.7","1.2"
"8","Hayden Hurst",ATL,"6","17","8.7","1.7"
"9","Eric Ebron",PIT,"5","13","8.8","1.2"
"10","Noah Fant",DEN,"5","15","10.7","1.9"
"11","Mike Gesicki",MIA,"5","17","10.9","1.6"
"12","Kyle Rudolph",MIN,"9","21","12.0","1.6"
"13","Austin Hooper",CLE,"8","19","13.8","1.7"
"14","Jordan Reed",SF,"8","20","14.5","1.8"
"15","Trey Burton",IND,"12","26","16.1","2.9"
"16","Jordan Akins",HOU,"9","27","16.6","2.6"
"17","Dalton Schultz",DAL,"13","25","17.0","1.2"
"18","Logan Thomas",WAS,"11","29","18.8","1.8"
"19","Anthony Firkser",TEN,"10","31","17.4","4.3"
"20","Jimmy Graham",CHI,"14","36","22.2","3.5"
"21","Gerald Everett",LAR,"17","30","22.2","2.4"
"22","Zach Ertz",PHI,"9","28","20.5","3.4"
"23","Tyler Higbee",LAR,"18","28","23.8","2.0"
"24","Tyler Eifert",JAC,"20","28","23.8","2.2"
"25","Jacob Hollister",SEA,"20","31","24.0","2.2"
"26","Jared Cook",NO,"19","32","27.4","2.5"
"27","Mo Alie-Cox",IND,"16","31","25.7","2.8"
"28","Drew Sample",CIN,"24","34","29.1","2.3"
"29","Dawson Knox",BUF,"23","34","29.5","1.9"
"30","Darren Fells",HOU,"22","37","32.1","2.9"
"31","Will Dissly",SEA,"22","33","29.9","2.2"
"32","Jack Doyle",IND,"24","47","34.9","4.3"
"33","Chris Herndon IV",NYJ,"28","39","34.0","2.0"
"34","Mark Andrews",BAL,"3","39","24.1","10.0"
"35","Dan Arnold",ARI,"30","39","34.0","2.6"
"36","Cole Kmet",CHI,"22","41","33.6","4.9"
"37","Luke Willson",BAL,"20","45","34.6","5.5"
"38","Harrison Bryant",CLE,"33","42","37.0","2.3"
"39","Maxx Williams",ARI,"33","46","42.8","1.7"
"40","Ryan Izzo",NE,"30","52","44.1","4.9"
"41","Geoff Swaim",TEN,"31","51","41.0","5.6"
"42","Ross Dwelley",SF,"33","42","38.3","2.2"
"43","Richard Rodgers",PHI,"34","56","44.5","6.9"
"44","James O'Shaughnessy",JAC,"36","45","41.1","2.6"
"45","Durham Smythe",MIA,"36","54","43.6","4.7"
"46","Adam Shaheen",MIA,"40","48","43.8","2.2"
"47","Jason Witten",LV,"40","53","49.4","2.5"
"48","Jesse James",DET,"43","50","46.4","2.5"
"49","David Njoku",CLE,"41","53","46.6","3.4"
"50","Pharaoh Brown",HOU,"42","65","53.6","5.5"
"51","Tyler Conklin",MIN,"38","72","48.9","9.3"
"52","Jace Sternberger",GB,"47","57","50.3","3.0"
"53","Marcedes Lewis",GB,"47","59","52.4","3.9"
"54","Adam Trautman",NO,"39","57","53.7","1.5"
"55","Nick Vannett",DEN,"38","62","54.9","4.7"
"56","Donald Parham Jr.",LAC,"46","62","55.8","3.5"
"57","Foster Moreau",LV,"56","63","57.8","2.1"
"58","Ryan Griffin",NYJ,"55","60","59.4","0.9"
"59","Kaden Smith",NYG,"49","69","57.7","5.9"
"60","Tyler Kroft",BUF,"50","62","57.8","3.8"
"61","Nick Keizer",KC,"53","65","62.8","1.2"
"62","MyCole Pruitt",TEN,"46","69","58.2","8.7"
"63","Blake Bell",DAL,"61","66","63.8","1.2"
"64","Kahale Warring",HOU,"46","64","59.4","4.2"
"65","Vance McDonald",PIT,"55","72","64.6","4.5"
"66","Jaeden Graham",ATL,"60","73","66.4","3.8"
"67","Josh Hill",NO,"55","75","67.0","8.0"
"68","Cethan Carter",CIN,"65","71","67.2","2.0"
"69","Deon Yelder",KC,"55","71","68.2","2.9"
"70","Lee Smith",BUF,"64","72","68.6","2.3"
"71","Luke Stocker",ATL,"68","78","70.2","3.9"
"72","Demetrius Harris",CHI,"67","75","70.4","2.6"
"73","Gabe Nabers",LAC,"58","82","71.6","8.4"
"74","Jordan Thomas",NE,"71","76","74.2","1.5"
"75","Eric Saubert",JAC,"70","79","75.4","2.6"
"76","Levine Toilolo",NYG,"57","80","75.6","2.9"
"77","Jeremy Sprinkle",WAS,"74","83","75.8","3.6"
"78","Troy Fumagalli",DEN,"70","82","79.2","4.6"
"79","Eric Tomlinson",BAL,"71","89","79.4","7.1"
"80","Colby Parkinson",SEA,"69","77","71.7","3.8"
"81","Stephen Carlson",CLE,"77","85","80.0","2.8"
"82","Derek Carrier",LV,"76","79","77.3","1.1"
"83","Johnny Mundt",LAR,"76","86","80.6","3.9"
"84","J.P. Holtz",CHI,"78","87","80.8","3.2"
"85","Brandon Dillon",MIN,"79","83","82.4","1.2"
"86","Hunter Bryant",DET,"67","81","74.0","7.0"
"87","Charlie Woerner",SF,"82","88","85.0","2.2"
"88","Temarrick Hemingway",WAS,"81","87","85.2","1.3"
"89","Isaac Nauta",DET,"82","90","84.5","3.3"
"90","Sean McKeon",DAL,"78","93","85.0","5.3"
"91","Daniel Brown",NYJ,"79","94","84.7","6.7"
"92","Sean Culkin",BAL,"75","89","82.0","7.0"
"93","Evan Baylis",ARI,"77","92","87.3","6.0"
"94","Dalton Keene",NE,"76","91","83.5","7.5"
"95","Stephen Anderson",LAC,"84","95","88.8","4.2"
"96","Mason Schreck",CIN,"88","96","90.7","3.8"
