"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Davante Adams",GB,"1","2","1.0","0.2"
"2","Tyreek Hill",KC,"1","3","2.0","0.2"
"3","D.K. Metcalf",SEA,"2","6","3.1","0.4"
"4","Keenan Allen",LAC,"4","20","5.3","1.1"
"5","Adam Thielen",MIN,"4","20","5.7","1.4"
"6","A.J. Brown",TEN,"3","16","6.2","2.7"
"7","Justin Jefferson",MIN,"5","21","8.3","1.6"
"8","Stefon Diggs",BUF,"3","15","8.5","2.9"
"9","Allen Robinson II",CHI,"4","12","8.5","1.9"
"10","Calvin Ridley",ATL,"5","14","9.6","2.2"
"11","DeAndre Hopkins",ARI,"4","13","10.1","1.5"
"12","Robert Woods",LAR,"8","44","11.8","2.0"
"13","Tyler Lockett",SEA,"7","19","14.5","1.1"
"14","Terry McLaurin",WAS,"7","25","14.7","1.9"
"15","Cooper Kupp",LAR,"11","21","14.8","2.4"
"16","Michael Thomas",NO,"8","28","16.3","2.9"
"17","Diontae Johnson",PIT,"15","23","17.6","1.6"
"18","DeVante Parker",MIA,"5","25","18.3","2.9"
"19","Brandin Cooks",HOU,"8","27","18.6","1.8"
"20","Chase Claypool",PIT,"18","25","20.6","1.3"
"21","JuJu Smith-Schuster",PIT,"19","36","22.0","1.3"
"22","Julio Jones",ATL,"9","35","18.0","6.1"
"23","Jarvis Landry",CLE,"15","32","23.7","2.8"
"24","Deebo Samuel",SF,"18","31","24.3","2.6"
"25","Amari Cooper",DAL,"12","33","24.4","2.3"
"26","Corey Davis",TEN,"23","42","27.1","3.3"
"27","Cole Beasley",BUF,"19","37","27.2","2.7"
"28","D.J. Chark Jr.",JAC,"14","35","27.5","3.0"
"29","Michael Pittman Jr.",IND,"23","42","28.7","2.1"
"30","CeeDee Lamb",DAL,"18","57","31.4","2.8"
"31","Jakobi Meyers",NE,"29","41","31.8","2.8"
"32","Marvin Jones Jr.",DET,"24","41","33.0","2.6"
"33","Sterling Shepard",NYG,"25","58","33.6","3.9"
"34","Tyler Boyd",CIN,"28","63","33.8","3.5"
"35","Brandon Aiyuk",SF,"28","50","34.7","2.7"
"36","Jerry Jeudy",DEN,"27","43","37.7","2.6"
"37","Tee Higgins",CIN,"30","51","37.8","4.3"
"38","Christian Kirk",ARI,"23","52","38.5","4.8"
"39","Nelson Agholor",LV,"30","54","38.8","4.9"
"40","Jamison Crowder",NYJ,"29","52","40.7","4.3"
"41","Mike Williams",LAC,"32","48","41.4","3.2"
"42","T.Y. Hilton",IND,"35","66","42.8","5.6"
"43","Denzel Mims",NYJ,"26","55","43.7","5.5"
"44","Breshad Perriman",NYJ,"29","52","44.2","5.1"
"45","Marquise Brown",BAL,"24","61","45.8","4.5"
"46","Allen Lazard",GB,"35","53","46.1","3.6"
"47","Tim Patrick",DEN,"25","65","46.3","5.2"
"48","Sammy Watkins",KC,"41","62","47.8","2.2"
"49","Darius Slayton",NYG,"33","64","48.1","5.5"
"50","Darnell Mooney",CHI,"44","58","50.3","3.9"
"51","Jalen Reagor",PHI,"39","77","51.3","6.7"
"52","Keelan Cole Sr.",JAC,"39","73","51.9","6.5"
"53","Henry Ruggs III",LV,"34","67","54.0","4.9"
"54","Rashard Higgins",CLE,"43","69","56.1","3.8"
"55","Josh Reynolds",LAR,"41","70","56.2","6.8"
"56","Keke Coutee",HOU,"35","64","53.1","4.4"
"57","Anthony Miller",CHI,"50","70","58.1","3.8"
"58","Gabriel Davis",BUF,"38","65","54.5","4.4"
"59","Russell Gage",ATL,"46","66","59.0","3.4"
"60","Damiere Byrd",NE,"42","75","63.2","5.1"
"61","Laviska Shenault Jr.",JAC,"38","69","60.9","4.1"
"62","Michael Gallup",DAL,"57","75","62.3","3.6"
"63","Hunter Renfrow",LV,"53","76","62.6","4.1"
"64","Travis Fulgham",PHI,"49","79","64.6","5.7"
"65","KJ Hamler",DEN,"58","77","66.2","3.7"
"66","Marquez Valdes-Scantling",GB,"49","79","66.3","5.5"
"67","Emmanuel Sanders",NO,"35","78","67.1","5.9"
"68","Jakeem Grant",MIA,"55","83","69.0","5.7"
"69","Demarcus Robinson",KC,"63","76","70.0","2.9"
"70","David Moore",SEA,"66","78","70.0","2.6"
"71","Mecole Hardman",KC,"63","93","73.0","4.7"
"72","Golden Tate",NYG,"56","79","70.1","4.4"
"73","Zach Pascal",IND,"65","82","74.1","3.0"
