"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Seattle Seahawks",SEA,"vs. NYJ"," 6.2","A+","8.8","-1.0","40% (6/15)"
"2","New Orleans Saints",NO,"at PHI"," 9.9","A","8.5","+0.6","40% (6/15)"
"3","Los Angeles Rams",LAR,"vs. NE"," 8.2","A-","8.4","+0.9","60% (9/15)"
"4","Carolina Panthers",CAR,"vs. DEN"," 9.9","B+","8.0","-1.4","20% (3/15)"
"5","Tampa Bay Buccaneers",TB,"vs. MIN"," 9.4","B","7.3","+0.9","33% (5/15)"
"6","Baltimore Ravens",BAL,"at CLE"," 2.0","B+","7.2","+1.2","46% (7/15)"
"7","Kansas City Chiefs",KC,"at MIA"," 7.0","B+","6.9","+0.3","43% (7/16)"
"8","San Francisco 49ers",SF,"vs. WAS"," 9.2","B","6.8","-1.8","25% (4/16)"
"9","Washington Football Team",WAS,"at SF"," 7.6","B","6.7","-0.7","33% (5/15)"
"10","Pittsburgh Steelers",PIT,"at BUF"," 4.6","B-","6.6","+1.7","53% (8/15)"
"11","Dallas Cowboys",DAL,"at CIN"," 6.8","B-","6.6","-4.1","13% (2/15)"
"12","Tennessee Titans",TEN,"at JAC"," 7.0","B-","6.4","-1.7","40% (6/15)"
"13","Green Bay Packers",GB,"at DET"," 6.0","C+","6.4","0.0","33% (5/15)"
"14","New England Patriots",NE,"at LAR"," 8.4","C+","6.4","+1.3","26% (4/15)"
"15","Arizona Cardinals",ARI,"at NYG"," 7.2","C","6.3","-0.8","40% (6/15)"
"16","Indianapolis Colts",IND,"at LV"," 5.0","C-","6.3","+2.8","60% (9/15)"
"17","New York Giants",NYG,"vs. ARI"," 5.8","C","6.3","+0.1","40% (6/15)"
"18","Chicago Bears",CHI,"vs. HOU"," 4.0","C-","6.2","-1.3","33% (5/15)"
"19","Houston Texans",HOU,"at CHI"," 8.8","D+","6.2","-1.2","20% (3/15)"
"20","Denver Broncos",DEN,"at CAR"," 5.2","D+","6.2","-0.9","26% (4/15)"
"21","Los Angeles Chargers",LAC,"vs. ATL"," 5.8","D","6.1","-2.2","26% (4/15)"
"22","Cincinnati Bengals",CIN,"vs. DAL"," 8.0","D-","6.1","-3.3","13% (2/15)"
"23","Buffalo Bills",BUF,"vs. PIT"," 2.8","F","6.0","-0.8","33% (5/15)"
"24","Cleveland Browns",CLE,"vs. BAL"," 7.8","F","5.8","-1.0","26% (4/15)"
"25","Atlanta Falcons",ATL,"at LAC"," 2.0","F","5.8","+0.2","46% (7/15)"
"26","Las Vegas Raiders",LV,"vs. IND"," 6.0","F","5.7","-3.0","20% (3/15)"
"27","Minnesota Vikings",MIN,"at TB"," 6.0","F","5.7","+0.7","40% (6/15)"
"28","Miami Dolphins",MIA,"vs. KC"," 2.0","F","5.6","+1.6","46% (7/15)"
"29","Philadelphia Eagles",PHI,"vs. NO"," 5.8","F","5.4","-0.3","46% (7/15)"
"30","New York Jets",NYJ,"at SEA"," 6.6","F","4.9","-1.3","40% (6/15)"
"31","Detroit Lions",DET,"vs. GB"," 2.0","F","4.8","-3.8","6% (1/15)"
"32","Jacksonville Jaguars",JAC,"vs. TEN"," 2.0","F","4.3","-1.6","26% (4/15)"
