"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Russell Wilson",SEA,"vs. NYJ"," 7.4","A+","23.7","+0.4","43% (7/16)","2%","Good"
"2","Patrick Mahomes II",KC,"at MIA"," 3.6","A","22.7","+0.2","47% (8/17)","2%","Good"
"3","Aaron Rodgers",GB,"at DET"," 9.2","A","21.8","+2.0","62% (10/16)","1%","Great"
"4","Ryan Tannehill",TEN,"at JAC"," 7.4","A-","21.1","+4.4","68% (11/16)","2%","Great"
"5","Justin Herbert",LAC,"vs. ATL"," 9.4","B+","20.6","+5.0","72% (8/11)","4%","Average"
"6","Lamar Jackson",BAL,"at CLE"," 6.0","A-","20.1","+0.1","50% (7/14)","5%","Good"
"7","Josh Allen",BUF,"vs. PIT"," 4.8","B+","20.0","+1.9","56% (9/16)","9%","Good"
"8","Deshaun Watson",HOU,"at CHI"," 4.0","B","19.7","+2.5","66% (10/15)","6%","Average"
"9","Tom Brady",TB,"vs. MIN"," 8.2","B","19.5","+1.0","43% (7/16)","3%","Average"
"10","Taysom Hill",NO,"at PHI"," 7.6","B","19.0","+4.1","80% (12/15)","8%","Poor"
"11","Kyler Murray",ARI,"at NYG"," 7.0","B","18.5","+3.2","62% (10/16)","12%","Great"
"12","Ben Roethlisberger",PIT,"at BUF"," 5.8","B-","18.0","+1.1","58% (7/12)","2%","Average"
"13","Philip Rivers",IND,"at LV"," 4.2","C","17.5","+0.4","56% (9/16)","1%","Awful"
"14","Matt Ryan",ATL,"at LAC"," 7.8","C","17.0","-1.6","41% (7/17)","1%","Awful"
"15","Matthew Stafford",DET,"vs. GB"," 7.2","C","16.8","+0.4","50% (6/12)","1%","Average"
"16","Kirk Cousins",MIN,"at TB"," 4.6","C","16.7","+1.1","53% (8/15)","2%","Good"
"17","Mitchell Trubisky",CHI,"vs. HOU"," 7.2","C-","16.4","+0.7","28% (4/14)","2%","Awful"
"18","Derek Carr",LV,"vs. IND"," 3.8","D+","16.2","+1.8","62% (10/16)","3%","Awful"
"19","Teddy Bridgewater",CAR,"vs. DEN"," 3.4","D","16.0","+1.3","50% (7/14)","4%","Average"
"20","Cam Newton",NE,"at LAR"," 4.0","D","15.7","-0.3","72% (8/11)","23%","Awful"
"21","Jared Goff",LAR,"vs. NE"," 5.0","D","15.5","+1.7","62% (10/16)","6%","Average"
"22","Jalen Hurts",PHI,"vs. NO"," 5.2","D","15.3","-0.1","27% (3/11)","0%","Great"
"23","Andy Dalton",DAL,"at CIN"," 9.2","D-","15.1","-0.1","38% (5/13)","1%","Awful"
"24","Tua Tagovailoa",MIA,"vs. KC"," 5.4","F","14.9","-1.5","20% (2/10)","2%","Awful"
"25","Daniel Jones",NYG,"vs. ARI"," 4.8","F","14.7","+0.6","38% (5/13)","1%","Awful"
"26","Baker Mayfield",CLE,"vs. BAL"," 5.0","F","14.3","+0.3","43% (7/16)","3%","Average"
"27","Mike Glennon",JAC,"vs. TEN"," 7.2","F","13.9","+0.1","22% (2/9)","1%","Awful"
"28","Drew Lock",DEN,"at CAR"," 4.2","F","13.6","-0.5","30% (4/13)","5%","Awful"
"29","Nick Mullens",SF,"vs. WAS"," 8.0","F","13.0","0.0","30% (3/10)","1%","Awful"
"30","Sam Darnold",NYJ,"at SEA"," 8.0","F","12.5","-0.1","33% (4/12)","1%","Awful"
"31","Alex Smith",WAS,"at SF"," 7.0","F","12.2","+1.4","44% (4/9)","0%","Awful"
"32","Brandon Allen",CIN,"vs. DAL"," 6.6","F","11.7","-","-","0%","Good"
"33","Jacoby Brissett",IND,"at LV","-","F","2.3","+0.4","33% (5/15)","7%","Great"
"34","Colt McCoy",NYG,"vs. ARI"," 8.4","F","1.0","-0.8","9% (1/11)","2%","Awful"
"35","Ryan Finley",CIN,"vs. DAL","-","F","1.0","-0.6","14% (2/14)","0%","Awful"
"36","Ryan Fitzpatrick",MIA,"vs. KC","-","F","1.0","+1.8","56% (9/16)","6%","Average"
"37","Carson Wentz",PHI,"vs. NO","-","F","0.9","+1.5","56% (9/16)","5%","Average"
"38","Gardner Minshew II",JAC,"vs. TEN","-","F","0.9","+2.1","66% (8/12)","1%","Average"
"39","C.J. Beathard",SF,"vs. WAS","-","F","0.9","+0.2","14% (1/7)","0%","Awful"
"40","Trace McSorley",BAL,"at CLE","-","F","0.9","-","-","0%","Great"
"41","Nick Foles",CHI,"vs. HOU","-","F","0.9","+0.5","30% (4/13)","2%","Awful"
"42","Phillip Walker",CAR,"vs. DEN","-","F","0.9","-0.5","0% (0/9)","2%","Awful"
"43","Jarrett Stidham",NE,"at LAR","-","F","0.9","-0.5","23% (3/13)","1%","Good"
