"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Derrick Henry",TEN,"at JAC"," 6.2","A+","21.2","+1.6","46% (7/15)","22%","Good"
"2","Aaron Jones",GB,"at DET"," 8.8","A+","21.0","+2.8","50% (7/14)","19%","Average"
"3","James Robinson",JAC,"vs. TEN"," 4.8","A+","19.8","+2.6","50% (6/12)","17%","Great"
"4","Dalvin Cook",MIN,"at TB"," 4.4","A","19.2","+2.9","53% (7/13)","25%","Good"
"5","Austin Ekeler",LAC,"vs. ATL"," 4.2","A","18.7","-3.0","33% (4/12)","9%","Awful"
"6","Alvin Kamara",NO,"at PHI"," 5.8","A","18.3","+0.7","50% (8/16)","20%","Good"
"7","David Montgomery",CHI,"vs. HOU"," 9.2","A","17.0","+0.7","33% (5/15)","18%","Poor"
"8","Chris Carson",SEA,"vs. NYJ"," 6.8","A-","16.9","+1.5","60% (6/10)","18%","Great"
"9","Ezekiel Elliott",DAL,"at CIN"," 5.8","A-","15.9","-1.3","43% (7/16)","26%","Awful"
"10","Nick Chubb",CLE,"vs. BAL"," 5.0","A-","15.8","+0.2","50% (6/12)","15%","Great"
"11","Wayne Gallman",NYG,"vs. ARI"," 5.2","A-","14.6","+3.0","66% (8/12)","20%","Average"
"12","Jonathan Taylor",IND,"at LV"," 7.8","B+","14.3","-1.2","40% (4/10)","17%","Poor"
"13","Ronald Jones II",TB,"vs. MIN"," 4.6","B+","14.0","+0.2","50% (8/16)","11%","Average"
"14","Mike Davis",CAR,"vs. DEN"," 6.0","B+","13.8","-0.8","33% (5/15)","17%","Poor"
"15","Kenyan Drake",ARI,"at NYG"," 6.6","B","13.7","+3.0","53% (8/15)","25%","Average"
"16","Melvin Gordon III",DEN,"at CAR"," 7.4","B","13.6","-0.3","53% (8/15)","14%","Great"
"17","J.K. Dobbins",BAL,"at CLE"," 7.2","B","13.5","+1.2","54% (6/11)","8%","Great"
"18","Giovani Bernard",CIN,"vs. DAL"," 6.6","B","13.5","-0.6","50% (8/16)","9%","Average"
"19","Clyde Edwards-Helaire",KC,"at MIA"," 6.8","B","13.4","-2.7","33% (4/12)","14%","Poor"
"20","J.D. McKissic",WAS,"at SF"," 5.8","B","13.2","-0.1","50% (8/16)","9%","Awful"
"21","Kareem Hunt",CLE,"vs. BAL"," 5.0","B","12.8","-0.8","50% (8/16)","17%","Average"
"22","Nyheim Hines",IND,"at LV"," 6.6","B-","12.7","+2.3","43% (7/16)","11%","Great"
"23","James Conner",PIT,"at BUF"," 6.2","B","11.6","-2.8","38% (5/13)","18%","Poor"
"24","Miles Sanders",PHI,"vs. NO"," 2.8","B-","11.4","-1.7","30% (4/13)","9%","Average"
"25","Cam Akers",LAR,"vs. NE"," 6.4","C+","11.3","+0.8","60% (6/10)","16%","Poor"
"26","Raheem Mostert",SF,"vs. WAS"," 7.0","C+","11.1","+2.5","60% (6/10)","6%","Great"
"27","Duke Johnson Jr.",HOU,"at CHI"," 2.8","C","10.8","-1.3","35% (5/14)","6%","Poor"
"28","Jamaal Williams",GB,"at DET"," 8.6","C","10.7","-0.1","42% (6/14)","11%","Awful"
"29","Damien Harris",NE,"at LAR"," 4.4","C","10.1","+0.3","44% (4/9)","8%","Poor"
"30","Devin Singletary",BUF,"vs. PIT"," 5.6","C","10.1","-2.7","40% (6/15)","8%","Awful"
"31","Todd Gurley II",ATL,"at LAC"," 8.6","C","9.2","-0.4","46% (7/15)","17%","Good"
"32","D'Andre Swift",DET,"vs. GB"," 9.0","C+","9.1","+3.6","77% (7/9)","16%","Great"
"33","James White",NE,"at LAR"," 5.2","C","8.9","-1.4","42% (6/14)","5%","Good"
"34","Latavius Murray",NO,"at PHI"," 6.8","C","8.1","+1.3","37% (6/16)","7%","Average"
"35","Chase Edmonds",ARI,"at NYG"," 7.4","C-","8.1","+0.7","33% (5/15)","10%","Average"
"36","Jeff Wilson Jr.",SF,"vs. WAS"," 5.8","C-","8.0","+3.2","30% (3/10)","9%","Great"
"37","Ty Johnson",NYJ,"at SEA"," 8.2","D+","8.0","+0.5","33% (5/15)","13%","Awful"
"38","Adrian Peterson",DET,"vs. GB"," 8.4","D+","7.5","+0.8","50% (8/16)","16%","Average"
"39","Peyton Barber",WAS,"at SF"," 4.0","D","7.3","-0.1","37% (6/16)","11%","Poor"
