"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"at MIA"," 5.2","A+","18.5","+1.5","62% (10/16)","9%","Great"
"2","Darren Waller",LV,"vs. IND"," 3.6","A","16.6","-0.3","37% (6/16)","18%","Average"
"3","T.J. Hockenson",DET,"vs. GB"," 5.2","A","13.4","+0.5","66% (8/12)","17%","Poor"
"4","Robert Tonyan",GB,"at DET"," 7.6","A-","13.2","+2.7","53% (8/15)","7%","Great"
"5","Hunter Henry",LAC,"vs. ATL"," 9.2","B+","11.8","-2.0","37% (6/16)","9%","Poor"
"6","Evan Engram",NYG,"vs. ARI"," 5.8","B","11.6","-1.0","41% (5/12)","9%","Awful"
"7","Rob Gronkowski",TB,"vs. MIN"," 5.2","B","10.5","+0.3","50% (6/12)","11%","Poor"
"8","Eric Ebron",PIT,"at BUF"," 8.4","B","10.4","+0.5","66% (8/12)","12%","Poor"
"9","Mike Gesicki",MIA,"vs. KC"," 6.4","B-","10.4","+0.4","31% (5/16)","11%","Poor"
"10","Noah Fant",DEN,"at CAR"," 5.6","C+","10.4","-0.7","33% (5/15)","8%","Poor"
"11","Dallas Goedert",PHI,"vs. NO"," 5.4","C+","9.6","+0.6","41% (5/12)","7%","Good"
"12","Hayden Hurst",ATL,"at LAC"," 7.6","C","9.4","-0.6","37% (6/16)","7%","Average"
"13","Dalton Schultz",DAL,"at CIN"," 6.2","C","9.3","+1.4","53% (8/15)","7%","Average"
"14","Mark Andrews",BAL,"at CLE"," 6.4","B","9.1","-1.3","42% (6/14)","14%","Good"
"15","Logan Thomas",WAS,"at SF"," 5.4","C-","9.0","+1.2","46% (7/15)","10%","Good"
"16","Jordan Akins",HOU,"at CHI"," 7.2","D+","8.1","+0.4","46% (6/13)","6%","Awful"
"17","Jordan Reed",SF,"vs. WAS"," 6.4","D+","8.0","+0.7","42% (3/7)","6%","Good"
"18","Tyler Higbee",LAR,"vs. NE"," 3.8","D","7.6","+1.2","53% (8/15)","7%","Great"
"19","Trey Burton",IND,"at LV"," 5.4","D-","7.4","+1.5","66% (6/9)","11%","Good"
"20","Tyler Eifert",JAC,"vs. TEN"," 8.6","F","7.1","+0.6","46% (7/15)","12%","Awful"
"21","Austin Hooper",CLE,"vs. BAL"," 3.6","F","7.1","-2.6","35% (5/14)","6%","Poor"
"22","Cole Kmet",CHI,"vs. HOU"," 7.8","D-","7.0","+0.4","25% (3/12)","3%","Great"
"23","Zach Ertz",PHI,"vs. NO"," 5.2","F","6.6","-2.4","20% (2/10)","7%","Awful"
"24","Gerald Everett",LAR,"vs. NE"," 4.0","F","6.4","+1.0","57% (8/14)","4%","Good"
"25","Jacob Hollister",SEA,"vs. NYJ"," 9.0","F","6.4","0.0","25% (4/16)","6%","Awful"
"26","Drew Sample",CIN,"vs. DAL"," 9.0","F","6.1","-0.2","41% (5/12)","5%","Awful"
"27","Jared Cook",NO,"at PHI"," 7.2","F","5.8","+0.1","46% (7/15)","9%","Good"
"28","Mo Alie-Cox",IND,"at LV"," 5.4","F","5.8","+0.6","50% (7/14)","6%","Poor"
"29","Anthony Firkser",TEN,"at JAC"," 8.6","F","5.8","-0.2","40% (6/15)","5%","Awful"
"30","Jonnu Smith",TEN,"at JAC","-","D","5.5","+0.9","60% (9/15)","15%","Great"
"31","Dawson Knox",BUF,"vs. PIT"," 2.4","F","5.2","-0.6","25% (3/12)","6%","Average"
"32","Dan Arnold",ARI,"at NYG"," 5.2","F","5.2","+1.3","53% (8/15)","7%","Good"
"33","Irv Smith Jr.",MIN,"at TB","-","F","4.9","0.0","30% (4/13)","9%","Poor"
"34","Will Dissly",SEA,"vs. NYJ"," 8.4","F","4.8","0.0","41% (5/12)","4%","Awful"
"35","Jimmy Graham",CHI,"vs. HOU"," 7.0","F","4.8","+0.5","37% (6/16)","14%","Poor"
"36","Cameron Brate",TB,"vs. MIN"," 4.8","F","4.8","+1.0","56% (9/16)","4%","Good"
"37","Darren Fells",HOU,"at CHI"," 6.6","F","4.6","-1.1","18% (3/16)","3%","Great"
"38","Jack Doyle",IND,"at LV"," 5.8","F","4.4","-2.7","21% (3/14)","3%","Great"
"39","Harrison Bryant",CLE,"vs. BAL"," 4.6","F","4.3","-0.4","25% (3/12)","5%","Great"
"40","Ian Thomas",CAR,"vs. DEN"," 5.0","F","4.0","-1.2","25% (4/16)","3%","Poor"
"41","Chris Herndon IV",NYJ,"at SEA"," 4.8","F","4.0","-3.3","8% (1/12)","3%","Great"
"42","James O'Shaughnessy",JAC,"vs. TEN"," 9.8","F","3.8","+0.1","54% (6/11)","3%","Awful"
"43","Adam Shaheen",MIA,"vs. KC"," 6.4","F","3.6","+0.6","33% (4/12)","10%","Average"
"44","Jesse James",DET,"vs. GB"," 5.4","F","3.6","-0.4","25% (4/16)","5%","Good"
"45","David Njoku",CLE,"vs. BAL"," 4.8","F","3.6","-1.0","20% (2/10)","4%","Great"
"46","Durham Smythe",MIA,"vs. KC"," 7.2","F","3.5","+0.9","64% (9/14)","4%","Good"
"47","Maxx Williams",ARI,"at NYG"," 5.2","F","3.5","-0.1","33% (4/12)","7%","Average"
"48","Ross Dwelley",SF,"vs. WAS"," 6.8","F","3.4","+0.4","31% (5/16)","3%","Poor"
"49","Adam Trautman",NO,"at PHI"," 8.2","F","3.3","-0.1","41% (5/12)","2%","Great"
"50","Luke Willson",BAL,"at CLE"," 7.0","F","3.2","-1.3","0% (0/13)","8%","Awful"
"51","Donald Parham Jr.",LAC,"vs. ATL"," 9.2","F","3.2","+0.3","25% (3/12)","8%","Average"
"52","Geoff Swaim",TEN,"at JAC"," 7.6","F","3.1","-0.1","27% (3/11)","2%","Awful"
"53","Tyler Conklin",MIN,"at TB"," 4.4","F","3.0","-0.4","13% (2/15)","2%","Awful"
"54","Nick Vannett",DEN,"at CAR"," 5.4","F","2.8","-0.3","33% (5/15)","3%","Awful"
"55","Kyle Rudolph",MIN,"at TB"," 4.2","F","2.7","-1.3","43% (7/16)","5%","Awful"
"56","Marcedes Lewis",GB,"at DET"," 7.2","F","2.7","+0.2","28% (4/14)","5%","Great"
"57","Ryan Griffin",NYJ,"at SEA"," 4.2","F","2.6","-1.3","33% (4/12)","0%","Awful"
"58","Jason Witten",LV,"vs. IND"," 4.6","F","2.6","+0.1","31% (5/16)","6%","Average"
"59","Dalton Keene",NE,"at LAR"," 4.4","F","2.5","-","-","0%","Awful"
"60","Foster Moreau",LV,"vs. IND"," 3.8","F","2.5","-0.5","23% (3/13)","6%","Average"
"61","MyCole Pruitt",TEN,"at JAC"," 7.6","F","2.5","+0.2","41% (5/12)","9%","Great"
"62","Kaden Smith",NYG,"vs. ARI"," 4.8","F","2.5","+0.2","25% (4/16)","3%","Awful"
"63","Devin Asiasi",NE,"at LAR","-","F","2.5","-1.6","0% (0/6)","0%","N/A"
"64","Charlie Woerner",SF,"vs. WAS"," 6.8","F","2.3","-0.6","8% (1/12)","3%","Awful"
"65","Chris Manhertz",CAR,"vs. DEN"," 5.2","F","2.3","-0.7","33% (5/15)","0%","N/A"
"66","Kahale Warring",HOU,"at CHI"," 7.0","F","2.3","-1.4","0% (0/9)","7%","Awful"
"67","Blake Bell",DAL,"at CIN"," 6.0","F","2.2","0.0","31% (5/16)","3%","Awful"
"68","Nick Keizer",KC,"at MIA"," 5.4","F","2.2","-0.4","22% (2/9)","1%","Awful"
"69","Vance McDonald",PIT,"at BUF"," 8.0","F","2.2","-1.9","6% (1/15)","1%","Awful"
"70","Cethan Carter",CIN,"vs. DAL"," 9.0","F","2.2","+0.2","18% (2/11)","1%","Awful"
"71","Jaeden Graham",ATL,"at LAC"," 7.6","F","2.1","-1.5","6% (1/15)","0%","N/A"
"72","Deon Yelder",KC,"at MIA"," 5.4","F","2.1","-0.3","20% (3/15)","0%","N/A"
"73","Luke Stocker",ATL,"at LAC"," 7.6","F","2.1","-0.9","20% (3/15)","3%","Awful"
"74","Lee Smith",BUF,"vs. PIT"," 3.6","F","2.1","-0.8","7% (1/13)","8%","Poor"
"75","Richard Rodgers",PHI,"vs. NO"," 6.0","F","2.1","+2.1","58% (7/12)","5%","Good"
"76","Tyler Kroft",BUF,"vs. PIT","-","F","2.1","+1.0","35% (5/14)","7%","Great"
"77","Colin Thompson",CAR,"vs. DEN"," 5.2","F","2.0","-","-","2%","Great"
"78","Josh Hill",NO,"at PHI"," 7.4","F","1.9","0.0","26% (4/15)","3%","Average"
"79","Levine Toilolo",NYG,"vs. ARI"," 5.8","F","1.9","-0.9","13% (2/15)","0%","N/A"
"80","Eric Saubert",JAC,"vs. TEN"," 8.8","F","1.9","-0.4","9% (1/11)","0%","N/A"
"81","Hunter Bryant",DET,"vs. GB"," 5.2","F","1.8","-1.6","0% (0/6)","0%","N/A"
"82","Troy Fumagalli",DEN,"at CAR"," 5.6","F","1.8","-","-","5%","Awful"
"83","Demetrius Harris",CHI,"vs. HOU"," 7.4","F","1.8","-0.8","21% (3/14)","2%","Awful"
"84","Pharaoh Brown",HOU,"at CHI"," 7.0","F","1.5","-","-","4%","Average"
"85","Colby Parkinson",SEA,"vs. NYJ","-","F","1.5","-1.6","0% (0/5)","0%","N/A"
"86","Jeremy Sprinkle",WAS,"at SF"," 5.4","F","1.4","-1.1","6% (1/16)","0%","N/A"
"87","Johnny Mundt",LAR,"vs. NE"," 4.0","F","1.3","-0.1","20% (2/10)","3%","Awful"
"88","Gabe Nabers",LAC,"vs. ATL"," 9.2","F","1.3","-","-","6%","Great"
"89","Stephen Anderson",LAC,"vs. ATL"," 9.2","F","1.3","-0.3","0% (0/6)","0%","Awful"
"90","Mason Schreck",CIN,"vs. DAL"," 9.0","F","1.3","-","-","0%","N/A"
"91","Seth DeValve",ARI,"at NYG"," 5.2","F","1.2","-","-","0%","N/A"
"92","Andrew Beck",DEN,"at CAR","-","F","1.1","-0.6","15% (2/13)","0%","N/A"
"93","J.P. Holtz",CHI,"vs. HOU"," 7.4","F","1.1","-0.3","6% (1/15)","0%","N/A"
"94","Brandon Dillon",MIN,"at TB"," 4.4","F","1.0","-","-","0%","N/A"
"95","Derek Carrier",LV,"vs. IND"," 3.8","F","0.9","-0.8","13% (2/15)","0%","Awful"
"96","Daniel Brown",NYJ,"at SEA"," 5.0","F","0.9","-0.8","11% (1/9)","0%","N/A"
"97","Sean McKeon",DAL,"at CIN"," 6.0","F","0.8","-0.6","0% (0/7)","0%","N/A"
"98","Antony Auclair",TB,"vs. MIN","-","F","0.7","-0.9","0% (0/11)","0%","N/A"
"99","Stephen Carlson",CLE,"vs. BAL"," 4.4","F","0.6","-0.5","20% (3/15)","2%","Awful"
"100","Tanner Hudson",TB,"vs. MIN","-","F","0.6","-","-","4%","Awful"
"101","Eric Tomlinson",BAL,"at CLE","-","F","0.6","-1.0","0% (0/8)","0%","N/A"
"102","Tyler Davis",JAC,"vs. TEN","-","F","-","-","-","0%","N/A"
"103","Sean Culkin",BAL,"at CLE","-","F","-","-","-","0%","N/A"
