"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Davante Adams",GB,"at DET"," 5.6","A+","24.5","+2.6","64% (9/14)","24%","Good"
"2","Tyreek Hill",KC,"at MIA"," 5.0","A+","20.9","+2.4","56% (9/16)","19%","Good"
"3","D.K. Metcalf",SEA,"vs. NYJ"," 8.0","A+","19.4","+1.1","50% (8/16)","14%","Good"
"4","Keenan Allen",LAC,"vs. ATL"," 7.8","A+","18.9","+0.1","50% (8/16)","11%","Average"
"5","Calvin Ridley",ATL,"at LAC"," 5.6","A+","18.8","-0.5","45% (5/11)","24%","Poor"
"6","A.J. Brown",TEN,"at JAC"," 7.2","A+","18.7","+3.4","71% (10/14)","8%","Great"
"7","Allen Robinson II",CHI,"vs. HOU"," 8.0","A","18.7","-0.5","43% (7/16)","17%","Poor"
"8","Adam Thielen",MIN,"at TB"," 6.2","A","18.3","-0.3","42% (6/14)","20%","Good"
"9","DeAndre Hopkins",ARI,"at NYG"," 8.0","A","17.2","-2.1","53% (8/15)","14%","Average"
"10","Justin Jefferson",MIN,"at TB"," 6.4","A","17.1","+4.0","58% (7/12)","11%","Good"
"11","Michael Thomas",NO,"at PHI"," 7.2","A","17.1","-3.3","50% (5/10)","16%","Awful"
"12","Stefon Diggs",BUF,"vs. PIT"," 5.2","A","17.0","-1.7","31% (5/16)","9%","Poor"
"13","Tyler Lockett",SEA,"vs. NYJ"," 7.4","A","16.9","-1.2","31% (5/16)","14%","Average"
"14","Robby Anderson",CAR,"vs. DEN"," 5.4","A","16.8","+0.1","50% (8/16)","9%","Awful"
"15","Diontae Johnson",PIT,"at BUF"," 5.0","A","16.7","+1.8","53% (8/15)","11%","Average"
"16","Terry McLaurin",WAS,"at SF"," 5.4","A","16.7","-0.1","40% (6/15)","10%","Poor"
"17","Robert Woods",LAR,"vs. NE"," 6.0","A-","16.6","+0.6","50% (8/16)","12%","Good"
"18","Chris Godwin",TB,"vs. MIN"," 8.0","A-","16.0","-0.9","50% (5/10)","7%","Average"
"19","Corey Davis",TEN,"at JAC"," 5.4","A-","15.9","+2.1","53% (8/15)","9%","Average"
"20","Mike Evans",TB,"vs. MIN"," 7.4","A-","15.4","+0.3","66% (8/12)","14%","Good"
"21","Cooper Kupp",LAR,"vs. NE"," 7.2","A-","15.4","-1.6","43% (7/16)","12%","Awful"
"22","Amari Cooper",DAL,"at CIN"," 9.6","B+","15.2","-1.2","37% (6/16)","12%","Poor"
"23","JuJu Smith-Schuster",PIT,"at BUF"," 4.8","B","15.1","-1.0","50% (7/14)","11%","Good"
"24","DeVante Parker",MIA,"vs. KC"," 6.2","B","15.1","-1.2","43% (7/16)","13%","Poor"
