"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Los Angeles Rams",LAR,"1","2","1.3","0.4"
"2","Pittsburgh Steelers",PIT,"1","4","1.8","0.5"
"3","Baltimore Ravens",BAL,"2","9","3.5","1.2"
"4","Buffalo Bills",BUF,"2","12","5.2","1.7"
"5","Cleveland Browns",CLE,"3","20","5.4","1.5"
"6","Miami Dolphins",MIA,"3","17","6.0","2.0"
"7","Indianapolis Colts",IND,"2","15","7.8","1.8"
"8","Tampa Bay Buccaneers",TB,"4","16","9.0","2.0"
"9","Seattle Seahawks",SEA,"3","18","9.2","3.0"
"10","San Francisco 49ers",SF,"4","20","9.7","2.2"
"11","Tennessee Titans",TEN,"5","21","10.5","3.0"
"12","Chicago Bears",CHI,"9","22","13.1","2.2"
"13","Washington Football Team",WAS,"6","21","13.5","2.3"
"14","New England Patriots",NE,"6","22","13.6","2.9"
"15","Green Bay Packers",GB,"7","25","14.2","2.5"
"16","Minnesota Vikings",MIN,"8","21","16.0","2.1"
"17","New York Giants",NYG,"9","26","17.4","2.3"
"18","Arizona Cardinals",ARI,"3","25","17.6","3.3"
"19","Kansas City Chiefs",KC,"7","24","18.0","2.4"
"20","Dallas Cowboys",DAL,"13","29","20.4","2.9"
"21","New Orleans Saints",NO,"11","28","21.5","2.9"
"22","Philadelphia Eagles",PHI,"13","26","21.6","2.0"
"23","Denver Broncos",DEN,"18","27","23.5","1.5"
"24","Atlanta Falcons",ATL,"16","30","23.8","2.1"
"25","Las Vegas Raiders",LV,"19","26","24.2","2.0"
"26","Los Angeles Chargers",LAC,"12","32","24.5","2.4"
"27","Houston Texans",HOU,"19","30","27.1","1.6"
"28","New York Jets",NYJ,"20","31","27.7","1.1"
"29","Cincinnati Bengals",CIN,"19","32","28.7","2.0"
"30","Jacksonville Jaguars",JAC,"15","32","30.1","1.4"
"31","Carolina Panthers",CAR,"27","32","30.8","1.2"
"32","Detroit Lions",DET,"28","32","31.1","0.8"
