RK,PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
1,Derrick Henry,TEN,1,4,1.1,0.2
2,Jonathan Taylor,IND,1,4,2.2,0.5
3,David Montgomery,CHI,2,8,3.2,0.9
4,Austin Ekeler,LAC,1,10,4.2,1.2
5,Aaron Jones,GB,3,15,6.2,2.4
6,Nick Chubb,CLE,3,14,7,2.4
7,Melvin Gordon III,DEN,5,17,7.3,2.1
8,Myles Gaskin,MIA,3,16,8.7,1.9
9,D'Andre Swift,DET,5,19,9.8,2.3
10,Josh Jacobs,LV,6,17,10.1,2.9
11,David Johnson,HOU,4,17,10.4,1.8
12,Jeff Wilson Jr.,SF,6,18,11.3,2
13,Chris Carson,SEA,5,18,13.8,2.1
14,Antonio Gibson,WAS,6,28,14.4,3.1
15,Ezekiel Elliott,DAL,7,19,14.7,2.6
16,J.K. Dobbins,BAL,5,23,15.5,3
17,Kareem Hunt,CLE,15,28,17.7,2.8
18,Kenyan Drake,ARI,12,26,19.1,2.6
19,Ronald Jones II,TB,11,29,20.4,3.3
20,Giovani Bernard,CIN,15,27,20.9,2.6
21,J.D. McKissic,WAS,4,30,20.9,2.8
22,Nyheim Hines,IND,19,32,23.4,2.1
23,Malcolm Brown,LAR,14,35,24.4,4.7
24,Wayne Gallman,NYG,18,33,24.9,2.5
25,Dare Ogunbowale,JAC,20,43,29.4,3.8
26,Gus Edwards,BAL,18,42,29.7,3
27,Alexander Mattison,MIN,3,90,29.1,17.2
28,Ty Johnson,NYJ,12,50,31,7.4
29,James Conner,PIT,24,47,32.2,5.3
30,Tony Pollard,DAL,25,48,32.4,4.4
31,Darrel Williams,KC,22,49,34.4,5.7
32,Boston Scott,PHI,20,65,34.6,12.5
33,Devin Singletary,BUF,28,44,34.8,3
34,Leonard Fournette,TB,17,55,34.4,8.1
35,James White,NE,30,47,36.7,4
36,Zack Moss,BUF,29,44,36.7,2.9
37,Sony Michel,NE,28,49,37,4.3
38,Ito Smith,ATL,33,44,38,2.8
39,Ty Montgomery,NO,11,90,30.2,16.2
40,Chase Edmonds,ARI,33,92,41.5,9.2
41,Lynn Bowden Jr.,MIA,34,59,41.2,5.6
42,Samaje Perine,CIN,27,57,46,3.6
43,Darwin Thompson,KC,20,81,46.5,12.8
44,Rodney Smith,CAR,25,69,45.3,11.1
45,Le'Veon Bell,KC,27,74,43.5,9.9
46,Salvon Ahmed,MIA,42,64,48,4.1
47,Todd Gurley II,ATL,40,61,47.7,3.9
48,Benny Snell Jr.,PIT,32,63,48.2,6.8
49,AJ Dillon,GB,19,72,48.4,11
50,Devine Ozigbo,JAC,43,65,50.4,4.1
51,Devontae Booker,LV,37,61,52.5,4.6
52,Adrian Peterson,DET,38,62,51.7,4.3
53,Mike Boone,MIN,26,87,52,13.2
54,Jerick McKinnon,SF,42,63,51.8,4
55,Kalen Ballage,LAC,45,66,55.2,5
56,Royce Freeman,DEN,44,77,56.4,4.7
57,Brian Hill,ATL,46,69,56.8,5.4
58,Jamaal Williams,GB,39,76,54.3,10.3
59,Kyle Juszczyk,SF,40,70,57.5,4.2
60,Alfred Morris,NYG,45,71,60.9,6.6
61,Ameer Abdullah,MIN,30,79,58.4,12.7
62,Ke'Shawn Vaughn,TB,42,77,61.6,7.5
63,Tevin Coleman,SF,47,71,60.6,5.6
64,Darrynton Evans,TEN,56,74,62.1,3.8
65,Rashaad Penny,SEA,37,74,62.6,7.9
66,LeSean McCoy,TB,50,81,64.7,6.7
67,Kerryon Johnson,DET,55,82,68.6,4.9
68,Cam Akers,LAR,24,90,46.9,19
69,Peyton Barber,WAS,58,80,70.5,4.3
70,Dion Lewis,NYG,63,78,69.3,3.7
71,Josh Adams,NYJ,48,90,70.5,10.2
72,Duke Johnson Jr.,HOU,53,89,68.1,7.5
73,Trayveon Williams,CIN,64,79,72.3,3.3
74,Jordan Wilkins,IND,59,83,70.1,4.3
75,Jalen Richard,LV,59,91,69.7,6.8
76,Trenton Cannon,CAR,35,87,68.8,8.4
77,Matt Breida,MIA,59,97,76.8,6.3
78,Buddy Howell,HOU,64,92,78.1,7.4
79,Jordan Howard,PHI,41,95,73.4,15.1
80,Jaylen Samuels,PIT,56,88,76,6
81,Jeremy McNichols,TEN,75,86,81.3,2.7
82,Mike Davis,CAR,20,78,44.4,22
83,J.J. Taylor,NE,59,90,75.8,8.6
84,Alec Ingold,LV,76,87,80.9,3
85,Justice Hill,BAL,76,94,82.9,5.2
86,Raymond Calais,LAR,54,95,83.1,8.2
87,Justin Jackson,LAC,68,92,84,5.9
88,Joshua Kelley,LAC,64,94,83.1,7
89,D'Ernest Johnson,CLE,78,95,86.3,4.6
90,Xavier Jones,LAR,60,96,82.5,6.4
91,Patrick Ricard,BAL,76,88,82.8,3.2
92,Corey Clement,PHI,74,97,82.1,7.2
93,Keith Smith,ATL,72,93,87.6,3.3
94,Jakob Johnson,NE,83,95,89.8,3.1
95,Devonta Freeman,NYG,76,98,90.9,6.1
97,Anthony McFarland Jr.,PIT,49,97,88.8,10.7
98,Patrick Laird,MIA,71,98,92.8,4.1
99,Tony Jones Jr.,NO,62,99,85.6,8.2
100,Alex Armah,CAR,76,99,94.5,3.9
101,Michael Burton,NO,85,96,91.3,4.5
102,Artavis Pierce,CHI,74,100,94.8,7.9
103,Theo Riddick,LV,83,102,95.6,7.5
104,LeVante Bellamy,DEN,85,100,95.8,4.4
105,C.J. Ham,MIN,81,96,88.5,7.5
106,Craig Reynolds,JAC,89,102,97.4,5.1
107,Ryan Nall,CHI,80,103,91.5,11.5
108,Rico Dowdle,DAL,72,101,98.8,3
