RK,PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
1,Davante Adams,GB,1,3,1.1,0.2
2,Calvin Ridley,ATL,1,6,2.4,0.7
3,A.J. Brown,TEN,2,9,4.1,1.4
4,Justin Jefferson,MIN,1,9,4.7,1.2
5,DeAndre Hopkins,ARI,2,11,5.4,2.4
6,Allen Robinson II,CHI,3,12,7.7,1.7
7,D.K. Metcalf,SEA,4,11,7.7,1.6
8,Adam Thielen,MIN,4,13,7.7,1.9
9,Stefon Diggs,BUF,2,28,8,5.4
10,Mike Evans,TB,4,19,9,2
11,Brandin Cooks,HOU,8,19,12,1.8
12,Chris Godwin,TB,7,20,12.5,2.4
13,D.J. Moore,CAR,9,23,12.7,2
14,Corey Davis,TEN,1,26,15,2.3
15,Amari Cooper,DAL,2,27,15.7,2.4
16,Robert Woods,LAR,7,30,16.1,3.8
17,Emmanuel Sanders,NO,15,36,18.9,2.6
18,T.Y. Hilton,IND,10,33,19.6,3.6
19,Robby Anderson,CAR,14,35,20,3.9
20,Marvin Jones Jr.,DET,13,37,20.6,4.3
21,Jarvis Landry,CLE,12,32,21.6,3.4
22,Curtis Samuel,CAR,11,32,21.9,3.8
23,Marquise Brown,BAL,11,41,23.3,3.4
24,Tyler Lockett,SEA,14,39,24.2,5
25,Nelson Agholor,LV,17,35,25.8,4.3
26,Antonio Brown,TB,16,38,27.6,4.4
27,CeeDee Lamb,DAL,13,36,28,2.8
28,Tee Higgins,CIN,17,38,28.5,3.4
29,Jamison Crowder,NYJ,18,38,29.2,4.5
30,Russell Gage,ATL,20,40,30.3,3.5
31,Diontae Johnson,PIT,12,58,30.6,8.9
32,Sterling Shepard,NYG,24,42,30.6,2.9
33,Keke Coutee,HOU,28,47,34.2,2.7
34,Michael Gallup,DAL,24,51,35.7,4.3
35,Mike Williams,LAC,23,49,38,4.3
36,JuJu Smith-Schuster,PIT,24,57,38.8,6.3
37,Jerry Jeudy,DEN,26,52,39,4.4
38,Tim Patrick,DEN,31,55,37.4,4.6
39,Laviska Shenault Jr.,JAC,22,64,41.2,8
40,Rashard Higgins,CLE,14,53,40.5,4.1
41,Jakobi Meyers,NE,28,65,43.1,5.8
42,DeVante Parker,MIA,26,77,41.8,6.8
43,Darius Slayton,NYG,31,54,44.5,3.5
44,Chase Claypool,PIT,29,64,42.5,7.8
45,Darnell Mooney,CHI,36,55,47.2,3.4
46,Zach Pascal,IND,30,60,49.2,5.3
47,Allen Lazard,GB,35,61,45.4,4.2
48,Chad Hansen,HOU,36,68,49.3,4.7
49,Terry McLaurin,WAS,11,77,43.3,19.1
50,Mecole Hardman,KC,21,61,49.7,8.1
51,Jalen Reagor,PHI,43,67,53.5,5.2
52,A.J. Green,CIN,37,73,54.5,6.8
53,Jalen Guyton,LAC,39,69,55,4.1
54,Keelan Cole Sr.,JAC,40,73,56.9,6.8
55,Michael Pittman Jr.,IND,43,90,55.4,7.6
56,Josh Reynolds,LAR,39,76,57.6,9.9
57,Denzel Mims,NYJ,46,67,56.5,5
58,John Brown,BUF,31,94,56,9.6
59,Gabriel Davis,BUF,36,74,58.7,8.6
60,Marquez Valdes-Scantling,GB,44,84,62.4,6.9
61,Hunter Renfrow,LV,51,72,61.7,3.9
62,Tyron Johnson,LAC,44,87,65.7,9.5
63,Danny Amendola,DET,42,73,60.6,5.1
64,Breshad Perriman,NYJ,51,77,63.3,4.8
65,Kendrick Bourne,SF,41,71,61.9,5.3
66,Demarcus Robinson,KC,48,78,66.6,8.2
67,Cam Sims,WAS,38,85,71.2,8.6
68,Marquez Callaway,NO,46,87,66.4,7.3
69,Richie James Jr.,SF,43,83,69,10.3
70,Henry Ruggs III,LV,46,88,69.8,6.6
71,Mohamed Sanu,DET,62,90,70.6,5.4
72,James Washington,PIT,49,92,71.9,8.4
73,Tyler Boyd,CIN,22,97,61.2,22.8
74,Steven Sims,WAS,64,89,73.8,4.8
75,Greg Ward,PHI,52,97,72.3,5.8
76,Larry Fitzgerald,ARI,52,81,71.4,4.8
77,Anthony Miller,CHI,56,83,75.6,4.3
78,Damiere Byrd,NE,41,83,74,4.9
79,Alshon Jeffery,PHI,63,104,79,9
80,David Moore,SEA,68,89,83.3,3.6
81,Alex Erickson,CIN,42,95,81.1,8.8
