Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2222899495,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),DJ Chark Jr. (15355866) (LOCKED),Corey Davis (15355960) (LOCKED),Diontae Johnson (15355932) (LOCKED),Jonnu Smith (15356204) (LOCKED),Kenyan Drake (15355616),Bills (15356387) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2222899496,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),Jalen Reagor (15355956) (LOCKED),Robert Woods (15355852) (LOCKED),Tyler Higbee (15356194) (LOCKED),Kenyan Drake (15355616),Broncos (15356402) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2222899497,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),Parris Campbell (15355930) (LOCKED),Corey Davis (15355960) (LOCKED),Adam Thielen (15355836) (LOCKED),Tyler Eifert (15356248) (LOCKED),Derrick Henry (15355598) (LOCKED),Panthers (15356407) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2222899498,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),DJ Chark Jr. (15355866) (LOCKED),Corey Davis (15355960) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Jordan Reed (15356288) (LOCKED),David Johnson (15355618),Bears (15356389) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2222899499,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Diontae Johnson (15355932) (LOCKED),Sammy Watkins (15355910),Mike Williams (15355946),Hunter Henry (15356190),Aaron Jones (15355604) (LOCKED),Rams (15356398) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2222899500,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Marvin Jones Jr. (15355880) (LOCKED),Allen Lazard (15355890) (LOCKED),Marquez Valdes-Scantling (15355926) (LOCKED),Chris Herndon (15356226) (LOCKED),Kenyan Drake (15355616),Chargers (15356410),,
2222899501,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),DeSean Jackson (15355896) (LOCKED),Van Jefferson Jr. (15356144) (LOCKED),Diontae Johnson (15355932) (LOCKED),Tyler Higbee (15356194) (LOCKED),Aaron Jones (15355604) (LOCKED),Bears (15356389) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2222899502,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),Keelan Cole (15355942) (LOCKED),Allen Robinson II (15355850) (LOCKED),Jonnu Smith (15356204) (LOCKED),Kenyan Drake (15355616),Cowboys (15356399) (LOCKED),,RB,Christian McCaffrey (15355592) (LOCKED),Christian McCaffrey,15355592,RB/FLEX,10000,In Progress,CAR,28.5
2222899503,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Keenan Allen (15355878),Tyreek Hill (15355832),Mike Williams (15355946),Jordan Reed (15356288) (LOCKED),Kenyan Drake (15355616),Cowboys (15356399) (LOCKED),,RB,Saquon Barkley (15355594) (LOCKED),Saquon Barkley,15355594,RB/FLEX,8400,In Progress,NYG,12.6
2222899504,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Matthew Stafford (15355533) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),Quintez Cephus (15355974) (LOCKED),Marquez Valdes-Scantling (15355926) (LOCKED),T.J. Hockenson (15356188) (LOCKED),Kenyan Drake (15355616),Bears (15356389) (LOCKED),,RB,Ezekiel Elliott (15355596) (LOCKED),Ezekiel Elliott,15355596,RB/FLEX,8200,In Progress,DAL,27.7
2222899505,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Darnell Mooney (15356158) (LOCKED),Adam Thielen (15355836) (LOCKED),Irv Smith Jr. (15356252) (LOCKED),Kenyan Drake (15355616),Packers (15356393) (LOCKED),,QB,Lamar Jackson (15355524),Lamar Jackson,15355524,QB,8200,BAL@HOU 09/20/2020 04:25PM ET,BAL,27.5
2222899506,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526) (LOCKED),Kenyan Drake (15355616),Ezekiel Elliott (15355596) (LOCKED),Davante Adams (15355828) (LOCKED),Quintez Cephus (15355974) (LOCKED),Marquez Valdes-Scantling (15355926) (LOCKED),Jordan Reed (15356288) (LOCKED),David Johnson (15355618),49ers (15356386) (LOCKED),,WR,Davante Adams (15355828) (LOCKED),Davante Adams,15355828,WR/FLEX,8100,In Progress,GB,44.6
2222899507,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Kalif Raymond (15356136) (LOCKED),Robert Woods (15355852) (LOCKED),Tyler Eifert (15356248) (LOCKED),Kenyan Drake (15355616),49ers (15356386) (LOCKED),,RB,Derrick Henry (15355598) (LOCKED),Derrick Henry,15355598,RB/FLEX,7900,In Progress,TEN,19.1
2222899508,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),DeSean Jackson (15355896) (LOCKED),Van Jefferson Jr. (15356144) (LOCKED),Zach Ertz (15356184) (LOCKED),Kenyan Drake (15355616),Ravens (15356390),,WR,DeAndre Hopkins (15355830),DeAndre Hopkins,15355830,WR/FLEX,7700,WAS@ARI 09/20/2020 04:05PM ET,ARI,32.1
2222899509,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),Scotty Miller (15355958) (LOCKED),DJ Moore (15355856) (LOCKED),O.J. Howard (15356210) (LOCKED),Kenyan Drake (15355616),Eagles (15356400) (LOCKED),,QB,Patrick Mahomes (15355525),Patrick Mahomes,15355525,QB,7700,KC@LAC 09/20/2020 04:25PM ET,KC,20.44
2222899510,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Justin Jefferson (15355934) (LOCKED),Diontae Johnson (15355932) (LOCKED),Mo Alie-Cox (15356244) (LOCKED),Aaron Jones (15355604) (LOCKED),Packers (15356393) (LOCKED),,RB,Dalvin Cook (15355600) (LOCKED),Dalvin Cook,15355600,RB/FLEX,7600,In Progress,MIN,21.8
2222899511,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Braxton Berrios (15356168) (LOCKED),Miles Boykin (15355952),Marquise Brown (15355862),Jordan Akins (15356230),Kenyan Drake (15355616),Vikings (15356394) (LOCKED),,WR,Tyreek Hill (15355832),Tyreek Hill,15355832,WR/FLEX,7500,KC@LAC 09/20/2020 04:25PM ET,KC,15.6
