Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Ezekiel Elliott",DAL,ATL,"Sun 01:00 EDT",RB,43.1%,8600,RB,29.3%,8200
"Derrick Henry",TEN,JAC,"Sun 01:00 EDT",RB,35.4%,8300,RB,24.0%,7900
"Jonathan Taylor",IND,MIN,"Sun 01:00 EDT",RB,27.5%,5800,RB,27.3%,5700
"Davante Adams",GB,DET,"Sun 01:00 EDT",WR,23.2%,8600,WR,23.1%,8100
"Kenyan Drake",ARI,WAS,"Sun 04:05 EDT",RB,20.3%,6600,RB,11.1%,5900
"Amari Cooper",DAL,ATL,"Sun 01:00 EDT",WR,19.7%,7000,WR,13.4%,6300
"Mark Andrews",BAL,HOU,"Sun 04:25 EDT",TE,16.1%,7500,TE,13.5%,6300
"Travis Kelce",KC,LAC,"Sun 04:25 EDT",TE,14.2%,7800,TE,8.4%,7000
"Dak Prescott",DAL,ATL,"Sun 01:00 EDT",QB,14.0%,8300,QB,14.8%,6800
"Kyler Murray",ARI,WAS,"Sun 04:05 EDT",QB,13.9%,8000,QB,15.8%,6100
"CeeDee Lamb",DAL,ATL,"Sun 01:00 EDT",WR,13.7%,5200,WR,14.3%,4700
"Clyde Edwards-Helaire",KC,LAC,"Sun 04:25 EDT",RB,13.3%,8000,RB,14.5%,7400
"Lamar Jackson",BAL,HOU,"Sun 04:25 EDT",QB,13.0%,9500,QB,8.7%,8200
"Mike Evans",TB,CAR,"Sun 01:00 EDT",WR,12.7%,7400,WR,13.4%,6400
"Michael Gallup",DAL,ATL,"Sun 01:00 EDT",WR,12.3%,6000,WR,12.1%,5600
"Christian McCaffrey",CAR,TB,"Sun 01:00 EDT",RB,11.7%,10500,RB,12.3%,10000
"Christian Kirk",ARI,WAS,"Sun 04:05 EDT",WR,11.7%,5700,WR,14.5%,4300
"Scott Miller",TB,CAR,"Sun 01:00 EDT",WR,11.7%,5200,WR,14.3%,4100
"Julio Jones",ATL,DAL,"Sun 01:00 EDT",WR,11.0%,8200,WR,11.3%,7400
"Matt Ryan",ATL,DAL,"Sun 01:00 EDT",QB,10.6%,7700,QB,10.7%,6600
"T.Y. Hilton",IND,MIN,"Sun 01:00 EDT",WR,10.5%,6300,WR,10.9%,5700
"DeAndre Hopkins",ARI,WAS,"Sun 04:05 EDT",WR,10.4%,8300,WR,10.6%,7700
"Diontae Johnson",PIT,DEN,"Sun 01:00 EDT",WR,10.1%,5800,WR,12.6%,4500
"Ronald Jones",TB,CAR,"Sun 01:00 EDT",RB,9.6%,5900,RB,10.6%,5200
"Parris Campbell",IND,MIN,"Sun 01:00 EDT",WR,9.6%,5300,WR,14.5%,4500
"Aaron Rodgers",GB,DET,"Sun 01:00 EDT",QB,9.4%,7900,QB,9.3%,6900
"Corey Davis",TEN,JAC,"Sun 01:00 EDT",WR,8.8%,4900,WR,10.0%,4000
