Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Lamar Jackson,BAL,HOU,1,3,1.1,0.3,25.0,0.09
2,Dak Prescott,DAL,ATL,1,8,2.7,1.2,24.2,1.44
3,Patrick Mahomes II,KC,LAC,1,14,2.9,1.1,22.8,1.2100000000000002
4,Josh Allen,BUF,MIA,1,10,5.0,1.6,21.8,2.5600000000000005
5,Kyler Murray,ARI,WAS,2,9,5.2,1.3,20.8,0.8450000000000001
6,Russell Wilson,SEA,NE,2,14,6.6,1.9,20.1,1.805
7,Aaron Rodgers,GB,DET,2,12,6.8,1.7,19.8,1.4449999999999998
8,Matt Ryan,ATL,DAL,3,12,7.1,1.6,19.6,0.8533333333333335
9,Deshaun Watson,HOU,BAL,3,16,9.8,1.9,19.2,1.2033333333333334
10,Tom Brady,TB,CAR,4,17,10.3,2.0,18.7,1.0
11,Cam Newton,NE,SEA,4,22,11.4,2.6,18.2,1.6900000000000002
12,Ben Roethlisberger,PIT,DEN,6,24,12.6,2.2,17.5,0.8066666666666668
13,Drew Brees,NO,LV,7,26,12.8,2.9,16.8,1.2014285714285715
14,Carson Wentz,PHI,LAR,10,22,14.9,2.1,16.3,0.441
15,Matthew Stafford,DET,GB,9,28,15.0,2.3,15.8,0.5877777777777777
16,Jared Goff,LAR,PHI,10,28,16.7,3.1,15.5,0.9610000000000001
17,Ryan Tannehill,TEN,JAC,10,30,18.0,2.9,15.4,0.841
18,Gardner Minshew II,JAC,TEN,12,27,18.9,2.7,15.2,0.6075
19,Philip Rivers,IND,MIN,9,31,19.2,3.4,14.9,1.2844444444444443
20,Joe Burrow,CIN,CLE,11,27,20.8,2.8,14.7,0.7127272727272727
21,Jimmy Garoppolo,SF,NYJ,11,32,21.0,3.4,14.1,1.0509090909090908
22,Mitchell Trubisky,CHI,NYG,11,29,21.4,4.3,14.4,1.6809090909090907
23,Kirk Cousins,MIN,IND,10,29,22.2,3.2,13.7,1.0240000000000002
24,Tyrod Taylor,LAC,KC,14,32,23.7,3.2,13.3,0.7314285714285715
25,Teddy Bridgewater,CAR,TB,17,30,24.8,2.3,12.9,0.3111764705882352
26,Daniel Jones,NYG,CHI,11,30,25.1,2.7,12.5,0.6627272727272728
27,Baker Mayfield,CLE,CIN,12,29,25.2,3.5,12.2,1.0208333333333333
28,Derek Carr,LV,NO,18,31,25.8,2.3,11.8,0.29388888888888887
29,Dwayne Haskins,WAS,ARI,23,31,28.8,1.3,11.5,0.07347826086956523
30,Drew Lock,DEN,PIT,22,32,30.2,1.3,11.0,0.07681818181818183
31,Ryan Fitzpatrick,MIA,BUF,24,32,30.8,1.4,10.6,0.08166666666666665
32,Sam Darnold,NYJ,SF,23,32,31.2,1.0,1.9,0.043478260869565216
33,Taysom Hill,NO,LV,33,34,33.0,0.2,1.0,0.0012121212121212123
34,Nick Foles,CHI,NYG,33,53,34.7,3.1,1.0,0.29121212121212126
35,Justin Herbert,LAC,KC,33,45,35.5,1.7,1.0,0.08757575757575757
36,Tua Tagovailoa,MIA,BUF,33,45,37.1,3.4,1.0,0.3503030303030303
37,Jameis Winston,NO,LV,34,42,38.0,3.0,1.0,0.2647058823529412
38,Andy Dalton,DAL,ATL,38,40,38.8,1.0,0.9,0.02631578947368421
39,Jacoby Brissett,IND,MIN,34,48,41.6,3.5,0.9,0.3602941176470588
40,Robert Griffin III,BAL,HOU,35,41,38.3,2.2,0.9,0.13828571428571432
41,Jarrett Stidham,NE,SEA,37,55,44.2,6.3,0.9,1.0727027027027027
42,Matt Schaub,ATL,DAL,36,54,45.3,6.4,0.9,1.137777777777778
43,Jalen Hurts,PHI,LAR,35,95,54.0,24.4,0.9,17.01028571428571
44,Nate Sudfeld,PHI,LAR,43,54,46.8,4.5,0.8,0.47093023255813954
45,Blaine Gabbert,TB,CAR,37,44,41.3,3.1,0.8,0.25972972972972974
46,Mason Rudolph,PIT,DEN,43,44,43.7,0.5,0.8,0.005813953488372093
47,Chad Henne,KC,LAC,35,52,45.0,7.3,0.8,1.5225714285714285
48,Geno Smith,SEA,NE,42,58,51.0,6.1,0.8,0.8859523809523808
49,Nick Mullens,SF,NYJ,44,60,51.8,5.7,0.8,0.7384090909090909
50,Phillip Walker,CAR,TB,46,74,54.5,11.5,0.8,2.875
51,Case Keenum,CLE,CIN,37,45,41.0,4.0,0.7,0.43243243243243246
52,Nathan Peterman,LV,NO,42,59,50.3,6.9,0.7,1.1335714285714287
53,Jeff Driskel,DEN,PIT,48,60,54.3,4.4,0.7,0.4033333333333334
54,Kyle Allen,WAS,ARI,49,62,54.3,5.0,0.7,0.5102040816326531
55,Sean Mannion,MIN,IND,51,58,54.5,3.0,0.6,0.17647058823529413
56,Brett Hundley,ARI,WAS,49,61,55.0,4.5,0.6,0.413265306122449
57,Chase Daniel,DET,GB,47,60,52.3,5.6,0.5,0.6672340425531914
58,Matt Barkley,BUF,MIA,47,62,55.3,5.4,0.4,0.6204255319148937
59,Mike Glennon,JAC,TEN,51,59,54.7,3.3,0.4,0.21352941176470586
60,Brian Hoyer,NE,SEA,39,116,77.5,38.5,0.3,38.006410256410255
61,Alex Smith,WAS,ARI,48,68,58.0,10.0,0.3,2.0833333333333335
62,AJ McCarron,HOU,BAL,50,63,56.5,6.5,0.2,0.845
63,Colt McCoy,NYG,CHI,59,62,60.5,1.5,0.2,0.038135593220338986
64,Logan Woodside,TEN,JAC,61,80,67.3,9.0,0.1,1.3278688524590163
65,Will Grier,CAR,TB,63,63,63.0,0.0,0,0.0
