"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","D'Andre Swift","DET","@ARI","5000","0.5%","29%","3%","4%","8.00"
"WR","Chris Hogan","NYJ","@IND","3700","0.5%","33%","4%","4%","7.94"
"TE","Jordan Akins","HOU","@PIT","3400","0.5%","30%","2%","4%","7.44"
"WR","Zach Pascal","IND","NYJ","4500","0.5%","29%","4%","3%","6.86"
"QB","Daniel Jones","NYG","SF","5500","0.5%","33%","9%","3%","6.67"
"DEF","Minnesota Vikings","MIN","TEN","2500","0.5%","24%","2%","3%","6.64"
"WR","Quintez Cephus","DET","@ARI","4000","0.5%","29%","3%","3%","6.60"
"TE","Chris Herndon","NYJ","@IND","3400","0.5%","29%","2%","3%","6.57"
"QB","Jimmy Garoppolo","SF","@NYG","5600","0.5%","35%","9%","3%","6.47"
"QB","Kirk Cousins","MIN","TEN","5500","0.5%","34%","9%","3%","6.24"
"WR","Brandon Aiyuk","SF","@NYG","4100","0.5%","28%","3%","3%","5.92"
"WR","Steven Sims","WAS","@CLE","4000","0.5%","29%","3%","3%","5.92"
"WR","Braxton Berrios","NYJ","@IND","3600","0.5%","29%","3%","3%","5.83"
"WR","Danny Amendola","DET","@ARI","4600","0.5%","27%","3%","3%","5.63"
"QB","Derek Carr","LV","@NE","5400","0.5%","32%","8%","3%","5.58"
"TE","Eric Ebron","PIT","HOU","4300","0.5%","25%","2%","3%","5.55"
"WR","Kendrick Bourne","SF","@NYG","5000","0.5%","25%","3%","3%","5.39"
"QB","Teddy Bridgewater","CAR","@LAC","5200","0.5%","29%","7%","3%","5.05"
"WR","Cole Beasley","BUF","LAR","4500","0.5%","25%","3%","3%","5.05"
"QB","Dwayne Haskins","WAS","@CLE","5200","0.5%","29%","7%","2%","4.92"
"DEF","Atlanta Falcons","ATL","CHI","2800","0.5%","20%","2%","2%","4.91"
"RB","Boston Scott","PHI","CIN","4400","0.5%","24%","2%","2%","4.71"
"WR","Justin Jefferson","MIN","TEN","4200","0.5%","24%","2%","2%","4.45"
"WR","Curtis Samuel","CAR","@LAC","4000","0.5%","25%","2%","2%","4.37"
"DEF","Detroit Lions","DET","@ARI","2400","0.5%","21%","2%","2%","4.29"
"TE","Austin Hooper","CLE","WAS","4400","0.5%","21%","1%","2%","4.15"
