Player Name,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,6.2,74.1,0.6,0.1,14.0
Darren Waller,LV,6.1,69.6,0.4,0.1,12.2
Mark Andrews,BAL,4.3,57.5,0.6,0.0,11.7
Hunter Henry,LAC,4.8,58.3,0.5,0.1,11.0
Zach Ertz,PHI,5.1,56.5,0.5,0.0,11.0
Mike Gesicki,MIA,4.6,55.2,0.4,0.1,10.4
Tyler Higbee,LAR,4.9,53.2,0.4,0.0,10.3
Jared Cook,NO,4.0,53.5,0.5,0.0,10.2
Jordan Reed,SF,4.6,49.2,0.4,0.0,9.7
Jonnu Smith,TEN,4.1,48.2,0.5,0.0,9.7
Dallas Goedert,PHI,4.8,52.3,0.3,0.0,9.6
T.J. Hockenson,DET,4.5,50.0,0.4,0.0,9.5
Noah Fant,DEN,4.0,49.3,0.4,0.0,9.2
Hayden Hurst,ATL,4.3,49.7,0.2,0.0,8.6
Evan Engram,NYG,4.6,48.5,0.2,0.0,8.2
Chris Herndon IV,NYJ,3.9,42.9,0.2,0.1,7.2
Logan Thomas,WAS,4.0,39.6,0.2,0.0,6.9
Dalton Schultz,DAL,3.7,39.5,0.2,0.1,6.9
Austin Hooper,CLE,3.5,38.9,0.2,0.0,6.8
Tyler Eifert,JAC,3.2,36.9,0.2,0.0,6.6
Eric Ebron,PIT,3.3,37.0,0.2,0.0,6.4
Mo Alie-Cox,IND,2.5,36.2,0.2,0.0,5.8
Jimmy Graham,CHI,2.8,31.4,0.2,0.0,5.5
Jordan Akins,HOU,3.1,30.8,0.1,0.0,5.4
Dan Arnold,ARI,2.4,29.4,0.2,0.0,5.3
O.J. Howard,TB,2.5,31.6,0.1,0.0,5.2
Drew Sample,CIN,3.3,28.6,0.1,0.0,5.2
Greg Olsen,SEA,2.5,29.1,0.1,0.0,5.0
Kyle Rudolph,MIN,2.4,25.2,0.2,0.0,4.6
Robert Tonyan,GB,2.0,23.4,0.2,0.0,4.5
Irv Smith Jr.,MIN,2.6,25.1,0.1,0.0,4.4
Ryan Izzo,NE,1.9,23.2,0.2,0.0,4.4
Jack Doyle,IND,2.3,24.5,0.1,0.0,4.4
Darren Fells,HOU,2.1,21.9,0.2,0.0,4.2
Rob Gronkowski,TB,2.0,24.6,0.1,0.0,4.2
Ian Thomas,CAR,2.5,23.4,0.1,0.0,4.1
Anthony Firkser,TEN,1.8,22.2,0.1,0.0,4.0
Will Dissly,SEA,1.6,19.7,0.1,0.0,3.5
Harrison Bryant,CLE,1.6,18.4,0.1,0.0,3.4
Kaden Smith,NYG,1.9,18.5,0.1,0.0,3.4
James O'Shaughnessy,JAC,1.6,16.7,0.1,0.0,3.0
Nick Boyle,BAL,1.7,16.9,0.1,0.0,3.0
Taysom Hill,NO,1.4,15.2,0.1,0.0,3.0
Gerald Everett,LAR,1.4,16.3,0.1,0.0,2.9
Reggie Gilliam,BUF,1.3,14.1,0.1,0.0,2.9
Ryan Griffin,NYJ,1.5,15.6,0.1,0.0,2.9
Tyler Kroft,BUF,1.5,15.4,0.1,0.0,2.7
Blake Bell,DAL,1.3,13.8,0.1,0.0,2.6
Jace Sternberger,GB,1.3,13.9,0.1,0.0,2.6
Foster Moreau,LV,1.1,12.2,0.1,0.0,2.5
Josh Hill,NO,1.3,13.6,0.1,0.0,2.5
Jason Witten,LV,1.5,14.4,0.1,0.0,2.5
Noah Togiai,IND,1.2,12.9,0.1,0.0,2.5
Vance McDonald,PIT,1.3,13.4,0.1,0.0,2.4
Josiah Deguara,GB,1.1,11.3,0.1,0.0,2.3
Ross Dwelley,SF,1.1,11.2,0.1,0.0,2.3
Marcedes Lewis,GB,1.1,11.3,0.1,0.0,2.2
MyCole Pruitt,TEN,0.9,9.7,0.1,0.0,2.0
Cole Kmet,CHI,1.0,10.6,0.1,0.0,2.0
Nick Vannett,DEN,1.1,10.1,0.1,0.0,1.9
Jesse James,DET,1.0,9.8,0.1,0.0,1.8
Farrod Green,IND,0.7,7.0,0.1,0.0,1.7
Adam Shaheen,MIA,0.9,9.3,0.1,0.0,1.6
Cethan Carter,CIN,0.9,8.3,0.1,0.0,1.6
Demetrius Harris,CHI,0.8,8.0,0.1,0.0,1.6
Donald Parham Jr.,LAC,0.6,6.5,0.1,0.0,1.6
Virgil Green,LAC,0.7,7.8,0.1,0.0,1.5
Jacob Hollister,SEA,0.8,8.2,0.0,0.0,1.5
Chris Manhertz,CAR,0.8,8.3,0.0,0.0,1.4
Cameron Brate,TB,0.7,7.6,0.0,0.0,1.4
Mason Schreck,CIN,0.8,7.8,0.0,0.0,1.4
Marcus Baugh,WAS,0.7,7.6,0.0,0.0,1.2
Stephen Carlson,CLE,0.5,5.8,0.1,0.0,1.2
Levine Toilolo,NYG,0.6,6.8,0.0,0.0,1.2
Adam Trautman,NO,0.6,6.9,0.0,0.0,1.2
Zach Gentry,PIT,0.5,4.7,0.1,0.0,1.1
Brycen Hopkins,LAR,0.7,7.0,0.0,0.0,1.1
Ricky Seals-Jones,KC,0.4,4.9,0.1,0.0,1.0
Devin Asiasi,NE,0.5,5.8,0.0,0.0,1.0
Darrell Daniels,ARI,0.5,5.5,0.0,0.0,1.0
Charlie Woerner,SF,0.4,5.2,0.0,0.0,0.9
Andrew Beck,DEN,0.4,4.2,0.1,0.0,0.9
Jaeden Graham,ATL,0.4,4.8,0.0,0.0,0.9
Jake Butt,DEN,0.6,5.5,0.0,0.0,0.9
John Lovett,GB,0.5,6.0,0.0,0.0,0.9
Albert Okwuegbunam,DEN,0.6,5.4,0.0,0.0,0.8
Luke Willson,SEA,0.4,3.7,0.0,0.0,0.8
Lee Smith,BUF,0.3,3.1,0.0,0.0,0.7
Jakob Johnson,NE,0.1,0.7,0.1,0.0,0.7
Ben Ellefson,JAC,0.4,5.0,0.0,0.0,0.7
Richard Rodgers,PHI,0.3,3.2,0.0,0.0,0.7
Nick Keizer,KC,0.4,4.5,0.0,0.0,0.7
Luke Stocker,ATL,0.4,3.7,0.0,0.0,0.6
Tyler Conklin,MIN,0.4,3.9,0.0,0.0,0.6
Jordan Franks,PHI,0.3,3.0,0.0,0.0,0.6
Jordan Thomas,ARI,0.3,2.7,0.0,0.0,0.6
Durham Smythe,MIA,0.4,3.7,0.0,0.0,0.5
Derek Carrier,LV,0.3,2.0,0.0,0.0,0.5
J.P. Holtz,CHI,0.3,3.6,0.0,0.0,0.5
Pharaoh Brown,HOU,0.3,3.5,0.0,0.0,0.5
Geoff Swaim,TEN,0.3,3.0,0.0,0.0,0.5
Trevon Wesco,NYJ,0.3,3.4,0.0,0.0,0.5
Jeremy Sprinkle,WAS,0.2,2.2,0.0,0.0,0.3
Stephen Anderson,LAC,0.2,2.4,0.0,0.0,0.3
Sean McKeon,DAL,0.2,2.1,0.0,0.0,0.3
Deon Yelder,KC,0.2,1.9,0.0,0.0,0.3
Cole Hikutini,DAL,0.1,0.9,0.0,0.0,0.2
Jason Croom,BUF,0.1,0.7,0.0,0.0,0.2
Tommy Sweeney,BUF,0.1,0.7,0.0,0.0,0.2
Kahale Warring,HOU,0.1,1.0,0.0,0.0,0.2
Patrick Scales,CHI,0.1,1.0,0.0,0.0,0.2
Isaac Nauta,DET,0.1,0.6,0.0,0.0,0.1
Johnny Mundt,LAR,0.1,0.7,0.0,0.0,0.1
Troy Fumagalli,HOU,0.1,0.6,0.0,0.0,0.1
Antony Auclair,TB,0.1,0.5,0.0,0.0,0.1
Eric Saubert,JAC,0.1,0.5,0.0,0.0,0.1
Jesper Horsted,CHI,0.1,0.5,0.0,0.0,0.1
Daniel Brown,NYJ,0.1,0.0,0.0,0.0,0.1
Temarrick Hemingway,WAS,0.0,0.3,0.0,0.0,0.0
Xavier Grimble,BAL,0.0,0.2,0.0,0.0,0.0
