Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2250440152,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tee Higgins (15512841),DJ Moore (15512789),Laviska Shenault Jr. (15512851),Tyler Eifert (15513135),Chris Carson (15512515),Ravens (15513305),,1. Column A lists all of your contest entries for this draftgroup
2259676322,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),DJ Chark Jr. (15512775),A.J. Green (15512793),Laviska Shenault Jr. (15512851),Jordan Akins (15513143),Mike Davis (15512527),Buccaneers (15513311),,2. Your current lineup is listed next to each entry (blank for reservations)
2259681202,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Justin Jefferson (15512803),DeVante Parker (15512785),Adam Thielen (15512759),Jordan Akins (15513143),Mike Davis (15512527),WAS Football Team (15513329),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2259681203,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Keelan Cole (15512845),DK Metcalf (15512747),Laviska Shenault Jr. (15512851),Drew Sample (15513137),Kenyan Drake (15512519),Bears (15513317),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2259681204,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),DJ Moore (15512789),Adam Thielen (15512759),Irv Smith Jr. (15513213),Chris Carson (15512515),Bears (15513317),,5. For faster processing only include entries you are changing in the file you upload
2259681205,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Cole Beasley (15512831),DJ Moore (15512789),Hunter Renfrow (15512833),Darren Waller (15513101),Chris Carson (15512515),Texans (15513326),,
2259681206,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),Keelan Cole (15512845),DeVante Parker (15512785),Tyler Eifert (15513135),Mike Davis (15512527),Vikings (15513322),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2259681207,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Marvin Jones Jr. (15512817),David Moore (15512903),DeVante Parker (15512785),Greg Olsen (15513117),Mike Davis (15512527),Giants (15513325),,RB,Christian McCaffrey (15512491),Christian McCaffrey,15512491,RB/FLEX,8800,ARI@CAR 10/04/2020 01:00PM ET,CAR,26.65
2259681208,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Chris Conley (15512889),A.J. Green (15512793),Tyler Lockett (15512743),Tyler Eifert (15513135),Kenyan Drake (15512519),Giants (15513325),,WR,DeAndre Hopkins (15512739),DeAndre Hopkins,15512739,WR/FLEX,8500,ARI@CAR 10/04/2020 01:00PM ET,ARI,26.53
2259681209,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Ezekiel Elliott (15512495),Alvin Kamara (15512493),DK Metcalf (15512747),David Moore (15512903),Preston Williams (15512839),Jordan Akins (15513143),David Montgomery (15512535),Bengals (15513320),,QB,Lamar Jackson (15512425),Lamar Jackson,15512425,QB,8100,BAL@WAS 10/04/2020 01:00PM ET,BAL,20.08
2259681210,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Chris Carson (15512515),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),CeeDee Lamb (15512799),Jarvis Landry (15512809),Darren Waller (15513101),Mike Davis (15512527),Giants (15513325),,RB,Alvin Kamara (15512493),Alvin Kamara,15512493,RB/FLEX,8000,NO@DET 10/04/2020 01:00PM ET,NO,36.6
2259681211,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Nelson Agholor (15512895),Brandin Cooks (15512837),Stefon Diggs (15512749),Darren Waller (15513101),Kenyan Drake (15512519),Bengals (15513320),,QB,Russell Wilson (15512426),Russell Wilson,15512426,QB,7800,SEA@MIA 10/04/2020 01:00PM ET,SEA,36.33
2259681212,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),DJ Chark Jr. (15512775),Chris Conley (15512889),Marvin Jones Jr. (15512817),Drew Sample (15513137),Chris Carson (15512515),Rams (15513306),,RB,Ezekiel Elliott (15512495),Ezekiel Elliott,15512495,RB/FLEX,7800,CLE@DAL 10/04/2020 01:00PM ET,DAL,22.9
2259681213,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),Justin Jefferson (15512803),Marvin Jones Jr. (15512817),Jordan Akins (15513143),Chris Carson (15512515),Buccaneers (15513311),,WR,Michael Thomas (15512741),Michael Thomas,15512741,WR/FLEX,7600,NO@DET 10/04/2020 01:00PM ET,NO,4.7
2259681214,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),Chris Conley (15512889),Laviska Shenault Jr. (15512851),Darren Waller (15513101),David Montgomery (15512535),Seahawks (15513312),,RB,Dalvin Cook (15512497),Dalvin Cook,15512497,RB/FLEX,7600,MIN@HOU 10/04/2020 01:00PM ET,MIN,22.93
2259681215,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Chris Carson (15512515),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Brandin Cooks (15512837),Michael Gallup (15512771),Austin Hooper (15513119),Kenyan Drake (15512519),Buccaneers (15513311),,RB,Derrick Henry (15512499),Derrick Henry,15512499,RB/FLEX,7400,Postponed,TEN,19.17
2259681216,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),Justin Jefferson (15512803),DK Metcalf (15512747),Kyle Rudolph (15513141),Kenyan Drake (15512519),Giants (15513325),,QB,Patrick Mahomes (15512427),Patrick Mahomes,15512427,QB,7400,Postponed,KC,31.31
