Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2250440152,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tee Higgins (15512841) (LOCKED),DJ Moore (15512789) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Tyler Eifert (15513135) (LOCKED),Chris Carson (15512515) (LOCKED),Ravens (15513305) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2259676322,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),A.J. Green (15512793) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Buccaneers (15513311) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2259681202,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),DJ Moore (15512789) (LOCKED),Adam Thielen (15512759) (LOCKED),Irv Smith Jr. (15513213) (LOCKED),Chris Carson (15512515) (LOCKED),Bears (15513317),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2259681203,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Keelan Cole (15512845) (LOCKED),DK Metcalf (15512747) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Drew Sample (15513137) (LOCKED),Kenyan Drake (15512519) (LOCKED),Bears (15513317),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2259681204,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Justin Jefferson (15512803) (LOCKED),Marvin Jones Jr. (15512817) (LOCKED),Adam Thielen (15512759) (LOCKED),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Bengals (15513320) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2259681205,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Cole Beasley (15512831),Brandin Cooks (15512837) (LOCKED),Hunter Renfrow (15512833),Darren Waller (15513101),Chris Carson (15512515) (LOCKED),Buccaneers (15513311) (LOCKED),,
2259681206,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Keelan Cole (15512845) (LOCKED),DeVante Parker (15512785) (LOCKED),Tyler Eifert (15513135) (LOCKED),Mike Davis (15512527) (LOCKED),Vikings (15513322) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2259681207,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Marvin Jones Jr. (15512817) (LOCKED),David Moore (15512903) (LOCKED),DeVante Parker (15512785) (LOCKED),Greg Olsen (15513117) (LOCKED),Mike Davis (15512527) (LOCKED),Giants (15513325),,RB,Christian McCaffrey (15512491) (LOCKED),Christian McCaffrey,15512491,RB/FLEX,8800,In Progress,CAR,26.65
2259681208,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Chris Conley (15512889) (LOCKED),A.J. Green (15512793) (LOCKED),Tyler Lockett (15512743) (LOCKED),Tyler Eifert (15513135) (LOCKED),Kenyan Drake (15512519) (LOCKED),Giants (15513325),,WR,DeAndre Hopkins (15512739) (LOCKED),DeAndre Hopkins,15512739,WR/FLEX,8500,In Progress,ARI,26.53
2259681209,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),CeeDee Lamb (15512799) (LOCKED),Jarvis Landry (15512809) (LOCKED),Darren Waller (15513101),Mike Davis (15512527) (LOCKED),Giants (15513325),,QB,Lamar Jackson (15512425) (LOCKED),Lamar Jackson,15512425,QB,8100,In Progress,BAL,20.08
2259681210,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),DK Metcalf (15512747) (LOCKED),David Moore (15512903) (LOCKED),Preston Williams (15512839) (LOCKED),Jordan Akins (15513143) (LOCKED),David Montgomery (15512535),Bengals (15513320) (LOCKED),,RB,Alvin Kamara (15512493) (LOCKED),Alvin Kamara,15512493,RB/FLEX,8000,In Progress,NO,36.6
2259681211,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),Chris Conley (15512889) (LOCKED),Marvin Jones Jr. (15512817) (LOCKED),Drew Sample (15513137) (LOCKED),Chris Carson (15512515) (LOCKED),Rams (15513306),,QB,Russell Wilson (15512426) (LOCKED),Russell Wilson,15512426,QB,7800,In Progress,SEA,36.33
2259681212,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),Keelan Cole (15512845) (LOCKED),Tee Higgins (15512841) (LOCKED),Darren Waller (15513101),David Montgomery (15512535),Giants (15513325),,RB,Ezekiel Elliott (15512495) (LOCKED),Ezekiel Elliott,15512495,RB/FLEX,7800,In Progress,DAL,22.9
2259681213,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Will Fuller V (15512779) (LOCKED),Justin Jefferson (15512803) (LOCKED),DeVante Parker (15512785) (LOCKED),Irv Smith Jr. (15513213) (LOCKED),Kenyan Drake (15512519) (LOCKED),Colts (15513313),,WR,Michael Thomas (15512741) (LOCKED),Michael Thomas,15512741,WR/FLEX,7600,In Progress,NO,4.7
2259681214,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Nelson Agholor (15512895),Stefon Diggs (15512749),Marvin Jones Jr. (15512817) (LOCKED),Darren Waller (15513101),Mike Davis (15512527) (LOCKED),Vikings (15513322) (LOCKED),,RB,Dalvin Cook (15512497) (LOCKED),Dalvin Cook,15512497,RB/FLEX,7600,In Progress,MIN,22.93
2259681215,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Justin Jefferson (15512803) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Jordan Akins (15513143) (LOCKED),Chris Carson (15512515) (LOCKED),Rams (15513306),,RB,Derrick Henry (15512499),Derrick Henry,15512499,RB/FLEX,7400,Postponed,TEN,19.17
2259681216,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),Brandin Cooks (15512837) (LOCKED),Michael Gallup (15512771) (LOCKED),Austin Hooper (15513119) (LOCKED),Kenyan Drake (15512519) (LOCKED),Buccaneers (15513311) (LOCKED),,QB,Patrick Mahomes (15512427),Patrick Mahomes,15512427,QB,7400,Postponed,KC,31.31
