"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"WR","DeAndre Hopkins","ARI","@CAR","8500","22.5%","62%","27%","23%","1.02"
"QB","Lamar Jackson","BAL","@WAS","8100","12.5%","61%","31%","10%","0.78"
"RB","Alvin Kamara","NO","@DET","8000","32.5%","77%","42%","44%","1.35"
"RB","Ezekiel Elliott","DAL","CLE","7800","17.5%","51%","17%","18%","1.01"
"QB","Russell Wilson","SEA","@MIA","7800","12.5%","58%","27%","8%","0.67"
"RB","Dalvin Cook","MIN","@HOU","7600","27.5%","55%","20%","21%","0.75"
"QB","Patrick Mahomes","KC","NE","7400","12.5%","59%","27%","8%","0.67"
"QB","Josh Allen","BUF","@LV","7300","12.5%","63%","32%","10%","0.80"
"QB","Dak Prescott","DAL","CLE","7200","12.5%","60%","29%","9%","0.73"
"RB","Austin Ekeler","LAC","@TB","7100","7.5%","45%","11%","11%","1.47"
"RB","Nick Chubb","CLE","@DAL","7000","7.5%","40%","9%","10%","1.33"
"QB","Kyler Murray","ARI","@CAR","7000","12.5%","61%","30%","9%","0.74"
"WR","Tyler Lockett","SEA","@MIA","7000","27.5%","53%","17%","15%","0.53"
"WR","Tyreek Hill","KC","NE","6900","17.5%","53%","18%","15%","0.88"
"TE","Travis Kelce","KC","NE","6800","12.5%","65%","18%","25%","1.99"
"RB","Josh Jacobs","LV","BUF","6800","7.5%","44%","11%","12%","1.59"
"WR","Stefon Diggs","BUF","@LV","6800","12.5%","47%","12%","10%","0.84"
"WR","DK Metcalf","SEA","@MIA","6800","22.5%","47%","13%","11%","0.50"
"WR","Allen Robinson","CHI","IND","6700","7.5%","47%","12%","10%","1.40"
"WR","Cooper Kupp","LAR","NYG","6700","12.5%","51%","16%","14%","1.10"
"QB","Jared Goff","LAR","NYG","6700","7.5%","44%","15%","5%","0.62"
"WR","Amari Cooper","DAL","CLE","6700","17.5%","45%","12%","10%","0.57"
"RB","Jonathan Taylor","IND","@CHI","6600","7.5%","48%","13%","14%","1.81"
"QB","Deshaun Watson","HOU","MIN","6600","7.5%","58%","27%","8%","1.12"
"WR","Adam Thielen","MIN","@HOU","6600","7.5%","40%","9%","8%","1.08"
