Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Alvin Kamara,NO,DET,1,2,1.0,0.2,21.8,0.04000000000000001
2,Ezekiel Elliott,DAL,CLE,1,5,2.4,0.6,20.1,0.36
3,Dalvin Cook,MIN,HOU,2,6,3.0,0.7,18.4,0.24499999999999997
4,Aaron Jones,GB,ATL,1,5,3.7,0.5,17.7,0.25
5,Jonathan Taylor,IND,CHI,5,12,6.4,1.9,16.5,0.722
6,Kenyan Drake,ARI,CAR,4,15,6.9,1.5,16.1,0.5625
7,Clyde Edwards-Helaire,KC,NE,5,16,7.1,2.0,14.7,0.8
8,Josh Jacobs,LV,BUF,3,15,8.0,2.2,15.8,1.6133333333333335
9,Miles Sanders,PHI,SF,7,15,8.8,1.5,15.4,0.32142857142857145
10,Nick Chubb,CLE,DAL,6,20,10.0,1.4,14.7,0.3266666666666666
11,James Robinson,JAC,CIN,4,15,11.1,1.6,14.6,0.6400000000000001
12,Austin Ekeler,LAC,TB,6,23,12.1,2.2,14.6,0.8066666666666668
13,Joe Mixon,CIN,JAC,9,18,13.8,2.2,14.3,0.5377777777777779
14,David Johnson,HOU,MIN,7,24,15.4,2.9,14.3,1.2014285714285715
15,Mike Davis,CAR,ARI,10,21,15.9,2.3,14.0,0.5289999999999999
16,Darrell Henderson,LAR,NYG,8,27,16.9,3.3,13.6,1.3612499999999998
17,Melvin Gordon III,DEN,NYJ,10,26,16.9,2.8,13.6,0.7839999999999999
18,Devin Singletary,BUF,LV,9,24,17.3,3.4,13.6,1.2844444444444443
19,David Montgomery,CHI,IND,15,22,18.4,1.9,13.0,0.24066666666666667
20,Kareem Hunt,CLE,DAL,14,24,21.2,1.6,12.8,0.18285714285714288
21,Jerick McKinnon,SF,PHI,17,31,22.0,2.2,12.5,0.2847058823529412
22,Todd Gurley II,ATL,GB,9,28,22.1,2.7,12.3,0.81
23,Ronald Jones II,TB,LAC,16,30,22.5,2.9,11.8,0.525625
24,Myles Gaskin,MIA,SEA,16,36,24.6,1.9,11.5,0.225625
25,Chris Carson,SEA,MIA,12,61,25.6,14.3,8.0,17.040833333333335
26,Mark Ingram II,BAL,WAS,20,45,25.9,2.1,11.5,0.2205
27,Antonio Gibson,WAS,BAL,22,36,27.4,2.2,9.9,0.22000000000000003
28,Jeff Wilson Jr.,SF,PHI,21,33,27.5,1.9,9.2,0.1719047619047619
29,Latavius Murray,NO,DET,27,46,30.8,2.2,7.9,0.17925925925925928
30,J.K. Dobbins,BAL,WAS,27,44,30.9,2.1,7.7,0.16333333333333333
31,Adrian Peterson,DET,NO,27,48,31.3,2.8,7.2,0.29037037037037033
32,Joshua Kelley,LAC,TB,19,49,33.4,5.0,7.1,1.3157894736842106
33,Nyheim Hines,IND,CHI,26,42,35.1,2.4,6.7,0.22153846153846152
34,Malcolm Brown,LAR,NYG,31,44,35.4,3.1,6.6,0.31000000000000005
35,James White,NE,KC,24,83,36.8,8.6,5.6,3.0816666666666666
36,Rex Burkhead,NE,KC,23,52,37.0,4.3,6.5,0.8039130434782608
37,Sony Michel,NE,KC,27,72,37.4,3.8,6.2,0.5348148148148147
38,Frank Gore,NYJ,DEN,31,49,37.8,3.2,6.6,0.33032258064516135
39,Devonta Freeman,NYG,LAR,31,67,39.0,4.9,6.5,0.7745161290322582
40,D'Andre Swift,DET,NO,31,51,39.5,4.4,6.2,0.6245161290322582
41,Chase Edmonds,ARI,CAR,32,46,39.6,2.5,6.2,0.1953125
42,Alexander Mattison,MIN,HOU,38,50,42.4,2.6,6.0,0.17789473684210527
43,Jamaal Williams,GB,ATL,36,54,45.1,3.4,5.5,0.32111111111111107
44,Kerryon Johnson,DET,NO,38,55,47.4,3.1,5.5,0.2528947368421053
45,Giovani Bernard,CIN,JAC,36,56,47.4,4.0,5.3,0.4444444444444444
46,Zack Moss,BUF,LV,16,66,47.5,10.1,4.9,6.375624999999999
47,Gus Edwards,BAL,WAS,30,62,47.8,5.8,5.3,1.1213333333333333
48,Chris Thompson,JAC,CIN,37,58,47.8,3.3,5.4,0.2943243243243243
49,Brian Hill,ATL,GB,33,61,48.7,5.7,5.1,0.9845454545454546
50,J.D. McKissic,WAS,BAL,44,62,49.9,4.1,5.1,0.3820454545454545
51,Dion Lewis,NYG,LAR,36,68,49.4,6.3,4.9,1.1025
52,Boston Scott,PHI,SF,38,63,51.3,4.0,4.7,0.42105263157894735
53,Jordan Howard,MIA,SEA,33,65,52.2,6.1,4.6,1.1275757575757575
54,Travis Homer,SEA,MIA,39,73,53.2,7.3,4.4,1.3664102564102565
55,Matt Breida,MIA,SEA,49,65,57.3,3.4,4.3,0.23591836734693875
56,LeSean McCoy,TB,LAC,34,71,55.8,10.8,4.0,3.430588235294118
57,Darrel Williams,KC,NE,50,69,59.2,5.0,3.4,0.5
58,Wayne Gallman,NYG,LAR,26,115,57.9,11.5,3.9,5.086538461538462
59,Jalen Richard,LV,BUF,48,64,58.8,2.9,3.6,0.17520833333333333
60,Tony Pollard,DAL,CLE,52,71,60.9,5.1,3.5,0.5001923076923076
61,Lamical Perine,NYJ,DEN,49,75,59.9,5.3,3.5,0.573265306122449
62,Jordan Wilkins,IND,CHI,40,68,60.1,4.8,3.5,0.576
63,Duke Johnson Jr.,HOU,MIN,40,76,62.3,8.5,3.4,1.80625
64,Devontae Booker,LV,BUF,55,69,62.3,3.1,3.2,0.17472727272727276
65,Peyton Barber,WAS,BAL,57,76,66.3,5.0,3.2,0.43859649122807015
66,Ito Smith,ATL,GB,60,74,67.8,3.2,3.1,0.1706666666666667
67,Reggie Bonnafon,CAR,ARI,59,80,66.8,3.6,3.0,0.21966101694915255
68,Kalen Ballage,NYJ,DEN,56,84,70.0,6.6,2.9,0.7778571428571428
69,Corey Clement,PHI,SF,54,83,72.0,4.9,2.9,0.4446296296296297
70,Darwin Thompson,KC,NE,57,78,71.0,3.5,2.9,0.2149122807017544
71,Royce Freeman,DEN,NYJ,50,95,69.4,11.4,2.6,2.5992
72,J.J. Taylor,NE,KC,59,81,73.7,4.5,2.5,0.3432203389830508
73,AJ Dillon,GB,ATL,65,80,76.0,3.0,2.5,0.13846153846153847
74,Tyler Ervin,GB,ATL,43,80,70.6,8.3,2.5,1.6020930232558144
75,T.J. Yeldon,BUF,LV,60,86,72.7,6.2,2.4,0.6406666666666667
76,Kyle Juszczyk,SF,PHI,65,85,75.0,4.9,2.4,0.3693846153846155
77,JaMycal Hasty,SF,PHI,67,87,78.8,4.8,2.4,0.34388059701492535
78,C.J. Prosise,HOU,MIN,69,91,76.3,6.3,2.2,0.5752173913043478
79,Ryan Nall,CHI,IND,73,84,79.2,2.8,2.2,0.10739726027397259
80,Ke'Shawn Vaughn,TB,LAC,61,95,76.2,7.7,2.0,0.9719672131147542
81,DeeJay Dallas,SEA,MIA,63,87,78.0,6.0,1.8,0.5714285714285714
82,Patrick Laird,MIA,SEA,71,91,80.2,6.2,2.1,0.5414084507042254
83,Josh Adams,NYJ,DEN,67,87,76.7,4.3,1.8,0.2759701492537313
84,Dare Ogunbowale,JAC,CIN,72,95,80.7,6.3,1.8,0.55125
85,C.J. Ham,MIN,HOU,81,102,84.5,4.6,1.8,0.2612345679012345
86,Alec Ingold,LV,BUF,75,94,83.9,4.7,1.7,0.29453333333333337
87,Alex Armah,CAR,ARI,80,101,86.1,4.5,1.6,0.253125
88,Damien Harris,NE,KC,45,116,82.2,13.7,1.1,4.170888888888888
89,Jakob Johnson,NE,KC,77,95,88.0,3.7,1.5,0.1777922077922078
90,Andy Janovich,CLE,DAL,78,96,87.2,5.2,1.5,0.3466666666666667
91,Patrick Ricard,BAL,WAS,78,100,89.2,5.1,1.3,0.3334615384615384
92,Mike Boone,MIN,HOU,72,104,91.2,5.5,1.5,0.4201388888888889
93,Justin Jackson,LAC,TB,73,95,88.0,5.1,0.9,0.3563013698630137
94,Artavis Pierce,CHI,IND,78,94,89.8,3.6,0.9,0.16615384615384615
95,D'Ernest Johnson,CLE,DAL,87,98,93.2,2.9,0.9,0.09666666666666666
96,Anthony Sherman,KC,NE,85,101,93.7,4.0,0.9,0.18823529411764706
97,Ameer Abdullah,MIN,HOU,85,106,96.5,6.3,0.6,0.4669411764705882
98,Reggie Gilliam,BUF,LV,90,99,95.8,2.8,0.7,0.0871111111111111
99,Justice Hill,BAL,WAS,84,102,93.0,6.4,0.7,0.48761904761904773
100,Keith Smith,ATL,GB,88,104,95.0,5.9,0.5,0.3955681818181818
101,Buddy Howell,HOU,MIN,79,105,92.0,10.6,0.4,1.4222784810126583
102,Qadree Ollison,ATL,GB,85,112,98.0,10.1,0.4,1.2001176470588235
103,Samaje Perine,CIN,JAC,79,109,96.3,12.7,0.1,2.041645569620253
104,Jason Huntley,PHI,SF,83,107,96.7,10.1,0.3,1.2290361445783131
105,Lynn Bowden Jr.,MIA,SEA,88,99,93.5,5.5,0.3,0.34375
106,Trenton Cannon,CAR,ARI,91,96,93.5,2.5,0.8,0.06868131868131869
107,Dontrell Hilliard,CLE,DAL,94,117,103.8,8.8,0.2,0.8238297872340427
108,Elijhaa Penny,NYG,LAR,92,105,100.3,5.9,0.2,0.37836956521739135
109,Cullen Gillaspia,HOU,MIN,91,110,100.5,9.5,0.4,0.9917582417582418
